rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.1239742117417,87.6885591905577,688083,中望软件,bottom_area,2024-07-11,57.27,2024-07-10,56.46,1.434643995749207,5.66772936592277,29.318978467701545,False,1.1837,1.045,5,5,5,100.0,13.653481187450971,21.52777777777778,6.565356004250793,1.434643995749207,历史5/5次成功; 当前距低点1.43%; 最新日涨幅1.18%; 状态bottom_area; 底部未确认
2,87.90554064855571,84.10889339368971,002044,美年健康,bottom_area,2024-07-11,3.58,2024-07-09,3.52,1.7045454545454561,4.261363636363634,28.016359918200408,False,0.2801,1.2548,3,3,3,100.0,14.383102312114746,18.108108108108105,6.295454545454544,1.7045454545454561,历史3/3次成功; 当前距低点1.70%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
3,87.69964468571573,83.92268272903567,002043,兔宝宝,bottom_area,2024-07-11,9.51,2024-07-11,9.35,1.7112299465240657,2.352941176470595,28.076923076923077,False,1.1702,1.4152,3,3,3,100.0,13.463908640379232,15.96638655462185,6.288770053475934,1.7112299465240657,历史3/3次成功; 当前距低点1.71%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
4,87.57524310724445,85.24895945250131,688111,金山办公,bottom_area,2024-07-11,191.38,2024-07-10,186.53,2.600117943494341,4.701656569988747,31.84375913475592,False,2.162,1.0027,4,4,4,100.0,14.823808406819378,27.68058076225045,5.399882056505659,2.600117943494341,历史4/4次成功; 当前距低点2.60%; 最新日涨幅2.16%; 状态bottom_area; 底部未确认
5,84.69121934467337,83.47761583326991,000065,北方国际,bottom_area,2024-07-11,9.85,2024-07-09,9.54,3.2494758909853303,3.7735849056603903,28.000000000000007,False,1.9669,0.8058,3,3,3,100.0,29.926993896325044,41.48061104582843,4.75052410901467,3.2494758909853303,历史3/3次成功; 当前距低点3.25%; 最新日涨幅1.97%; 状态bottom_area; 底部未确认
6,83.30495356314157,82.19625982595429,600973,宝胜股份,bottom_area,2024-07-11,3.44,2024-07-09,3.33,3.3033033033032995,4.504504504504501,28.077753779697623,False,1.1765,0.7631,2,2,2,100.0,40.36446966390223,46.551724137931025,4.6966966966967005,3.3033033033032995,历史2/2次成功; 当前距低点3.30%; 最新日涨幅1.18%; 状态bottom_area; 底部未确认
7,82.81679117965528,80.66570569446944,000620,盈新发展,bottom_area,2024-07-11,1.56,2024-07-10,1.52,2.6315789473684235,4.605263157894741,30.59360730593607,False,1.9608,0.8312,5,6,5,83.33333333333334,26.67942129643067,58.4192439862543,5.368421052631576,2.6315789473684235,历史5/6次成功; 当前距低点2.63%; 最新日涨幅1.96%; 状态bottom_area; 底部未确认
8,82.62265413151336,79.01519072819514,600295,鄂尔多斯,bottom_area,2024-07-11,9.69,2024-07-10,9.53,1.6789087093389312,4.40713536201469,29.250185597624355,False,1.1482,0.2962,1,1,1,100.0,20.016680567139286,20.016680567139286,6.321091290661069,1.6789087093389312,历史1/1次成功; 当前距低点1.68%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
9,81.34378641852044,80.12886497451778,002531,天顺风能,bottom_area,2024-07-11,8.02,2024-07-10,7.77,3.2175032175032174,7.335907335907339,30.810329474621557,False,1.0076,1.4539,3,3,3,100.0,11.531033927016717,15.128205128205142,4.782496782496783,3.2175032175032174,历史3/3次成功; 当前距低点3.22%; 最新日涨幅1.01%; 状态bottom_area; 底部未确认
10,80.76205816296502,80.97890544113375,601886,江河集团,bottom_area,2024-07-11,4.78,2024-07-09,4.59,4.139433551198265,4.57516339869281,27.488151658767773,False,2.3555,0.8532,3,3,3,100.0,27.40222547239673,33.5540838852097,3.860566448801735,4.139433551198265,历史3/3次成功; 当前距低点4.14%; 最新日涨幅2.36%; 状态bottom_area; 底部未确认
11,80.43561040967559,76.52690834384256,601699,潞安环能,bottom_area,2024-07-11,16.54,2024-07-11,16.31,1.410177805027593,2.7590435315757382,31.871345029239773,False,-0.601,0.772,1,1,1,100.0,25.817815802717657,25.817815802717657,6.589822194972407,1.410177805027593,历史1/1次成功; 当前距低点1.41%; 最新日涨幅-0.60%; 状态bottom_area; 底部未确认
