rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.80213329312356,78.2235617229378,002271,东方雨虹,bottom_area,2024-04-24,13.05,2024-04-24,12.65,3.162055335968382,3.162055335968382,30.494505494505493,False,0.4619,3.1611,2,2,2,100.0,17.274451015837123,19.371959310039802,11.837944664031617,3.162055335968382,历史2/2次成功; 当前距低点3.16%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
2,83.3353005464481,74.75666666666667,000718,苏宁环球,bottom_area,2024-04-24,1.83,2024-04-24,1.8,1.666666666666668,4.999999999999992,27.1255060728745,False,-2.139,1.3369,1,1,1,100.0,19.44444444444444,19.44444444444444,13.33333333333333,1.666666666666668,历史1/1次成功; 当前距低点1.67%; 最新日涨幅-2.14%; 状态bottom_area; 底部未确认
3,82.43652930679971,75.78521410513697,301539,宏鑫科技,bottom_area,2024-04-24,25.91,2024-04-23,25.16,2.9809220985691574,4.650238473767878,31.815718157181568,False,2.5732,28.038,1,1,1,100.0,18.61137897782063,18.61137897782063,12.01907790143084,2.9809220985691574,历史1/1次成功; 当前距低点2.98%; 最新日涨幅2.57%; 状态bottom_area; 底部未确认
4,78.20911225884693,68.93375816141005,002459,晶澳科技,bottom_area,2024-04-24,13.92,2024-04-24,13.82,0.7235890014471754,3.61794500723589,32.51953125,False,-2.8611,1.9396,3,4,3,75.0,20.58355421886888,26.683937823834192,14.276410998552825,0.7235890014471754,历史3/4次成功; 当前距低点0.72%; 最新日涨幅-2.86%; 状态bottom_area; 底部未确认
5,76.09671708825114,69.71311463346214,002835,同为股份,bottom_area,2024-04-24,18.03,2024-04-24,17.54,2.7936145952109577,5.188141391106044,27.09891936824605,False,-7.491,29.3631,1,1,1,100.0,16.35782747603834,16.35782747603834,12.20638540478904,2.7936145952109577,历史1/1次成功; 当前距低点2.79%; 最新日涨幅-7.49%; 状态bottom_area; 底部未确认
6,75.1778687675514,70.18070838026547,002256,兆新股份,bottom_area,2024-04-24,1.91,2024-04-16,1.84,3.8043478260869477,8.152173913043473,30.82706766917293,True,0.0,0.7231,3,5,3,60.0,26.04635174055759,31.775700934579426,11.19565217391305,3.8043478260869477,历史3/5次成功; 当前距低点3.80%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
7,74.93873836276083,67.95640449438203,002685,华东重机,bottom_area,2024-04-24,2.73,2024-04-16,2.67,2.247191011235957,7.490636704119858,28.22580645161291,True,1.1111,1.4738,1,2,1,50.0,109.52380952380952,109.52380952380952,12.752808988764041,2.247191011235957,历史1/2次成功; 当前距低点2.25%; 最新日涨幅1.11%; 状态bottom_area; 底部已确认
8,72.0263617559915,65.43459282039332,688276,百克生物,bottom_area,2024-04-24,39.28,2024-04-23,38.38,2.344971339239183,5.471599791558088,30.471014492753625,False,-2.4342,1.214,2,3,2,66.66666666666666,16.529359178451564,16.844155844155843,12.655028660760816,2.344971339239183,历史2/3次成功; 当前距低点2.34%; 最新日涨幅-2.43%; 状态bottom_area; 底部未确认
9,63.90489497683011,57.278608017413355,300759,康龙化成,bottom_area,2024-04-24,18.17,2024-04-23,17.88,1.6219239373601941,4.25055928411634,28.19277108433735,False,-1.571,1.2786,1,2,1,50.0,16.594594594594597,16.594594594594597,13.378076062639805,1.6219239373601941,历史1/2次成功; 当前距低点1.62%; 最新日涨幅-1.57%; 状态bottom_area; 底部未确认
10,61.20704665046648,54.15426902015968,002129,TCL中环,bottom_area,2024-04-24,9.79,2024-04-24,9.7,0.9278350515463903,2.7835051546391893,30.316091954022994,False,-1.8054,2.1933,1,2,1,50.0,31.12759643916912,31.12759643916912,14.072164948453608,0.9278350515463903,历史1/2次成功; 当前距低点0.93%; 最新日涨幅-1.81%; 状态bottom_area; 底部未确认
11,57.27835683129807,51.57414804845224,300769,德方纳米,bottom_area,2024-04-24,30.56,2024-04-24,30.0,1.8666666666666623,3.2999999999999945,30.216329378925334,False,-2.3642,4.6841,1,5,1,20.0,20.592193808882907,20.592193808882907,13.133333333333336,1.8666666666666623,历史1/5次成功; 当前距低点1.87%; 最新日涨幅-2.36%; 状态bottom_area; 底部未确认
12,56.80033689736576,53.45275165237315,002022,科华生物,bottom_area,2024-04-24,6.89,2024-04-22,6.61,4.236006051437206,4.236006051437206,27.362637362637354,False,0.5839,0.6476,1,3,1,33.33333333333333,25.04038772213247,25.04038772213247,10.763993948562794,4.236006051437206,历史1/3次成功; 当前距低点4.24%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
