rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
24,77.92008628505508,74.02831216006862,301488,豪恩汽电,bottom_area,2024-01-12,63.7,2024-01-10,62.86,1.3363028953229452,3.802099904549794,30.0,False,-1.6824,3.7727,1,1,1,100.0,11.478939577445836,11.478939577445836,6.663697104677055,1.3363028953229452,历史1/1次成功; 当前距低点1.34%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
25,77.6333163383558,72.7785504923379,603039,泛微网络,bottom_area,2024-01-12,40.68,2024-01-10,40.42,0.6432459178624393,4.057397328055419,28.320624224153217,False,-1.3818,0.3849,2,2,2,100.0,19.43629669389389,25.971438060445035,7.35675408213756,0.6432459178624393,历史2/2次成功; 当前距低点0.64%; 最新日涨幅-1.38%; 状态bottom_area; 底部未确认
26,77.04287786741847,75.18001035421665,601777,千里科技,bottom_area,2024-01-12,3.39,2024-01-08,3.3,2.7272727272727364,4.242424242424246,28.41648590021693,False,-0.5865,0.2688,2,2,2,100.0,18.054796625798296,27.96352583586626,5.272727272727264,2.7272727272727364,历史2/2次成功; 当前距低点2.73%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
27,76.76587919842723,76.22017831090942,002413,雷科防务,bottom_area,2024-01-12,5.14,2024-01-10,4.96,3.6290322580645102,4.032258064516133,27.906976744186046,False,0.7843,1.934,1,1,1,100.0,28.894472361809044,28.894472361809044,4.37096774193549,3.6290322580645102,历史1/1次成功; 当前距低点3.63%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
28,75.8990395953114,73.27968079251512,002195,岩山科技,bottom_area,2024-01-12,2.82,2024-01-11,2.76,2.173913043478263,4.347826086956526,29.230769230769234,False,-1.7422,1.2495,1,1,1,100.0,17.72151898734177,17.72151898734177,5.8260869565217375,2.173913043478263,历史1/1次成功; 当前距低点2.17%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
29,75.64659003623038,70.52478970582176,600981,苏豪汇鸿,bottom_area,2024-01-12,2.82,2024-01-10,2.81,0.35587188612098886,2.8469750889679744,27.948717948717945,False,-1.7422,0.8912,1,1,1,100.0,20.463320463320475,20.463320463320475,7.644128113879011,0.35587188612098886,历史1/1次成功; 当前距低点0.36%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
30,74.9651319457385,73.7259554249461,603306,华懋科技,bottom_area,2024-01-12,23.37,2024-01-11,22.66,3.1332744924977973,5.8693733451014936,27.603833865814696,False,-0.4685,1.828,2,2,2,100.0,15.214092837855201,19.519094766619503,4.866725507502203,3.1332744924977973,历史2/2次成功; 当前距低点3.13%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
31,74.56355046606899,70.22072272638248,002632,道明光学,bottom_area,2024-01-12,8.02,2024-01-11,7.95,0.8805031446540804,4.276729559748415,31.876606683804624,False,-2.9056,6.0693,1,1,1,100.0,25.259515570934255,25.259515570934255,7.119496855345919,0.8805031446540804,历史1/1次成功; 当前距低点0.88%; 最新日涨幅-2.91%; 状态bottom_area; 底部未确认
32,73.73430566322844,68.89841678686722,002862,实丰文化,bottom_area,2024-01-12,16.96,2024-01-12,16.88,0.47393364928911047,7.345971563981054,32.45298119247699,False,-6.8132,22.0604,1,1,1,100.0,23.381642512077295,23.381642512077295,7.52606635071089,0.47393364928911047,历史1/1次成功; 当前距低点0.47%; 最新日涨幅-6.81%; 状态bottom_area; 底部未确认
33,73.49960837268027,73.22623044568304,601016,节能风电,bottom_area,2024-01-12,3.0,2023-12-27,2.89,3.806228373702418,5.8823529411764675,29.166666666666664,False,1.3514,0.6555,1,1,1,100.0,14.970059880239523,14.970059880239523,4.193771626297583,3.806228373702418,历史1/1次成功; 当前距低点3.81%; 最新日涨幅1.35%; 状态bottom_area; 底部未确认
34,73.0877806392779,71.16251124416308,601933,永辉超市,bottom_area,2024-01-12,2.75,2024-01-10,2.68,2.6119402985074567,4.104477611940293,32.83208020050125,False,-0.3623,0.3035,1,1,1,100.0,11.70825335892515,11.70825335892515,5.388059701492544,2.6119402985074567,历史1/1次成功; 当前距低点2.61%; 最新日涨幅-0.36%; 状态bottom_area; 底部未确认
35,72.91652830173172,71.32618447246186,001366,播恩集团,bottom_area,2024-01-12,15.5,2024-01-11,15.07,2.8533510285335084,4.512276045122759,27.478344562078927,False,-0.2574,10.0694,1,1,1,100.0,15.547445255474459,15.547445255474459,5.146648971466491,2.8533510285335084,历史1/1次成功; 当前距低点2.85%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
36,72.8793472377806,68.30155997393071,300413,芒果超媒,bottom_area,2024-01-12,22.44,2024-01-11,22.3,0.6278026905829621,3.8116591928251022,28.79948914431673,False,-2.3074,2.0802,1,1,1,100.0,11.843817787418656,11.843817787418656,7.372197309417038,0.6278026905829621,历史1/1次成功; 当前距低点0.63%; 最新日涨幅-2.31%; 状态bottom_area; 底部未确认
37,72.81252055153965,72.61996317142464,002041,登海种业,bottom_area,2024-01-12,12.37,2024-01-10,11.91,3.862300587741386,5.793450881612086,29.484902309058615,False,-0.8019,0.5327,2,2,2,100.0,18.2043468358871,21.395106715252467,4.137699412258614,3.862300587741386,历史2/2次成功; 当前距低点3.86%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
38,72.46171718030571,67.9142313448041,000700,模塑科技,bottom_area,2024-01-12,6.38,2024-01-12,6.34,0.6309148264984233,1.7350157728706677,31.08695652173913,False,-0.9317,1.4672,1,1,1,100.0,9.799554565701547,9.799554565701547,7.369085173501578,0.6309148264984233,历史1/1次成功; 当前距低点0.63%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
39,67.31689360203507,67.78515876565295,002544,普天科技,bottom_area,2024-01-12,17.95,2024-01-12,17.2,4.3604651162790695,5.232558139534897,29.45036915504512,False,-0.6091,1.3117,1,1,1,100.0,14.983974358974352,14.983974358974352,3.639534883720931,4.3604651162790695,历史1/1次成功; 当前距低点4.36%; 最新日涨幅-0.61%; 状态bottom_area; 底部未确认
40,65.45413348423617,61.781434754185014,002660,茂硕电源,bottom_area,2024-01-12,10.12,2024-01-10,10.02,0.9980039920159646,3.9920159680638756,31.275720164609055,False,-2.0329,7.5377,2,3,2,66.66666666666666,20.21622144792876,24.71428571428572,7.001996007984035,0.9980039920159646,历史2/3次成功; 当前距低点1.00%; 最新日涨幅-2.03%; 状态bottom_area; 底部未确认
41,61.10610586430038,58.360283420590996,600986,浙文互联,bottom_area,2024-01-12,5.05,2024-01-10,4.97,1.6096579476861181,4.828973843058355,30.489510489510497,False,-2.3211,2.4927,1,2,1,50.0,22.25969645868466,22.25969645868466,6.3903420523138825,1.6096579476861181,历史1/2次成功; 当前距低点1.61%; 最新日涨幅-2.32%; 状态bottom_area; 底部未确认
42,58.40511760526822,55.391307115742386,605118,力鼎光电,bottom_area,2024-01-12,20.32,2024-01-12,20.07,1.2456402590931739,5.530642750373689,31.43149982917663,False,-4.4214,3.5128,1,2,1,50.0,12.050359712230225,12.050359712230225,6.754359740906827,1.2456402590931739,历史1/2次成功; 当前距低点1.25%; 最新日涨幅-4.42%; 状态bottom_area; 底部未确认
43,57.397029167054654,53.69844133599771,300451,创业慧康,bottom_area,2024-01-12,5.61,2024-01-12,5.58,0.5376344086021551,2.688172043010759,29.89949748743718,False,-2.2648,1.5421,1,2,1,50.0,23.89380530973452,23.89380530973452,7.462365591397845,0.5376344086021551,历史1/2次成功; 当前距低点0.54%; 最新日涨幅-2.26%; 状态bottom_area; 底部未确认
