rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.49637122211433,81.92397291196389,002584,西陇科学,bottom_area,2022-01-27,8.95,2022-01-27,8.86,1.0158013544018043,6.433408577878108,29.06325060048039,False,-1.9715,13.2308,1,1,1,100.0,68.08510638297875,68.08510638297875,18.984198645598198,1.0158013544018043,历史1/1次成功; 当前距低点1.02%; 最新日涨幅-1.97%; 状态bottom_area; 底部未确认
2,92.7204511146425,79.03721881685534,600217,中再资环,bottom_area,2022-01-27,5.73,2022-01-26,5.66,1.2367491166077789,3.5335689045936425,28.894472361809044,False,-1.2069,0.8098,1,1,1,100.0,37.18820861678004,37.18820861678004,18.76325088339222,1.2367491166077789,历史1/1次成功; 当前距低点1.24%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
3,91.43592142877499,80.1669197774702,002603,以岭药业,bottom_area,2022-01-27,20.73,2022-01-26,20.17,2.7764005949429778,5.999008428358935,27.757879656160455,False,2.1182,3.9941,1,1,1,100.0,39.661898569570866,39.661898569570866,17.223599405057023,2.7764005949429778,历史1/1次成功; 当前距低点2.78%; 最新日涨幅2.12%; 状态bottom_area; 底部未确认
4,90.06939858416835,75.22489734037941,603368,柳药集团,bottom_area,2022-01-27,16.51,2022-01-27,16.49,0.12128562765314208,3.941782898726514,29.46963216424295,False,-2.5384,1.6285,1,1,1,100.0,42.85714285714285,42.85714285714285,19.87871437234686,0.12128562765314208,历史1/1次成功; 当前距低点0.12%; 最新日涨幅-2.54%; 状态bottom_area; 底部未确认
5,89.16915641694212,76.123930002212,603351,威尔药业,bottom_area,2022-01-27,28.43,2022-01-27,28.06,1.3186029935851782,5.880256593014976,27.305699481865293,False,-0.5596,3.7402,1,1,1,100.0,22.528735632183903,22.528735632183903,18.681397006414823,1.3186029935851782,历史1/1次成功; 当前距低点1.32%; 最新日涨幅-0.56%; 状态bottom_area; 底部未确认
6,88.20349876979438,73.81949045436004,300447,全信股份,bottom_area,2022-01-27,17.1,2022-01-27,17.06,0.234466588511153,7.151230949589698,27.650551314673454,False,-4.6291,2.6151,2,2,2,100.0,30.236958474007892,30.328638497652584,19.765533411488846,0.234466588511153,历史2/2次成功; 当前距低点0.23%; 最新日涨幅-4.63%; 状态bottom_area; 底部未确认
7,86.95548241390159,72.8628477828478,300511,雪榕生物,bottom_area,2022-01-27,6.68,2022-01-27,6.66,0.30030030030029387,3.7537537537537538,31.198347107438014,False,-3.0479,2.8581,2,2,2,100.0,25.900712191034756,29.220779220779214,19.699699699699707,0.30030030030029387,历史2/2次成功; 当前距低点0.30%; 最新日涨幅-3.05%; 状态bottom_area; 底部未确认
8,84.31751080953649,70.45223752597427,600391,航发科技,bottom_area,2022-01-27,20.65,2022-01-27,20.62,0.14548981571288838,5.9165858389912644,30.1490514905149,False,-4.4424,2.864,1,1,1,100.0,27.709431751611014,27.709431751611014,19.854510184287115,0.14548981571288838,历史1/1次成功; 当前距低点0.15%; 最新日涨幅-4.44%; 状态bottom_area; 底部未确认
9,83.09069539244743,69.65507256024499,300339,润和软件,bottom_area,2022-01-27,18.56,2022-01-27,18.5,0.3243243243243174,7.945945945945939,27.450980392156865,False,-6.8273,4.6858,1,1,1,100.0,25.615763546798025,25.615763546798025,19.675675675675684,0.3243243243243174,历史1/1次成功; 当前距低点0.32%; 最新日涨幅-6.83%; 状态bottom_area; 底部未确认
10,82.91502970892195,69.4772200772201,600418,江淮汽车,bottom_area,2022-01-27,13.36,2022-01-27,13.32,0.30030030030029387,5.105105105105103,28.884143085958357,False,-3.4682,2.2366,1,1,1,100.0,24.365079365079367,24.365079365079367,19.699699699699707,0.30030030030029387,历史1/1次成功; 当前距低点0.30%; 最新日涨幅-3.47%; 状态bottom_area; 底部未确认
11,82.58980384451377,69.0354271356784,002806,华锋股份,bottom_area,2022-01-27,12.02,2022-01-27,12.0,0.16666666666666313,5.583333333333332,31.856899488926743,False,-5.1302,2.2288,1,1,1,100.0,20.35175879396985,20.35175879396985,19.83333333333334,0.16666666666666313,历史1/1次成功; 当前距低点0.17%; 最新日涨幅-5.13%; 状态bottom_area; 底部未确认
