rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.19400238647069,81.08700736772873,300584,海辰药业,bottom_area,2024-04-16,14.37,2024-04-16,14.2,1.1971830985915488,9.647887323943669,28.96448224112056,False,-7.8255,3.2074,2,2,2,100.0,41.271961465147655,54.23197492163009,18.802816901408452,1.1971830985915488,历史2/2次成功; 当前距低点1.20%; 最新日涨幅-7.83%; 状态bottom_area; 底部未确认
2,94.49826919644289,79.35389248851074,300480,光力科技,bottom_area,2024-04-16,14.42,2024-04-16,14.36,0.4178272980501428,8.495821727019504,27.438100050530572,False,-7.6233,2.0038,4,4,4,100.0,28.906122193898153,39.69465648854962,19.582172701949858,0.4178272980501428,历史4/4次成功; 当前距低点0.42%; 最新日涨幅-7.62%; 状态bottom_area; 底部未确认
3,92.98684204627291,77.69686148451196,301421,波长光电,bottom_area,2024-04-16,34.27,2024-04-16,34.22,0.14611338398598558,13.091759205143202,27.299766305502448,False,-9.7683,11.9907,2,2,2,100.0,55.83051282051284,56.02000000000002,19.853886616014016,0.14611338398598558,历史2/2次成功; 当前距低点0.15%; 最新日涨幅-9.77%; 状态bottom_area; 底部未确认
4,90.8128125,75.67734375,603122,合富中国,bottom_area,2024-04-16,5.59,2024-04-16,5.59,0.0,7.513416815742397,29.150823827629914,False,-7.2968,4.3726,2,2,2,100.0,49.609375,72.1590909090909,20.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-7.30%; 状态bottom_area; 底部未确认
5,90.2601981746416,76.15597500168398,300649,杭州园林,bottom_area,2024-04-16,8.92,2024-04-16,8.86,0.6772009029345428,14.221218961625281,32.46951219512195,False,-11.332,4.6471,2,2,2,100.0,48.22576914179969,71.60305343511452,19.322799097065456,0.6772009029345428,历史2/2次成功; 当前距低点0.68%; 最新日涨幅-11.33%; 状态bottom_area; 底部未确认
6,88.20470972953594,74.19510546577482,300738,奥飞数据,bottom_area,2024-04-16,9.84,2024-04-16,9.79,0.5107252298263607,8.784473953013292,29.416005767844272,False,-5.4755,6.5375,2,2,2,100.0,35.642790267628556,44.8948948948949,19.48927477017364,0.5107252298263607,历史2/2次成功; 当前距低点0.51%; 最新日涨幅-5.48%; 状态bottom_area; 底部未确认
7,88.03490996256279,75.37331758343501,688114,华大智造,bottom_area,2024-04-16,53.6,2024-04-15,52.82,1.476713366149188,4.770920106020453,29.033991670025532,False,-1.4525,0.7059,1,1,1,100.0,20.431312141156706,20.431312141156706,18.523286633850812,1.476713366149188,历史1/1次成功; 当前距低点1.48%; 最新日涨幅-1.45%; 状态bottom_area; 底部未确认
8,87.95837233974382,73.90502497502499,688232,新点软件,bottom_area,2024-04-16,20.11,2024-04-16,20.02,0.4495504495504488,5.494505494505502,29.803646563814866,False,-4.5109,2.6182,1,1,1,100.0,51.87398153177622,51.87398153177622,19.550449550449553,0.4495504495504488,历史1/1次成功; 当前距低点0.45%; 最新日涨幅-4.51%; 状态bottom_area; 底部未确认
9,87.93350159909592,73.37968003661459,688328,深科达,bottom_area,2024-04-16,13.22,2024-04-16,13.21,0.07570022710067968,13.171839515518533,31.83694530443756,False,-11.8667,6.8628,2,2,2,100.0,25.92621803443088,29.170984455958543,19.92429977289932,0.07570022710067968,历史2/2次成功; 当前距低点0.08%; 最新日涨幅-11.87%; 状态bottom_area; 底部未确认
10,87.76621968364506,74.64441004914593,002215,诺普信,bottom_area,2024-04-16,7.27,2024-04-16,7.19,1.1126564673157047,6.397774687065367,28.386454183266924,False,-4.8429,5.0291,1,1,1,100.0,22.264875239923228,22.264875239923228,18.887343532684298,1.1126564673157047,历史1/1次成功; 当前距低点1.11%; 最新日涨幅-4.84%; 状态bottom_area; 底部未确认
11,87.5436667173573,73.28479747939171,603230,内蒙新华,bottom_area,2024-04-16,12.15,2024-04-16,12.12,0.24752475247525693,5.528052805280527,27.207207207207208,False,-4.3307,9.3887,2,2,2,100.0,27.522332876533863,31.521142229544196,19.752475247524746,0.24752475247525693,历史2/2次成功; 当前距低点0.25%; 最新日涨幅-4.33%; 状态bottom_area; 底部未确认
