rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.77535112292279,79.47954214805306,600935,华塑股份,bottom_area,2023-06-16,3.77,2023-05-31,3.69,2.168021680216804,3.2520325203252063,27.788649706457928,False,0.266,0.2037,1,1,1,100.0,28.50877192982458,28.50877192982458,12.831978319783193,2.168021680216804,历史1/1次成功; 当前距低点2.17%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
2,84.87518700261703,79.21172569109638,688075,安旭生物,bottom_area,2023-06-16,67.1,2023-05-10,64.65,3.789636504253656,7.764887857695276,30.37906525953047,True,1.039,1.7042,4,5,4,80.0,31.086542584917854,40.134529147982065,11.210363495746343,3.789636504253656,历史4/5次成功; 当前距低点3.79%; 最新日涨幅1.04%; 状态bottom_area; 底部已确认
3,82.37296841201517,72.66667319732755,688302,海创药业,bottom_area,2023-06-16,54.97,2023-06-16,54.55,0.7699358386801132,4.216315307057753,27.111170497060407,False,-1.7164,2.1855,1,1,1,100.0,37.054445750097926,37.054445750097926,14.230064161319886,0.7699358386801132,历史1/1次成功; 当前距低点0.77%; 最新日涨幅-1.72%; 状态bottom_area; 底部未确认
4,82.3321870340818,77.18450494972264,600955,维远股份,bottom_area,2023-06-16,18.84,2023-06-12,18.11,4.030922142462731,4.638321369409166,28.924646781789644,False,0.9646,0.3494,2,2,2,100.0,22.33874964805201,25.969084423305596,10.969077857537268,4.030922142462731,历史2/2次成功; 当前距低点4.03%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
5,82.25561826304869,75.88049248755938,002041,登海种业,bottom_area,2023-06-16,15.64,2023-06-07,15.16,3.166226912928763,4.221635883905018,28.49056603773585,False,0.7732,0.5611,1,1,1,100.0,21.395106715252467,21.395106715252467,11.833773087071236,3.166226912928763,历史1/1次成功; 当前距低点3.17%; 最新日涨幅0.77%; 状态bottom_area; 底部未确认
6,81.20135737946025,73.96102926896937,688289,圣湘生物,bottom_area,2023-06-16,17.33,2023-06-12,16.91,2.483737433471308,2.956830277942046,31.399594320486813,False,-0.1728,0.4088,1,1,1,100.0,25.182530200451346,25.182530200451346,12.516262566528692,2.483737433471308,历史1/1次成功; 当前距低点2.48%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
7,80.87163944397817,75.24591836062335,600256,广汇能源,bottom_area,2023-06-16,7.43,2023-06-01,7.17,3.6262203626220333,5.718270571827059,29.49852507374631,False,0.4054,1.6042,1,1,1,100.0,23.62204724409449,23.62204724409449,11.373779637377966,3.6262203626220333,历史1/1次成功; 当前距低点3.63%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
8,79.39165421536948,70.21030644896621,688176,亚虹医药,bottom_area,2023-06-16,11.18,2023-06-15,11.08,0.9025270758122712,3.158844765342957,31.520395550061803,False,-0.2676,1.6533,1,1,1,100.0,25.473484848484844,25.473484848484844,14.097472924187729,0.9025270758122712,历史1/1次成功; 当前距低点0.90%; 最新日涨幅-0.27%; 状态bottom_area; 底部未确认
9,78.630811522729,71.19148923494984,601666,平煤股份,bottom_area,2023-06-16,7.56,2023-06-15,7.4,2.162162162162152,2.567567567567561,27.236971484759092,False,0.3984,1.1315,2,3,2,66.66666666666666,22.766410204370302,27.30923694779115,12.837837837837847,2.162162162162152,历史2/3次成功; 当前距低点2.16%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
10,78.48911876757896,74.33812147361436,000723,美锦能源,bottom_area,2023-06-16,6.85,2023-06-14,6.55,4.580152671755722,4.7328244274809235,30.907172995780595,False,0.7353,0.8729,1,1,1,100.0,30.434782608695667,30.434782608695667,10.419847328244277,4.580152671755722,历史1/1次成功; 当前距低点4.58%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
11,76.73994375134848,73.03624094668108,600995,南网储能,bottom_area,2023-06-16,11.26,2023-06-07,10.74,4.841713221601486,4.841713221601486,32.7909887359199,False,1.9005,1.3835,1,1,1,100.0,26.64165103189493,26.64165103189493,10.158286778398514,4.841713221601486,历史1/1次成功; 当前距低点4.84%; 最新日涨幅1.90%; 状态bottom_area; 底部未确认
