rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,98.64154621177336,84.69498452086444,000065,北方国际,bottom_area,2024-08-12,9.34,2024-07-25,9.19,1.632208922742115,8.7051142546246,30.641509433962266,True,-1.3728,0.4338,3,3,3,100.0,29.926993896325044,41.48061104582843,18.367791077257888,1.632208922742115,历史3/3次成功; 当前距低点1.63%; 最新日涨幅-1.37%; 状态bottom_area; 底部已确认
2,91.0037249002382,78.65645964132777,301606,绿联科技,bottom_area,2024-08-12,30.17,2024-08-08,29.58,1.9945909398242172,4.462474645030428,28.705712219812014,False,1.072,16.3124,1,1,1,100.0,21.957671957671955,21.957671957671955,18.005409060175783,1.9945909398242172,历史1/1次成功; 当前距低点1.99%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
3,90.1836303578742,82.04647149299866,000811,冰轮环境,bottom_area,2024-08-12,8.51,2024-07-24,8.12,4.802955665024638,11.083743842364537,31.64983164983166,True,0.0,0.637,3,3,3,100.0,32.0817763938432,47.451868629671566,15.197044334975363,4.802955665024638,历史3/3次成功; 当前距低点4.80%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
4,88.76619424079816,77.85832061068703,002687,乔治白,bottom_area,2024-08-12,4.04,2024-07-25,3.93,2.7989821882951618,5.852417302798981,32.82051282051282,False,-0.2469,0.6433,1,1,1,100.0,64.00000000000001,64.00000000000001,17.201017811704837,2.7989821882951618,历史1/1次成功; 当前距低点2.80%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
5,88.29377043382766,73.57814202818972,000901,航天科技,bottom_area,2024-08-12,11.19,2024-08-12,11.19,0.0,0.0,27.19583604424203,False,-9.9759,1.4884,2,2,2,100.0,38.32334423757916,42.402315484804625,20.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-9.98%; 状态bottom_area; 底部未确认
6,87.82144882297688,78.102078992766,002563,森马服饰,bottom_area,2024-08-12,4.95,2024-07-30,4.78,3.5564853556485336,7.531380753138063,29.080118694362017,True,0.8147,0.4457,1,1,1,100.0,28.929384965831446,28.929384965831446,16.443514644351467,3.5564853556485336,历史1/1次成功; 当前距低点3.56%; 最新日涨幅0.81%; 状态bottom_area; 底部已确认
7,87.81637214608342,77.99901036757774,002552,宝鼎科技,bottom_area,2024-08-12,10.98,2024-07-25,10.61,3.487276154571169,10.084825636192276,30.197368421052634,True,-1.0811,0.5945,1,1,1,100.0,52.23596574690771,52.23596574690771,16.512723845428834,3.487276154571169,历史1/1次成功; 当前距低点3.49%; 最新日涨幅-1.08%; 状态bottom_area; 底部已确认
8,86.7959003843508,77.8046573569215,001218,丽臣实业,bottom_area,2024-08-12,14.33,2024-07-25,13.78,3.991291727140789,6.603773584905662,30.404040404040412,False,0.4205,1.0632,2,2,2,100.0,25.18711018711019,29.999999999999993,16.008708272859213,3.991291727140789,历史2/2次成功; 当前距低点3.99%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
9,84.43362841973851,75.80907753394548,300349,金卡智能,bottom_area,2024-08-12,10.46,2024-07-25,10.05,4.079601990049753,9.55223880597014,32.59557344064386,True,-1.5992,1.0804,1,1,1,100.0,45.48693586698337,45.48693586698337,15.92039800995025,4.079601990049753,历史1/1次成功; 当前距低点4.08%; 最新日涨幅-1.60%; 状态bottom_area; 底部已确认
10,81.98558018252933,68.32131681877445,301348,蓝箭电子,bottom_area,2024-08-12,22.98,2024-08-12,22.98,0.0,15.317667536988683,32.90510948905109,False,-20.0139,8.8332,1,1,1,100.0,26.727509778357234,26.727509778357234,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-20.01%; 状态bottom_area; 底部未确认
11,74.20777709069365,64.37301145216799,600343,航天动力,bottom_area,2024-08-12,7.92,2024-08-12,7.75,2.1935483870967736,6.064516129032267,30.803571428571423,False,-5.9382,6.3847,2,4,2,50.0,38.62527835886361,55.72413793103447,17.806451612903228,2.1935483870967736,历史2/4次成功; 当前距低点2.19%; 最新日涨幅-5.94%; 状态bottom_area; 底部未确认
12,72.8858943245956,62.87794326241134,300424,航新科技,bottom_area,2024-08-12,12.93,2024-08-12,12.69,1.891252955082744,5.752561071710011,27.2362385321101,False,-2.1936,5.8117,1,2,1,50.0,52.29885057471265,52.29885057471265,18.108747044917255,1.891252955082744,历史1/2次成功; 当前距低点1.89%; 最新日涨幅-2.19%; 状态bottom_area; 底部未确认
13,70.51469328179472,62.07138103161396,600058,五矿发展,bottom_area,2024-08-12,6.19,2024-07-25,6.01,2.9950083194675643,8.153078202995012,31.85941043083901,True,-1.1182,0.2431,1,2,1,50.0,99.54954954954954,99.54954954954954,17.004991680532434,2.9950083194675643,历史1/2次成功; 当前距低点3.00%; 最新日涨幅-1.12%; 状态bottom_area; 底部已确认
14,69.49201017811704,59.11333333333333,001239,永达股份,bottom_area,2024-08-12,14.41,2024-08-12,14.25,1.1228070175438607,5.263157894736842,30.791646430305974,False,-4.443,22.2302,1,3,1,33.33333333333333,62.04678362573098,62.04678362573098,18.87719298245614,1.1228070175438607,历史1/3次成功; 当前距低点1.12%; 最新日涨幅-4.44%; 状态bottom_area; 底部未确认
15,69.12720184337432,59.44881920057533,001203,大中矿业,bottom_area,2024-08-12,8.28,2024-08-05,8.14,1.719901719901705,3.4398034398034314,30.00859845227859,False,-0.4808,0.3403,1,2,1,50.0,29.46341463414634,29.46341463414634,18.280098280098294,1.719901719901705,历史1/2次成功; 当前距低点1.72%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
16,60.58690647482014,50.489088729016785,002651,利君股份,bottom_area,2024-08-12,5.29,2024-08-12,5.29,0.0,4.914933837429108,27.134986225895315,False,-10.034,9.9093,1,3,1,33.33333333333333,41.96642685851319,41.96642685851319,20.0,0.0,历史1/3次成功; 当前距低点0.00%; 最新日涨幅-10.03%; 状态bottom_area; 底部未确认
