rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.03918079953142,84.12275016604565,300349,金卡智能,bottom_area,2024-07-19,10.71,2024-07-18,10.55,1.5165876777251197,2.654028436018951,29.24211938296445,False,0.0935,0.8031,1,1,1,100.0,45.48693586698337,45.48693586698337,13.48341232227488,1.5165876777251197,历史1/1次成功; 当前距低点1.52%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
2,93.29797878344796,85.24383691527898,000811,冰轮环境,bottom_area,2024-07-19,8.52,2024-07-18,8.3,2.65060240963854,3.734939759036129,30.13468013468013,False,0.5903,1.599,3,3,3,100.0,32.0817763938432,47.451868629671566,12.349397590361459,2.65060240963854,历史3/3次成功; 当前距低点2.65%; 最新日涨幅0.59%; 状态bottom_area; 底部未确认
3,92.39734567630126,84.59342723414322,000065,北方国际,bottom_area,2024-07-19,9.68,2024-07-18,9.42,2.760084925690019,3.290870488322723,28.905660377358487,False,1.2552,0.5635,3,3,3,100.0,29.926993896325044,41.48061104582843,12.23991507430998,2.760084925690019,历史3/3次成功; 当前距低点2.76%; 最新日涨幅1.26%; 状态bottom_area; 底部未确认
4,91.50380325245106,84.23538133055271,603368,柳药集团,bottom_area,2024-07-19,17.21,2024-07-16,16.7,3.053892215568872,3.413173652694613,30.705394190871377,False,0.1163,0.8097,3,3,3,100.0,31.603524634675978,42.85714285714285,11.946107784431128,3.053892215568872,历史3/3次成功; 当前距低点3.05%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
5,90.76360706174665,83.23412047140988,600973,宝胜股份,bottom_area,2024-07-19,3.25,2024-07-18,3.16,2.84810126582278,3.4810126582278436,31.749460043196542,False,0.3086,0.4259,2,2,2,100.0,40.36446966390223,46.551724137931025,12.15189873417722,2.84810126582278,历史2/2次成功; 当前距低点2.85%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
6,89.33837340472346,80.25995012468826,002687,乔治白,bottom_area,2024-07-19,4.08,2024-07-09,4.01,1.745635910224446,6.733167082294276,31.45299145299145,False,-0.2445,0.5158,1,1,1,100.0,64.00000000000001,64.00000000000001,13.254364089775553,1.745635910224446,历史1/1次成功; 当前距低点1.75%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
7,87.90757967224812,81.72394599274395,002246,北化股份,bottom_area,2024-07-19,7.52,2024-07-18,7.26,3.5812672176308515,5.234159779614324,31.315042573320724,False,0.6693,1.4614,3,3,3,100.0,24.565780908291877,31.992687385740403,11.418732782369148,3.5812672176308515,历史3/3次成功; 当前距低点3.58%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
8,86.93060759918751,76.83554756231995,601886,江河集团,bottom_area,2024-07-19,4.62,2024-07-18,4.58,0.873362445414848,2.18340611353711,27.64612954186414,False,-1.2821,0.532,3,3,3,100.0,27.40222547239673,33.5540838852097,14.12663755458515,0.873362445414848,历史3/3次成功; 当前距低点0.87%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
9,86.84927534741092,79.15409790761943,605099,共创草坪,bottom_area,2024-07-19,18.33,2024-07-09,17.88,2.5167785234899287,9.060402684563766,28.96305125148988,True,-0.3804,0.0849,1,1,1,100.0,44.31372549019606,44.31372549019606,12.48322147651007,2.5167785234899287,历史1/1次成功; 当前距低点2.52%; 最新日涨幅-0.38%; 状态bottom_area; 底部已确认
10,86.59883007761474,79.95378238597995,603282,亚光股份,bottom_area,2024-07-19,15.75,2024-07-09,15.26,3.2110091743119282,7.7326343381389355,27.848699763593377,True,0.1271,0.662,1,1,1,100.0,34.64991023339317,34.64991023339317,11.78899082568807,3.2110091743119282,历史1/1次成功; 当前距低点3.21%; 最新日涨幅0.13%; 状态bottom_area; 底部已确认
11,85.91202934696243,78.35307123034228,000629,钒钛股份,bottom_area,2024-07-19,2.41,2024-07-18,2.35,2.5531914893617045,3.8297872340425467,28.78787878787878,False,0.0,0.4568,1,1,1,100.0,27.173913043478265,27.173913043478265,12.446808510638295,2.5531914893617045,历史1/1次成功; 当前距低点2.55%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
12,85.70161396559426,80.49189232869496,002254,泰和新材,bottom_area,2024-07-19,8.32,2024-07-09,7.99,4.1301627033792245,8.760951188986224,31.416309012875537,True,0.3619,0.5224,2,2,2,100.0,32.14335103440648,38.58695652173914,10.869837296620775,4.1301627033792245,历史2/2次成功; 当前距低点4.13%; 最新日涨幅0.36%; 状态bottom_area; 底部已确认
13,85.65219014331866,79.27775623145732,001218,丽臣实业,bottom_area,2024-07-19,14.52,2024-07-18,14.05,3.3451957295373584,3.70106761565836,29.040404040404038,False,0.9736,0.5815,2,2,2,100.0,25.18711018711019,29.999999999999993,11.654804270462641,3.3451957295373584,历史2/2次成功; 当前距低点3.35%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
14,85.47308168503478,74.9784331834616,601717,中创智领,bottom_area,2024-07-19,12.86,2024-07-19,12.8,0.46874999999999,2.0312499999999982,29.281767955801108,False,-1.2289,0.8852,2,2,2,100.0,29.124640771298786,35.43478260869567,14.531250000000009,0.46874999999999,历史2/2次成功; 当前距低点0.47%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
15,84.92716711556695,78.307428563153,603209,兴通股份,bottom_area,2024-07-19,12.48,2024-07-18,12.1,3.1404958677686015,4.132231404958678,27.674835624626425,False,-0.2398,0.6994,3,3,3,100.0,23.267522267018258,26.115859449192786,11.859504132231399,3.1404958677686015,历史3/3次成功; 当前距低点3.14%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
