rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,100.87885102633365,85.83189189189189,301260,格力博,bottom_area,2025-06-23,18.71,2025-06-23,18.5,1.1351351351351398,2.108108108108111,29.3353705118411,False,0.107,2.1601,1,1,1,100.0,58.71313672922254,58.71313672922254,18.86486486486486,1.1351351351351398,历史1/1次成功; 当前距低点1.14%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
2,98.3779471662982,84.56153846153849,001230,劲旅环境,bottom_area,2025-06-23,19.83,2025-06-23,19.5,1.6923076923076836,2.7692307692307647,30.629669156883672,False,1.0188,3.5477,1,1,1,100.0,84.69119579500656,84.69119579500656,18.307692307692317,1.6923076923076836,历史1/1次成功; 当前距低点1.69%; 最新日涨幅1.02%; 状态bottom_area; 底部未确认
3,94.8253658536585,82.71999999999998,603787,新日股份,bottom_area,2025-06-23,11.89,2025-06-23,11.6,2.500000000000008,2.6724137931034524,28.39506172839506,False,1.0195,3.5014,1,1,1,100.0,92.85714285714283,92.85714285714283,17.499999999999993,2.500000000000008,历史1/1次成功; 当前距低点2.50%; 最新日涨幅1.02%; 状态bottom_area; 底部未确认
4,93.63677463195488,79.95301305360087,605198,安德利,bottom_area,2025-06-23,39.65,2025-06-20,39.13,1.3289036544850397,5.264502938921531,29.748653500897664,False,-1.7105,1.5666,1,1,1,100.0,43.241469816272954,43.241469816272954,18.67109634551496,1.3289036544850397,历史1/1次成功; 当前距低点1.33%; 最新日涨幅-1.71%; 状态bottom_area; 底部未确认
5,92.32479748241649,79.77159327013884,600770,综艺股份,bottom_area,2025-06-23,5.16,2025-06-23,5.06,1.976284584980248,2.569169960474324,32.980132450331126,False,0.3891,1.6999,1,1,1,100.0,27.72861356932153,27.72861356932153,18.023715415019755,1.976284584980248,历史1/1次成功; 当前距低点1.98%; 最新日涨幅0.39%; 状态bottom_area; 底部未确认
6,91.71109756528247,79.01056326804512,003025,思进智能,bottom_area,2025-06-23,12.89,2025-06-23,12.66,1.8167456556082182,1.9747235387045814,27.98634812286689,False,0.9397,1.4535,1,1,1,100.0,21.681415929203535,21.681415929203535,18.183254344391784,1.8167456556082182,历史1/1次成功; 当前距低点1.82%; 最新日涨幅0.94%; 状态bottom_area; 底部未确认
7,91.18649185987492,79.46535238333328,688306,均普智能,bottom_area,2025-06-23,8.8,2025-06-23,8.59,2.4447031431897654,2.910360884749709,28.416666666666668,False,1.1494,0.766,1,1,1,100.0,31.824062095730905,31.824062095730905,17.555296856810234,2.4447031431897654,历史1/1次成功; 当前距低点2.44%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
8,90.6107837240366,79.12490973084886,000605,渤海股份,bottom_area,2025-06-23,6.82,2025-06-20,6.65,2.5563909774436078,2.857142857142849,29.25531914893617,False,1.6393,1.6788,3,4,3,75.0,35.52946859903381,56.66666666666668,17.443609022556394,2.5563909774436078,历史3/4次成功; 当前距低点2.56%; 最新日涨幅1.64%; 状态bottom_area; 底部未确认
9,90.58444171648411,78.92851596308591,002155,湖南黄金,bottom_area,2025-06-23,18.08,2025-06-20,17.65,2.4362606232294604,3.5127478753541137,28.222854819032133,False,1.459,2.4344,1,1,1,100.0,28.834355828220854,28.834355828220854,17.563739376770542,2.4362606232294604,历史1/1次成功; 当前距低点2.44%; 最新日涨幅1.46%; 状态bottom_area; 底部未确认
10,90.32855034273224,76.9232176723467,605377,华旺科技,bottom_area,2025-06-23,8.55,2025-06-23,8.45,1.1834319526627388,1.1834319526627388,30.04966887417219,False,-0.2334,0.4682,1,1,1,100.0,25.16904583020285,25.16904583020285,18.816568047337263,1.1834319526627388,历史1/1次成功; 当前距低点1.18%; 最新日涨幅-0.23%; 状态bottom_area; 底部未确认
11,89.78242838674383,78.0693407815313,603681,永冠新材,bottom_area,2025-06-23,14.53,2025-06-20,14.2,2.323943661971832,3.380281690140848,29.000000000000004,False,1.4665,3.1677,1,1,1,100.0,22.83834586466165,22.83834586466165,17.676056338028168,2.323943661971832,历史1/1次成功; 当前距低点2.32%; 最新日涨幅1.47%; 状态bottom_area; 底部未确认
12,89.57429401115243,76.18051346691995,000999,华润三九,bottom_area,2025-06-23,30.93,2025-06-23,30.59,1.11147433801896,1.6672115070284457,29.645814167433297,False,-0.6105,0.6498,1,1,1,100.0,20.293951384963254,20.293951384963254,18.88852566198104,1.11147433801896,历史1/1次成功; 当前距低点1.11%; 最新日涨幅-0.61%; 状态bottom_area; 底部未确认
13,89.3469617573373,77.96041872407663,600706,曲江文旅,bottom_area,2025-06-23,9.38,2025-06-23,9.15,2.513661202185797,2.841530054644806,27.66798418972332,False,0.6438,3.6757,1,1,1,100.0,24.578313253012034,24.578313253012034,17.486338797814206,2.513661202185797,历史1/1次成功; 当前距低点2.51%; 最新日涨幅0.64%; 状态bottom_area; 底部未确认
14,88.98888556844834,76.28838726558878,300627,华测导航,bottom_area,2025-06-23,32.16,2025-06-23,31.67,1.5472055573097407,2.4313230186296053,32.31459713614019,False,-0.5258,1.2858,1,1,1,100.0,26.215139442231067,26.215139442231067,18.45279444269026,1.5472055573097407,历史1/1次成功; 当前距低点1.55%; 最新日涨幅-0.53%; 状态bottom_area; 底部未确认
15,88.06474804765894,77.49628865979382,603327,福蓉科技,bottom_area,2025-06-23,8.99,2025-06-23,8.73,2.978235967926687,3.092783505154634,28.148148148148145,False,1.2387,0.7284,4,6,4,66.66666666666666,60.30969475756576,129.39632545931758,17.021764032073314,2.978235967926687,历史4/6次成功; 当前距低点2.98%; 最新日涨幅1.24%; 状态bottom_area; 底部未确认
16,87.39356273786176,77.08163793103444,603577,汇金通,bottom_area,2025-06-23,8.97,2025-06-23,8.7,3.103448275862085,3.4482758620689737,32.34836702954899,False,1.9318,2.5899,1,1,1,100.0,27.083333333333325,27.083333333333325,16.896551724137915,3.103448275862085,历史1/1次成功; 当前距低点3.10%; 最新日涨幅1.93%; 状态bottom_area; 底部未确认
17,86.55947705054781,76.21481457755002,600980,北矿科技,bottom_area,2025-06-23,22.25,2025-06-20,21.6,3.0092592592592524,3.6111111111110996,28.66578599735799,False,1.7375,11.5533,1,1,1,100.0,21.268417680973737,21.268417680973737,16.990740740740748,3.0092592592592524,历史1/1次成功; 当前距低点3.01%; 最新日涨幅1.74%; 状态bottom_area; 底部未确认
18,85.57474548001083,76.65490230294128,002909,集泰股份,bottom_area,2025-06-23,6.05,2025-06-23,5.82,3.9518900343642533,4.46735395189003,30.465949820788516,False,2.8912,3.6954,1,1,1,100.0,35.18930957683742,35.18930957683742,16.04810996563575,3.9518900343642533,历史1/1次成功; 当前距低点3.95%; 最新日涨幅2.89%; 状态bottom_area; 底部未确认
19,82.53636584707911,69.84610892425842,301550,斯菱智驱,bottom_area,2025-06-23,74.49,2025-06-23,73.87,0.8393123054013676,5.2795451468796415,27.917642466822794,False,-3.4478,7.4232,1,1,1,100.0,32.95559666975023,32.95559666975023,19.160687694598632,0.8393123054013676,历史1/1次成功; 当前距低点0.84%; 最新日涨幅-3.45%; 状态bottom_area; 底部未确认
20,82.53201127564674,74.89128135593221,600192,长城电工,bottom_area,2025-06-23,7.41,2025-06-23,7.08,4.661016949152543,5.225988700564973,27.085478887744596,False,2.9167,2.6719,1,1,1,100.0,34.400000000000006,34.400000000000006,15.338983050847457,4.661016949152543,历史1/1次成功; 当前距低点4.66%; 最新日涨幅2.92%; 状态bottom_area; 底部未确认
21,82.35200077685658,74.14033731419131,688448,磁谷科技,bottom_area,2025-06-23,28.35,2025-06-23,27.2,4.227941176470596,4.227941176470596,30.946940847930946,False,3.2035,2.268,1,1,1,100.0,25.053995680345576,25.053995680345576,15.772058823529406,4.227941176470596,历史1/1次成功; 当前距低点4.23%; 最新日涨幅3.20%; 状态bottom_area; 底部未确认
22,81.9322513042873,73.69425445183437,002427,尤夫股份,bottom_area,2025-06-23,8.23,2025-06-23,7.9,4.177215189873419,5.06329113924051,27.389705882352942,False,2.7466,5.0012,1,1,1,100.0,22.033898305084747,22.033898305084747,15.822784810126583,4.177215189873419,历史1/1次成功; 当前距低点4.18%; 最新日涨幅2.75%; 状态bottom_area; 底部未确认
23,81.46597181240033,71.73764699975114,300346,南大光电,bottom_area,2025-06-23,30.75,2025-06-13,29.85,3.015075376884417,3.9530988274706855,27.513355998057303,False,1.2179,2.4237,2,3,2,66.66666666666666,36.15780748591896,46.69811320754715,16.98492462311558,3.015075376884417,历史2/3次成功; 当前距低点3.02%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
24,79.48457662444285,70.06186434744197,002615,哈尔斯,bottom_area,2025-06-23,8.06,2025-06-23,7.82,3.0690537084399003,3.0690537084399003,30.673758865248217,False,1.5113,10.9561,2,3,2,66.66666666666666,27.80989320439935,28.84012539184954,16.9309462915601,3.0690537084399003,历史2/3次成功; 当前距低点3.07%; 最新日涨幅1.51%; 状态bottom_area; 底部未确认
25,78.98838134475565,68.39401440717383,300697,电工合金,bottom_area,2025-06-23,11.22,2025-06-23,10.99,2.092811646951778,2.4567788898999052,30.53097345132743,False,1.2635,1.4666,2,4,2,50.0,26.320564313031607,31.64400494437578,17.907188353048223,2.092811646951778,历史2/4次成功; 当前距低点2.09%; 最新日涨幅1.26%; 状态bottom_area; 底部未确认
26,78.37559982645189,67.90410575127841,688114,华大智造,bottom_area,2025-06-23,63.42,2025-06-23,62.1,2.1256038647343,4.251207729468589,28.20809248554913,False,1.0677,1.515,2,4,2,50.0,24.08861592942264,27.745919717688572,17.8743961352657,2.1256038647343,历史2/4次成功; 当前距低点2.13%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
27,78.22762616277605,67.53029058030403,688136,科兴制药,bottom_area,2025-06-23,40.2,2025-06-23,39.44,1.926977687626788,4.893509127789046,32.23367697594502,False,-1.3497,3.2578,2,4,2,50.0,42.117202731683314,60.65012831479899,18.07302231237321,1.926977687626788,历史2/4次成功; 当前距低点1.93%; 最新日涨幅-1.35%; 状态bottom_area; 底部未确认
28,73.46063532986831,63.30949275362321,605136,丽人丽妆,bottom_area,2025-06-23,10.54,2025-06-23,10.35,1.8357487922705265,2.3188405797101472,28.768066070199588,False,0.381,4.9501,1,4,1,25.0,52.667814113597245,52.667814113597245,18.164251207729475,1.8357487922705265,历史1/4次成功; 当前距低点1.84%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
29,72.82364075838458,62.46082248282499,002041,登海种业,bottom_area,2025-06-23,9.68,2025-06-23,9.53,1.5739769150052505,1.783840503672612,29.719764011799416,False,0.5192,0.5245,1,2,1,50.0,21.395106715252467,21.395106715252467,18.42602308499475,1.5739769150052505,历史1/2次成功; 当前距低点1.57%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
30,72.46262282666787,63.599891939147724,688135,利扬芯片,bottom_area,2025-06-23,18.5,2025-06-23,17.99,2.8349082823791085,3.8910505836576035,30.459992269037507,False,1.4811,1.6571,2,5,2,40.0,31.309047435333802,40.41850220264317,17.165091717620893,2.8349082823791085,历史2/5次成功; 当前距低点2.83%; 最新日涨幅1.48%; 状态bottom_area; 底部未确认
