rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.41590559557365,86.28064776475566,000597,东北制药,bottom_area,2024-09-12,4.15,2024-08-26,4.07,1.9656019656019672,5.65110565110564,32.053422370617696,False,0.0,0.9186,3,3,3,100.0,29.259248636172746,61.02150537634409,8.034398034398032,1.9656019656019672,历史3/3次成功; 当前距低点1.97%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,88.7380828402145,83.029785113651,300455,航天智装,bottom_area,2024-09-12,10.08,2024-09-10,9.93,1.5105740181268918,3.625377643504526,27.939042089985485,False,-0.2967,0.8815,3,3,3,100.0,28.676848790216763,53.103448275862064,8.489425981873108,1.5105740181268918,历史3/3次成功; 当前距低点1.51%; 最新日涨幅-0.30%; 状态bottom_area; 底部未确认
3,85.45172862917072,79.65314477387079,000690,宝新能源,bottom_area,2024-09-12,3.86,2024-09-11,3.81,1.3123359580052447,2.624671916010501,27.15105162523901,False,0.2597,0.6333,1,1,1,100.0,18.953068592057758,18.953068592057758,8.687664041994756,1.3123359580052447,历史1/1次成功; 当前距低点1.31%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
4,84.02129782128405,79.33067217141705,600345,长江通信,bottom_area,2024-09-12,14.9,2024-09-10,14.61,1.9849418206707798,4.449007529089667,27.529761904761905,False,0.0672,1.3428,1,1,1,100.0,25.46419098143237,25.46419098143237,8.015058179329221,1.9849418206707798,历史1/1次成功; 当前距低点1.98%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
5,82.38553123010558,79.37643511538306,300653,正海生物,bottom_area,2024-09-12,18.94,2024-08-28,18.38,3.04678998911862,7.83460282916214,27.466456195737965,True,-0.9932,0.6247,3,3,3,100.0,18.672668228889858,29.647513278609367,6.953210010881381,3.04678998911862,历史3/3次成功; 当前距低点3.05%; 最新日涨幅-0.99%; 状态bottom_area; 底部已确认
6,82.01281280868471,75.74398757188693,000899,赣能股份,bottom_area,2024-09-12,7.31,2024-09-10,7.25,0.8275862068965464,2.758620689655175,27.427427427427432,False,0.2743,0.7893,5,6,5,83.33333333333334,17.943821453106086,27.473958333333325,9.172413793103454,0.8275862068965464,历史5/6次成功; 当前距低点0.83%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
7,81.96487808872197,77.54148862403285,001286,陕西能源,bottom_area,2024-09-12,8.8,2024-09-11,8.62,2.0881670533642867,3.8283062645011614,31.749802058590664,False,1.1494,1.2769,1,1,1,100.0,17.110266159695826,17.110266159695826,7.911832946635713,2.0881670533642867,历史1/1次成功; 当前距低点2.09%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
8,81.4971838733101,77.1150693253016,300401,花园生物,bottom_area,2024-09-12,12.16,2024-09-10,11.91,2.0990764063811924,5.289672544080596,30.023501762632193,False,-0.491,3.5529,2,2,2,100.0,20.757868450810403,29.551451187335093,7.900923593618808,2.0990764063811924,历史2/2次成功; 当前距低点2.10%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
9,81.09711141462833,75.78362924994968,603079,圣达生物,bottom_area,2024-09-12,10.54,2024-08-26,10.39,1.4436958614051836,6.929740134744936,28.83561643835616,False,-0.7533,0.8808,1,1,1,100.0,22.232558139534888,22.232558139534888,8.556304138594816,1.4436958614051836,历史1/1次成功; 当前距低点1.44%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
10,81.05035099216998,78.77357250168247,600262,北方股份,bottom_area,2024-09-12,15.95,2024-08-29,15.41,3.5042180402336087,7.722258273848159,31.48065807025344,True,0.3776,2.2819,2,2,2,100.0,15.232202330188693,17.269624573378834,6.495781959766392,3.5042180402336087,历史2/2次成功; 当前距低点3.50%; 最新日涨幅0.38%; 状态bottom_area; 底部已确认
11,80.92064945840937,79.70818689715684,000532,华金资本,bottom_area,2024-09-12,10.65,2024-09-04,10.22,4.207436399217218,7.632093933463789,27.926657263751757,True,0.2825,2.8943,2,2,2,100.0,28.877106921355356,32.044198895027606,5.792563600782782,4.207436399217218,历史2/2次成功; 当前距低点4.21%; 最新日涨幅0.28%; 状态bottom_area; 底部已确认
