rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.94323033963249,79.87291613452537,688289,圣湘生物,bottom_area,2023-05-16,18.29,2023-04-26,17.98,1.7241379310344755,12.45828698553948,27.058823529411757,False,0.0547,0.6202,1,1,1,100.0,25.182530200451346,25.182530200451346,13.275862068965525,1.7241379310344755,历史1/1次成功; 当前距低点1.72%; 最新日涨幅0.05%; 状态bottom_area; 底部未确认
2,87.48718224912317,78.38149932884086,600203,福日电子,bottom_area,2023-05-16,5.72,2023-05-15,5.63,1.598579040852573,2.6642984014209654,28.824273072060684,False,-0.3484,0.8765,2,2,2,100.0,21.43150291389641,24.045801526717554,13.401420959147426,1.598579040852573,历史2/2次成功; 当前距低点1.60%; 最新日涨幅-0.35%; 状态bottom_area; 底部未确认
3,86.90167361299,80.42975353354507,688206,概伦电子,bottom_area,2023-05-16,27.21,2023-05-15,26.33,3.3421952145841343,5.089251804025839,28.6449864498645,False,0.8151,1.3587,2,2,2,100.0,31.34386356342422,39.570720968629594,11.657804785415864,3.3421952145841343,历史2/2次成功; 当前距低点3.34%; 最新日涨幅0.82%; 状态bottom_area; 底部未确认
4,86.62346736666562,78.22278869867164,688181,八亿时空,bottom_area,2023-05-16,33.81,2023-05-15,33.14,2.0217260108630106,3.198551599275806,29.157759726378796,False,-0.7631,0.6217,2,2,2,100.0,25.76518281418983,28.477257745550418,12.97827398913699,2.0217260108630106,历史2/2次成功; 当前距低点2.02%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
5,86.54975337166525,77.41531020678923,300661,圣邦股份,bottom_area,2023-05-16,120.91,2023-05-15,119.11,1.5112081269414803,3.584921501133403,30.475134251692737,False,-1.1446,0.8685,1,1,1,100.0,31.832606108687024,31.832606108687024,13.48879187305852,1.5112081269414803,历史1/1次成功; 当前距低点1.51%; 最新日涨幅-1.14%; 状态bottom_area; 底部未确认
6,85.54362548909604,75.90703552708212,002383,合众思壮,bottom_area,2023-05-16,6.53,2023-05-15,6.46,1.0835913312693541,4.1795665634675,29.166666666666664,False,-2.099,0.9021,1,1,1,100.0,18.48184818481848,18.48184818481848,13.916408668730645,1.0835913312693541,历史1/1次成功; 当前距低点1.08%; 最新日涨幅-2.10%; 状态bottom_area; 底部未确认
7,84.96450623209344,77.4931319315778,688350,富淼科技,bottom_area,2023-05-16,16.45,2023-05-05,16.04,2.5561097256857868,4.301745635910232,32.774518021793796,False,-0.4237,1.5437,2,2,2,100.0,28.392807022265636,38.54748603351957,12.443890274314212,2.5561097256857868,历史2/2次成功; 当前距低点2.56%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
8,84.86366656458814,75.88072750022346,002385,大北农,bottom_area,2023-05-16,6.8,2023-05-15,6.7,1.4925373134328304,2.9850746268656745,32.25480283114257,False,-1.1628,0.756,1,1,1,100.0,23.353293413173663,23.353293413173663,13.507462686567168,1.4925373134328304,历史1/1次成功; 当前距低点1.49%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
9,84.44836173649487,77.66083587050359,002553,南方精工,bottom_area,2023-05-16,9.96,2023-04-26,9.67,2.9989658738366174,7.445708376421931,28.844738778513612,True,-0.8955,1.441,2,2,2,100.0,25.52945195081221,32.14285714285715,12.001034126163383,2.9989658738366174,历史2/2次成功; 当前距低点3.00%; 最新日涨幅-0.90%; 状态bottom_area; 底部已确认
10,83.96499045389872,75.31334559454282,300762,上海瀚讯,bottom_area,2023-05-16,11.63,2023-05-10,11.44,1.6608391608391722,4.895104895104899,27.50316856780735,False,-3.0025,1.131,1,1,1,100.0,32.580961727183514,32.580961727183514,13.339160839160828,1.6608391608391722,历史1/1次成功; 当前距低点1.66%; 最新日涨幅-3.00%; 状态bottom_area; 底部未确认
11,83.72970654633093,75.52375959079285,000629,钒钛股份,bottom_area,2023-05-16,4.16,2023-04-25,4.08,1.960784313725492,9.803921568627459,31.08108108108108,False,-1.1876,0.4451,1,1,1,100.0,27.173913043478265,27.173913043478265,13.039215686274508,1.960784313725492,历史1/1次成功; 当前距低点1.96%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
12,83.58555873253817,75.96004726251051,688048,长光华芯,bottom_area,2023-05-16,86.24,2023-05-12,84.25,2.3620178041542967,4.629080118694369,29.20168067226891,False,-1.1576,2.0214,2,2,2,100.0,17.771225032162963,19.48504983388705,12.637982195845703,2.3620178041542967,历史2/2次成功; 当前距低点2.36%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
13,82.23993053515245,76.67897765142312,002245,蔚蓝锂芯,bottom_area,2023-05-16,11.1,2023-04-26,10.7,3.7383177570093498,8.317757009345799,29.512516469038214,False,-1.2456,1.4349,3,3,3,100.0,21.840549125830286,25.653923541247494,11.26168224299065,3.7383177570093498,历史3/3次成功; 当前距低点3.74%; 最新日涨幅-1.25%; 状态bottom_area; 底部未确认
14,82.06131856906079,76.83426919900907,002079,苏州固锝,bottom_area,2023-05-16,12.59,2023-05-10,12.11,3.96366639141206,4.624277456647404,28.512396694214885,False,0.8814,2.0508,2,2,2,100.0,19.631336405529957,22.488479262672804,11.03633360858794,3.96366639141206,历史2/2次成功; 当前距低点3.96%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
15,81.98556925933563,71.53071196167656,600199,金种子酒,bottom_area,2023-05-16,22.39,2023-05-16,22.35,0.17897091722594696,2.4608501118568107,29.002541296060986,False,-2.2698,0.9771,1,1,1,100.0,23.70304114490161,23.70304114490161,14.821029082774054,0.17897091722594696,历史1/1次成功; 当前距低点0.18%; 最新日涨幅-2.27%; 状态bottom_area; 底部未确认
16,81.93476140461298,73.71891538637928,600114,东睦股份,bottom_area,2023-05-16,7.25,2023-05-10,7.12,1.825842696629212,4.2134831460674125,27.04918032786885,False,-0.9563,1.394,1,1,1,100.0,15.816326530612232,15.816326530612232,13.174157303370787,1.825842696629212,历史1/1次成功; 当前距低点1.83%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
17,81.75413983502388,72.89870065880872,300426,华智数媒,confirmed_rebound,2023-05-16,12.06,2023-05-16,11.9,1.3445378151260516,15.96638655462185,30.57176196032672,False,-12.5453,8.3572,1,1,1,100.0,25.936811168258643,25.936811168258643,13.655462184873949,1.3445378151260516,历史1/1次成功; 当前距低点1.34%; 最新日涨幅-12.55%; 状态confirmed_rebound; 底部未确认
18,81.69217938665197,76.72585562149082,688075,安旭生物,bottom_area,2023-05-16,67.32,2023-05-10,64.65,4.129930394431535,4.94972931167825,30.37906525953047,False,0.0,0.9444,4,5,4,80.0,31.086542584917854,40.134529147982065,10.870069605568464,4.129930394431535,历史4/5次成功; 当前距低点4.13%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
