rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.76252062993,76.39505664930006,688231,隆达股份,bottom_area,2026-06-23,34.29,48.98,2026-06-23,33.9,1.150442477876108,7.079646017699111,30.78807676602695,29.99183340138832,False,-27.2746553552492,1.5317325145485459,1,1,1,100.0,32.140137090632145,32.140137090632145,18.849557522123895,1.150442477876108,历史1/1次成功; 当前距低点1.15%; 最新日涨幅-27.27%; 状态bottom_area; 底部未确认
2,88.53870967419222,79.299804715204,002959,小熊电器,bottom_area,2026-06-23,33.2,47.25,2026-06-22,31.94,3.9448966812774,5.35378835316217,32.4021164021164,29.73544973544973,False,0.9425357251444222,0.6597195864762779,4,5,4,80.0,42.6568233791208,54.51934124856377,16.0551033187226,3.9448966812774,历史4/5次成功; 当前距低点3.94%; 最新日涨幅0.94%; 状态bottom_area; 底部未确认
3,86.86009481022333,75.67551083584137,002489,浙江永强,bottom_area,2026-06-23,2.95,4.06,2026-06-22,2.88,2.4305555555555656,4.861111111111115,29.064039408866993,27.339901477832502,False,0.3401360544217802,1.699683019425178,6,9,6,66.66666666666666,33.497370085168754,49.82935153583616,17.569444444444436,2.4305555555555656,历史6/9次成功; 当前距低点2.43%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
4,83.6681121035217,73.97642690607125,002385,大北农,bottom_area,2026-06-23,2.87,4.13,2026-06-22,2.78,3.237410071942457,7.1942446043165535,32.68765133171913,30.508474576271183,True,0.0,2.5810360470580083,6,9,6,66.66666666666666,25.059436577598955,33.263598326359826,16.762589928057544,3.237410071942457,历史6/9次成功; 当前距低点3.24%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
5,81.77460059098837,70.34678026310627,600452,涪陵电力,bottom_area,2026-06-23,9.96,14.08,2026-06-22,9.79,1.7364657814096192,3.3707865168539337,30.468750000000007,29.26136363636363,False,-1.5810276679841695,1.819560097772321,7,12,7,58.333333333333336,36.8687575881014,79.2298716452742,18.263534218590383,1.7364657814096192,历史7/12次成功; 当前距低点1.74%; 最新日涨幅-1.58%; 状态bottom_area; 底部未确认
6,80.97013648611424,73.80995725338934,301272,英华特,bottom_area,2026-06-23,36.1,48.58,2026-06-22,34.41,4.911362975879119,7.0909619296716215,29.168382050226437,25.689584191025105,True,0.6131549609810438,3.1608012129917804,1,1,1,100.0,22.46163891609533,22.46163891609533,15.088637024120882,4.911362975879119,历史1/1次成功; 当前距低点4.91%; 最新日涨幅0.61%; 状态bottom_area; 底部已确认
7,77.87726809009172,65.00600112075506,002714,牧原股份,bottom_area,2026-06-23,33.02,45.39,2026-06-22,32.99,0.09093664746893342,6.214004243710206,27.31879268561357,27.25269883234192,False,-2.7393225331369675,1.7338706308531182,2,3,2,66.66666666666666,26.433709732890065,29.00378310214376,19.909063352531067,0.09093664746893342,历史2/3次成功; 当前距低点0.09%; 最新日涨幅-2.74%; 状态bottom_area; 底部未确认
8,77.86166109329025,65.92583292410266,603118,共进股份,bottom_area,2026-06-23,12.77,18.36,2026-06-23,12.66,0.8688783570300113,4.107424960505526,31.045751633986924,30.446623093681918,False,-2.6676829268292623,3.626439173503429,4,6,4,66.66666666666666,24.248435007873248,29.32154925916299,19.13112164296999,0.8688783570300113,历史4/6次成功; 当前距低点0.87%; 最新日涨幅-2.67%; 状态bottom_area; 底部未确认
9,76.98524269781362,66.127429655003,300486,东杰智能,bottom_area,2026-06-23,22.12,30.16,2026-06-23,21.76,1.6544117647058796,4.1360294117646985,27.85145888594164,26.657824933687003,False,-0.2705139765554532,3.159418445525352,7,14,7,50.0,31.233809024367805,50.88323998276606,18.345588235294123,1.6544117647058796,历史7/14次成功; 当前距低点1.65%; 最新日涨幅-0.27%; 状态bottom_area; 底部未确认
10,76.90967612652491,68.89430329930771,300360,炬华科技,bottom_area,2026-06-23,12.36,16.58,2026-06-22,11.89,3.9529015979814877,5.887300252312862,28.287092882991544,25.452352231604337,False,-0.6430868167202619,0.975220504969087,4,6,4,66.66666666666666,38.17339933354215,45.75059571088166,16.047098402018513,3.9529015979814877,历史4/6次成功; 当前距低点3.95%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
11,76.90529069483802,67.57421684858006,603233,大参林,bottom_area,2026-06-23,15.99,21.99,2026-06-22,15.54,2.895752895752903,4.826254826254826,29.331514324693043,27.285129604365615,False,0.7561436672967936,0.43872152789487356,3,6,3,50.0,31.75555618761657,47.400768245838684,17.104247104247097,2.895752895752903,历史3/6次成功; 当前距低点2.90%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
