rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.48295994205282,84.65108531993425,300563,神宇股份,bottom_area,2025-11-19,36.3,2025-11-19,35.9,1.1142061281337008,4.6518105849582225,30.29126213592233,False,-2.9152,3.9997,4,4,4,100.0,15.86814673160799,20.477137176938378,6.8857938718663,1.1142061281337008,历史4/4次成功; 当前距低点1.11%; 最新日涨幅-2.92%; 状态bottom_area; 底部未确认
2,86.05008739609052,81.47063748321055,002338,奥普光电,bottom_area,2025-11-19,50.71,2025-11-18,50.13,1.1569918212647083,2.533413125872723,28.742004264392314,False,-0.2165,1.4111,3,3,3,100.0,15.960101267172554,20.995288574793882,6.8430081787352925,1.1569918212647083,历史3/3次成功; 当前距低点1.16%; 最新日涨幅-0.22%; 状态bottom_area; 底部未确认
3,85.20004502020528,83.32925386621284,002678,珠江钢琴,bottom_area,2025-11-19,5.06,2025-11-03,4.92,2.8455284552845463,7.113821138211375,29.613733905579405,True,-2.8791,1.6454,4,4,4,100.0,20.79063841000859,35.5191256830601,5.154471544715454,2.8455284552845463,历史4/4次成功; 当前距低点2.85%; 最新日涨幅-2.88%; 状态bottom_area; 底部已确认
4,84.52241924016545,78.76379477453087,001209,洪兴股份,bottom_area,2025-11-19,21.14,2025-11-19,21.07,0.3322259136212638,4.176554342667295,31.701782820097247,False,-1.537,5.3053,4,4,4,100.0,14.469192782727669,21.88679245283018,7.667774086378737,0.3322259136212638,历史4/4次成功; 当前距低点0.33%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
5,83.6883526880465,79.17185426502442,603151,邦基科技,bottom_area,2025-11-19,19.03,2025-11-19,18.82,1.1158342189160513,3.613177470775769,30.218761586948457,False,-2.4103,2.2054,1,1,1,100.0,36.42987249544626,36.42987249544626,6.884165781083949,1.1158342189160513,历史1/1次成功; 当前距低点1.12%; 最新日涨幅-2.41%; 状态bottom_area; 底部未确认
6,83.3185030755943,78.57438902146791,600094,大名城,bottom_area,2025-11-19,4.24,2025-11-19,4.2,0.9523809523809532,2.3809523809523725,29.054054054054053,False,-0.9346,1.6753,3,3,3,100.0,37.7194494241746,87.28070175438596,7.0476190476190474,0.9523809523809532,历史3/3次成功; 当前距低点0.95%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
7,82.92525335040371,81.8576191894284,002062,宏润建设,bottom_area,2025-11-19,9.63,2025-11-18,9.32,3.326180257510735,7.081545064377684,27.751937984496124,False,0.5219,2.0627,3,3,3,100.0,22.15758159437036,33.22683706070288,4.673819742489265,3.326180257510735,历史3/3次成功; 当前距低点3.33%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
8,81.75942611573768,75.94573594767057,603809,豪能股份,bottom_area,2025-11-19,12.06,2025-11-19,12.04,0.16611295681064245,2.4086378737541607,29.176470588235297,False,-1.9512,1.4635,2,2,2,100.0,30.615448866660387,31.661442006269603,7.833887043189359,0.16611295681064245,历史2/2次成功; 当前距低点0.17%; 最新日涨幅-1.95%; 状态bottom_area; 底部未确认
9,81.73521348423631,75.68075322614473,000691,亚太实业,bottom_area,2025-11-19,9.03,2025-11-19,9.03,0.0,2.657807308970102,30.10835913312694,False,-4.9474,7.068,6,7,6,85.71428571428571,47.246753135954805,127.39965095986037,8.0,0.0,历史6/7次成功; 当前距低点0.00%; 最新日涨幅-4.95%; 状态bottom_area; 底部未确认
10,81.05905125589564,75.71001135268568,002790,瑞尔特,bottom_area,2025-11-19,8.9,2025-11-19,8.86,0.45146726862303527,3.273137697516941,32.9803328290469,False,-1.8743,4.2928,1,1,1,100.0,49.512670565302145,49.512670565302145,7.548532731376965,0.45146726862303527,历史1/1次成功; 当前距低点0.45%; 最新日涨幅-1.87%; 状态bottom_area; 底部未确认
11,80.86892202541615,75.51324789133405,300669,沪宁股份,bottom_area,2025-11-19,27.5,2025-11-19,27.38,0.4382761139517933,2.9218407596786,29.758850692662904,False,-1.9258,0.7665,3,3,3,100.0,14.95977113518351,19.86588432523052,7.561723886048206,0.4382761139517933,历史3/3次成功; 当前距低点0.44%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
