rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.71286955893952,81.57260447715815,605399,晨光新材,bottom_area,2025-01-03,10.73,2025-01-03,10.6,1.22641509433963,8.773584905660375,28.23290453622207,False,-5.7946,1.5003,2,2,2,100.0,44.24102630243285,52.857533497402244,18.77358490566037,1.22641509433963,历史2/2次成功; 当前距低点1.23%; 最新日涨幅-5.79%; 状态bottom_area; 底部未确认
2,92.46968450359032,77.33247597958616,300663,科蓝软件,bottom_area,2025-01-03,15.5,2025-01-03,15.47,0.1939237233354839,9.825468648998047,27.33677782996711,False,-7.8478,5.2489,2,2,2,100.0,48.62700036984445,76.77304964539006,19.806076276664516,0.1939237233354839,历史2/2次成功; 当前距低点0.19%; 最新日涨幅-7.85%; 状态bottom_area; 底部未确认
3,91.89610268760808,77.13377358490568,300348,长亮科技,bottom_area,2025-01-03,12.77,2025-01-03,12.72,0.3930817610062809,8.49056603773585,32.51989389920424,False,-6.5154,6.0088,2,2,2,100.0,61.67178134052256,87.71331058020478,19.60691823899372,0.3930817610062809,历史2/2次成功; 当前距低点0.39%; 最新日涨幅-6.52%; 状态bottom_area; 底部未确认
4,91.82772314624378,80.1340101484564,002077,大港股份,bottom_area,2025-01-03,14.24,2025-01-03,13.89,2.519798416126707,7.127429805615552,29.59959452610238,False,-0.5587,7.0146,3,3,3,100.0,25.479303963576843,26.22826908541193,17.480201583873296,2.519798416126707,历史3/3次成功; 当前距低点2.52%; 最新日涨幅-0.56%; 状态bottom_area; 底部未确认
5,91.41149192622555,76.56945710385385,002535,林州重机,bottom_area,2025-01-03,3.57,2025-01-03,3.56,0.2808988764044884,6.4606741573033695,29.08366533864541,False,-5.0532,2.0924,2,2,2,100.0,45.59089538739825,54.03225806451613,19.71910112359551,0.2808988764044884,历史2/2次成功; 当前距低点0.28%; 最新日涨幅-5.05%; 状态bottom_area; 底部未确认
6,91.03340139163492,76.90122538276873,000532,华金资本,bottom_area,2025-01-03,12.2,2025-01-03,12.11,0.7431874483897594,7.018992568125529,32.080762759394275,False,-4.8362,2.9792,3,3,3,100.0,36.37469228546977,51.36986301369863,19.256812551610242,0.7431874483897594,历史3/3次成功; 当前距低点0.74%; 最新日涨幅-4.84%; 状态bottom_area; 底部未确认
7,89.80856885799521,76.59019820248794,000402,金融街,bottom_area,2025-01-03,3.21,2025-01-02,3.17,1.2618296529968467,5.993690851735014,28.28054298642534,False,-1.8349,1.3531,1,1,1,100.0,24.339622641509433,24.339622641509433,18.738170347003155,1.2618296529968467,历史1/1次成功; 当前距低点1.26%; 最新日涨幅-1.83%; 状态bottom_area; 底部未确认
8,89.15559157706794,74.75801763261528,301322,绿通科技,bottom_area,2025-01-03,20.78,2025-01-03,20.71,0.3380009657170463,4.200869145340403,27.000352485019384,False,-2.6242,1.6465,1,1,1,100.0,43.003547497043755,43.003547497043755,19.661999034282953,0.3380009657170463,历史1/1次成功; 当前距低点0.34%; 最新日涨幅-2.62%; 状态bottom_area; 底部未确认
9,88.65162513434137,76.02619527614374,603319,美湖股份,bottom_area,2025-01-03,19.45,2025-01-03,19.15,1.5665796344647556,4.804177545691915,31.753385602280833,False,-2.2122,3.5516,3,4,3,75.0,29.209660444749293,43.981481481481474,18.433420365535248,1.5665796344647556,历史3/4次成功; 当前距低点1.57%; 最新日涨幅-2.21%; 状态bottom_area; 底部未确认
10,86.50886216972997,72.66529515654267,300456,赛微电子,bottom_area,2025-01-03,16.23,2025-01-03,16.16,0.43316831683168494,5.3836633663366396,27.53363228699552,False,-1.9928,2.8166,1,1,1,100.0,32.91891891891892,32.91891891891892,19.566831683168317,0.43316831683168494,历史1/1次成功; 当前距低点0.43%; 最新日涨幅-1.99%; 状态bottom_area; 底部未确认
11,86.01214467135884,72.09706689536877,000567,海德股份,bottom_area,2025-01-03,6.29,2025-01-03,6.27,0.3189792663476948,6.060606060606073,30.33333333333334,False,-4.5524,0.8772,1,1,1,100.0,38.67924528301886,38.67924528301886,19.681020733652307,0.3189792663476948,历史1/1次成功; 当前距低点0.32%; 最新日涨幅-4.55%; 状态bottom_area; 底部未确认
12,85.98485417457059,72.28359346544372,000042,中洲控股,bottom_area,2025-01-03,4.21,2025-01-03,4.19,0.47732696897373683,6.443914081145574,29.815745393634828,False,-4.5351,1.6578,2,2,2,100.0,24.956445993031362,28.57142857142858,19.522673031026265,0.47732696897373683,历史2/2次成功; 当前距低点0.48%; 最新日涨幅-4.54%; 状态bottom_area; 底部未确认
13,85.55017066553243,74.35812324871547,000155,川能动力,bottom_area,2025-01-03,10.67,2025-01-02,10.43,2.301054650047941,4.697986577181211,27.569444444444446,False,1.5224,1.6218,2,3,2,66.66666666666666,41.493877334183324,45.280898876404486,17.698945349952062,2.301054650047941,历史2/3次成功; 当前距低点2.30%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
14,85.05131311552587,71.88992656058753,000917,电广传媒,bottom_area,2025-01-03,6.5,2025-01-03,6.45,0.7751937984496096,8.992248062015506,28.412874583795777,False,-5.9334,3.5771,1,1,1,100.0,43.157894736842124,43.157894736842124,19.224806201550393,0.7751937984496096,历史1/1次成功; 当前距低点0.78%; 最新日涨幅-5.93%; 状态bottom_area; 底部未确认
15,84.85961023929487,70.92881926584054,600326,西藏天路,bottom_area,2025-01-03,6.12,2025-01-03,6.11,0.1636661211129261,6.382978723404249,31.731843575418985,False,-5.4096,3.9018,1,1,1,100.0,30.494505494505493,30.494505494505493,19.836333878887075,0.1636661211129261,历史1/1次成功; 当前距低点0.16%; 最新日涨幅-5.41%; 状态bottom_area; 底部未确认
