rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.7674735532963,83.9439106834152,301367,瑞迈特,confirmed_rebound,2024-04-18,73.83,2024-04-16,73.03,1.0954402300424444,8.024099685060932,28.387919199843108,False,-2.3413,1.7643,4,4,4,100.0,22.05115273070954,32.411969715178486,6.904559769957555,1.0954402300424444,历史4/4次成功; 当前距低点1.10%; 最新日涨幅-2.34%; 状态confirmed_rebound; 底部未确认
2,85.39554191250353,81.48182869298148,002432,九安医疗,bottom_area,2024-04-18,40.34,2024-04-17,39.72,1.560926485397796,3.57502517623364,27.75554747180793,False,-1.3692,2.4727,2,2,2,100.0,37.638392901550795,65.03496503496503,6.439073514602205,1.560926485397796,历史2/2次成功; 当前距低点1.56%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
3,83.62569406797854,77.43119821109124,603030,全筑股份,bottom_area,2024-04-18,1.96,2024-04-18,1.96,0.0,4.081632653061228,31.2280701754386,False,-4.8544,1.4644,5,5,5,100.0,25.70536672629696,50.5813953488372,8.0,0.0,历史5/5次成功; 当前距低点0.00%; 最新日涨幅-4.85%; 状态bottom_area; 底部未确认
4,82.04757602347253,80.71118172904822,688276,百克生物,bottom_area,2024-04-18,41.31,2024-04-15,40.05,3.1460674157303496,5.86766541822722,27.445652173913054,False,0.5109,1.2237,3,3,3,100.0,13.786104499534513,16.844155844155843,4.853932584269651,3.1460674157303496,历史3/3次成功; 当前距低点3.15%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
5,80.90596122175799,80.51067415730337,002685,华东重机,bottom_area,2024-04-18,2.77,2024-04-16,2.67,3.745318352059929,7.490636704119858,28.22580645161291,True,-2.807,2.6024,2,2,2,100.0,62.24778046811945,109.52380952380952,4.254681647940071,3.745318352059929,历史2/2次成功; 当前距低点3.75%; 最新日涨幅-2.81%; 状态bottom_area; 底部已确认
6,79.755518659843,79.29097529196267,002459,晶澳科技,bottom_area,2024-04-18,15.43,2024-04-18,14.88,3.6962365591397774,5.107526881720428,27.34375,False,-0.7717,1.7483,4,4,4,100.0,18.701046488179387,26.683937823834192,4.303763440860223,3.6962365591397774,历史4/4次成功; 当前距低点3.70%; 最新日涨幅-0.77%; 状态bottom_area; 底部未确认
7,78.72764068092495,77.2059011794176,002652,扬子新材,bottom_area,2024-04-18,2.07,2024-04-16,2.01,2.985074626865675,7.9601990049751326,28.469750889679723,True,-2.3585,5.0599,2,2,2,100.0,22.913286713286713,23.426573426573423,5.014925373134325,2.985074626865675,历史2/2次成功; 当前距低点2.99%; 最新日涨幅-2.36%; 状态bottom_area; 底部已确认
8,76.48280280616878,76.97750589112002,000042,中洲控股,bottom_area,2024-04-18,3.61,2024-04-17,3.46,4.335260115606934,6.358381502890179,32.81553398058253,False,0.0,2.0529,2,2,2,100.0,24.956445993031362,28.57142857142858,3.6647398843930667,4.335260115606934,历史2/2次成功; 当前距低点4.34%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
9,75.62385387560319,76.50676816840233,002156,通富微电,bottom_area,2024-04-18,20.45,2024-04-16,19.55,4.603580562659839,6.803069053708431,29.166666666666668,False,-1.0165,2.6343,4,4,4,100.0,14.854472318638509,21.92170818505337,3.3964194373401613,4.603580562659839,历史4/4次成功; 当前距低点4.60%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
10,75.32903163761503,76.6313678371268,002256,兆新股份,confirmed_rebound,2024-04-18,1.93,2024-04-16,1.84,4.891304347826079,8.152173913043473,30.82706766917293,True,-1.5306,1.0462,5,5,5,100.0,20.07280510844219,31.775700934579426,3.1086956521739215,4.891304347826079,历史5/5次成功; 当前距低点4.89%; 最新日涨幅-1.53%; 状态confirmed_rebound; 底部已确认
11,75.05313277621588,72.37972831824987,688177,百奥泰,bottom_area,2024-04-18,28.98,2024-04-16,28.38,2.1141649048625846,7.751937984496121,31.614457831325304,False,-1.796,0.6415,1,1,1,100.0,12.15066828675577,12.15066828675577,5.885835095137415,2.1141649048625846,历史1/1次成功; 当前距低点2.11%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
12,74.86787471138918,75.23637942694974,000421,南京公用,bottom_area,2024-04-18,4.41,2024-04-18,4.23,4.255319148936163,6.85579196217492,29.966887417218537,False,-3.0769,5.9854,5,5,5,100.0,13.970468207119307,30.864197530864196,3.744680851063837,4.255319148936163,历史5/5次成功; 当前距低点4.26%; 最新日涨幅-3.08%; 状态bottom_area; 底部未确认
13,74.60647108785581,73.55750938636629,688277,天智航,bottom_area,2024-04-18,7.91,2024-04-16,7.66,3.2637075718015662,6.788511749347252,29.981718464351005,False,-1.125,0.8483,2,2,2,100.0,15.907326075665967,20.469798657718112,4.736292428198434,3.2637075718015662,历史2/2次成功; 当前距低点3.26%; 最新日涨幅-1.12%; 状态bottom_area; 底部未确认
14,74.25603104553282,75.47154637996927,002370,亚太药业,confirmed_rebound,2024-04-18,3.03,2024-04-16,2.89,4.844290657439435,9.342560553633218,27.749999999999996,True,-1.9417,1.4608,5,5,5,100.0,13.260909026511698,15.633423180592995,3.155709342560565,4.844290657439435,历史5/5次成功; 当前距低点4.84%; 最新日涨幅-1.94%; 状态confirmed_rebound; 底部已确认
15,73.45621744251558,73.54109109518936,300725,药石科技,confirmed_rebound,2024-04-18,30.5,2024-04-16,29.31,4.060047765267831,9.757761856021846,27.053260328521656,True,-1.5176,3.097,1,1,1,100.0,43.26881720430109,43.26881720430109,3.939952234732169,4.060047765267831,历史1/1次成功; 当前距低点4.06%; 最新日涨幅-1.52%; 状态confirmed_rebound; 底部已确认
16,73.33442087471046,69.15879548682658,688114,华大智造,bottom_area,2024-04-18,53.0,2024-04-18,52.5,0.9523809523809524,4.723809523809518,29.463925836356314,False,-1.6698,0.6044,1,1,1,100.0,20.431312141156706,20.431312141156706,7.0476190476190474,0.9523809523809524,历史1/1次成功; 当前距低点0.95%; 最新日涨幅-1.67%; 状态bottom_area; 底部未确认
17,73.09471714495572,70.96574480092791,002377,国创高新,confirmed_rebound,2024-04-18,2.08,2024-04-18,2.03,2.4630541871921316,8.37438423645322,27.240143369175634,False,-3.2558,3.6748,2,2,2,100.0,12.588754557666471,14.814814814814808,5.536945812807868,2.4630541871921316,历史2/2次成功; 当前距低点2.46%; 最新日涨幅-3.26%; 状态confirmed_rebound; 底部未确认
18,72.92746307908361,72.52825009083621,002558,巨人网络,bottom_area,2024-04-18,10.61,2024-04-16,10.23,3.714565004887576,7.038123167155414,28.109627547434997,False,-0.7484,2.0464,2,2,2,100.0,15.900313451504728,18.872870249017044,4.285434995112424,3.714565004887576,历史2/2次成功; 当前距低点3.71%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
19,71.20468529948965,71.78101655697246,600250,南京商旅,confirmed_rebound,2024-04-18,8.27,2024-04-17,7.92,4.419191919191915,15.151515151515143,27.73722627737227,True,-3.6131,8.5725,3,3,3,100.0,15.09018350930115,19.004524886877824,3.5808080808080853,4.419191919191915,历史3/3次成功; 当前距低点4.42%; 最新日涨幅-3.61%; 状态confirmed_rebound; 底部已确认
20,70.7603287686497,70.6536817019298,000546,金圆股份,bottom_area,2024-04-18,4.77,2024-04-17,4.59,3.921568627450974,7.843137254901968,30.349013657056144,True,-3.2454,2.7954,2,2,2,100.0,9.380957916763542,10.151515151515152,4.078431372549026,3.921568627450974,历史2/2次成功; 当前距低点3.92%; 最新日涨幅-3.25%; 状态bottom_area; 底部已确认
21,70.0626450673961,65.31132548352001,301391,卡莱特,confirmed_rebound,2024-04-18,94.66,2024-04-18,94.33,0.34983568323968867,9.021520195059901,28.823662566965975,False,-4.5766,6.8527,1,1,1,100.0,12.790058286594078,12.790058286594078,7.650164316760312,0.34983568323968867,历史1/1次成功; 当前距低点0.35%; 最新日涨幅-4.58%; 状态confirmed_rebound; 底部未确认
22,69.79354275581684,69.52223646716449,000428,华天酒店,confirmed_rebound,2024-04-18,3.28,2024-04-17,3.16,3.797468354430369,11.075949367088596,28.828828828828833,True,-2.9586,4.3461,3,4,3,75.0,22.610023200353346,28.045977011494273,4.202531645569631,3.797468354430369,历史3/4次成功; 当前距低点3.80%; 最新日涨幅-2.96%; 状态confirmed_rebound; 底部已确认
23,68.63176033474026,68.92345886852841,301520,万邦医药,confirmed_rebound,2024-04-18,42.72,2024-04-16,40.99,4.220541595511093,10.026835813613074,27.80908770693906,False,-0.0702,5.1411,1,1,1,100.0,29.60372960372961,29.60372960372961,3.7794584044889072,4.220541595511093,历史1/1次成功; 当前距低点4.22%; 最新日涨幅-0.07%; 状态confirmed_rebound; 底部未确认
24,68.54308661395592,68.65077410274453,002638,勤上股份,confirmed_rebound,2024-04-18,2.04,2024-04-15,1.96,4.081632653061228,11.224489795918377,29.496402877697836,True,-2.3923,1.139,1,1,1,100.0,17.241379310344833,17.241379310344833,3.918367346938772,4.081632653061228,历史1/1次成功; 当前距低点4.08%; 最新日涨幅-2.39%; 状态confirmed_rebound; 底部已确认
25,67.06933695334281,62.27556659455282,000002,万科A,bottom_area,2024-04-18,6.88,2024-04-18,6.87,0.14556040756913807,2.6200873362445374,32.647058823529406,False,-3.0986,3.1583,2,3,2,66.66666666666666,22.638589554536463,28.255902513328245,7.854439592430862,0.14556040756913807,历史2/3次成功; 当前距低点0.15%; 最新日涨幅-3.10%; 状态bottom_area; 底部未确认
26,66.5612379249846,67.5150526611494,301393,昊帆生物,confirmed_rebound,2024-04-18,38.45,2024-04-16,36.71,4.739852901116867,8.96213565785889,31.38317757009346,True,-1.1822,4.2661,1,1,1,100.0,19.203856320945413,19.203856320945413,3.260147098883133,4.739852901116867,历史1/1次成功; 当前距低点4.74%; 最新日涨幅-1.18%; 状态confirmed_rebound; 底部已确认
