rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.459183557284,83.39229774542267,688300,联瑞新材,bottom_area,2023-08-17,42.15,2023-08-14,41.55,1.4440433212996424,3.7304452466907447,28.974358974358978,False,0.0712,0.1829,2,2,2,100.0,24.003852247235756,26.809910956252438,18.55595667870036,1.4440433212996424,历史2/2次成功; 当前距低点1.44%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
2,96.2975251979389,83.48849315068492,002150,正泰电源,bottom_area,2023-08-17,14.17,2023-08-17,13.87,2.1629416005767896,2.739726027397266,27.76041666666667,False,1.2143,1.2777,1,1,1,100.0,164.87025948103792,164.87025948103792,17.83705839942321,2.1629416005767896,历史1/1次成功; 当前距低点2.16%; 最新日涨幅1.21%; 状态bottom_area; 底部未确认
3,94.72734524114084,81.76002883922133,600935,华塑股份,bottom_area,2023-08-17,3.72,2023-06-27,3.65,1.9178082191780899,7.671232876712336,28.571428571428577,True,1.087,0.3244,1,1,1,100.0,28.50877192982458,28.50877192982458,18.08219178082191,1.9178082191780899,历史1/1次成功; 当前距低点1.92%; 最新日涨幅1.09%; 状态bottom_area; 底部已确认
4,91.20690688800225,79.3774823202529,002864,盘龙药业,bottom_area,2023-08-17,34.96,2023-08-08,34.15,2.371888726207913,7.349926793557827,27.340425531914896,True,0.1719,3.0792,1,1,1,100.0,21.26553019358567,21.26553019358567,17.628111273792086,2.371888726207913,历史1/1次成功; 当前距低点2.37%; 最新日涨幅0.17%; 状态bottom_area; 底部已确认
5,89.17636135009928,79.1620922226069,688328,深科达,bottom_area,2023-08-17,22.45,2023-08-17,21.7,3.4562211981566824,4.285714285714285,31.04544010168414,False,2.8873,2.7285,2,2,2,100.0,25.92621803443088,29.170984455958543,16.543778801843317,3.4562211981566824,历史2/2次成功; 当前距低点3.46%; 最新日涨幅2.89%; 状态bottom_area; 底部未确认
6,84.9133748713045,75.49621537458052,002219,新里程,bottom_area,2023-08-17,3.8,2023-08-07,3.67,3.542234332425066,6.267029972752043,29.42307692307693,False,0.2639,0.2806,1,1,1,100.0,23.938223938223942,23.938223938223942,16.457765667574936,3.542234332425066,历史1/1次成功; 当前距低点3.54%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
7,84.22536837296302,74.90612529792304,002519,银河电子,bottom_area,2023-08-17,5.53,2023-08-17,5.34,3.558052434456936,3.745318352059929,28.03234501347709,False,2.7881,1.75,1,1,1,100.0,20.959595959595962,20.959595959595962,16.441947565543064,3.558052434456936,历史1/1次成功; 当前距低点3.56%; 最新日涨幅2.79%; 状态bottom_area; 底部未确认
8,82.78666202083836,74.78705198286971,002755,奥赛康,bottom_area,2023-08-17,8.04,2023-08-08,7.7,4.4155844155844015,6.363636363636354,31.00358422939068,False,0.1245,0.2415,1,1,1,100.0,30.831099195710454,30.831099195710454,15.5844155844156,4.4155844155844015,历史1/1次成功; 当前距低点4.42%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
9,81.29322963039843,69.84899001617431,603348,文灿股份,bottom_area,2023-08-17,43.2,2023-08-17,42.49,1.670981407389976,3.6008472581783977,27.59032038173142,False,0.1159,1.6925,2,4,2,50.0,28.97219153238415,31.539888682745836,18.329018592610026,1.670981407389976,历史2/4次成功; 当前距低点1.67%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
10,80.97923580528374,71.66566540752738,688248,南网科技,bottom_area,2023-08-17,31.41,2023-08-17,30.41,3.288391976323578,4.242025649457413,29.246161005118655,False,1.5519,2.4851,2,3,2,66.66666666666666,39.12114218751869,49.406593406593416,16.711608023676423,3.288391976323578,历史2/3次成功; 当前距低点3.29%; 最新日涨幅1.55%; 状态bottom_area; 底部未确认
11,80.77663854129251,72.93140558611675,002819,东方中科,bottom_area,2023-08-17,26.42,2023-08-17,25.31,4.385618332674844,4.899249308573694,27.68571428571429,False,3.2435,0.7875,1,1,1,100.0,20.487179487179493,20.487179487179493,15.614381667325155,4.385618332674844,历史1/1次成功; 当前距低点4.39%; 最新日涨幅3.24%; 状态bottom_area; 底部未确认
