rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.64076423012807,85.18021847081003,000065,北方国际,bottom_area,2024-07-29,9.42,2024-07-25,9.19,2.502720348204575,3.69967355821545,30.641509433962266,False,0.2128,0.5543,3,3,3,100.0,29.926993896325044,41.48061104582843,17.497279651795427,2.502720348204575,历史3/3次成功; 当前距低点2.50%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
2,93.12782870229009,80.17893129770994,002687,乔治白,bottom_area,2024-07-29,4.0,2024-07-25,3.93,1.7811704834605555,2.5445292620865163,32.82051282051282,False,-0.2494,0.5333,1,1,1,100.0,64.00000000000001,64.00000000000001,18.218829516539444,1.7811704834605555,历史1/1次成功; 当前距低点1.78%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
3,91.80476743166203,77.96549370281821,002563,森马服饰,bottom_area,2024-07-29,4.89,2024-07-25,4.84,1.0330578512396658,5.7851239669421535,28.18991097922849,False,-2.9762,0.531,1,1,1,100.0,28.929384965831446,28.929384965831446,18.966942148760335,1.0330578512396658,历史1/1次成功; 当前距低点1.03%; 最新日涨幅-2.98%; 状态bottom_area; 底部未确认
4,91.48686590863988,81.6714734123688,000789,万年青,bottom_area,2024-07-29,4.41,2024-07-09,4.25,3.7647058823529442,7.2941176470588145,29.752066115702476,True,0.4556,0.3992,2,2,2,100.0,34.00539152759949,47.599999999999994,16.235294117647054,3.7647058823529442,历史2/2次成功; 当前距低点3.76%; 最新日涨幅0.46%; 状态bottom_area; 底部已确认
5,86.09069877094707,78.14725967033856,000811,冰轮环境,bottom_area,2024-07-29,8.5,2024-07-24,8.12,4.679802955665035,7.142857142857144,31.64983164983166,True,-1.9608,1.1173,3,3,3,100.0,32.0817763938432,47.451868629671566,15.320197044334966,4.679802955665035,历史3/3次成功; 当前距低点4.68%; 最新日涨幅-1.96%; 状态bottom_area; 底部已确认
6,85.78721137765379,75.91400290707982,300349,金卡智能,bottom_area,2024-07-29,10.38,2024-07-25,10.05,3.2835820895522394,4.4776119402985,32.59557344064386,False,-0.2882,0.7942,1,1,1,100.0,45.48693586698337,45.48693586698337,16.716417910447763,3.2835820895522394,历史1/1次成功; 当前距低点3.28%; 最新日涨幅-0.29%; 状态bottom_area; 底部未确认
7,85.0926426789377,76.49476908576813,002552,宝鼎科技,bottom_area,2024-07-29,11.05,2024-07-25,10.61,4.1470311027332825,7.16305372290292,30.197368421052634,True,-1.865,0.9438,1,1,1,100.0,52.23596574690771,52.23596574690771,15.852968897266717,4.1470311027332825,历史1/1次成功; 当前距低点4.15%; 最新日涨幅-1.86%; 状态bottom_area; 底部已确认
8,84.20151208859741,74.78285764719726,001218,丽臣实业,bottom_area,2024-07-29,14.26,2024-07-25,13.78,3.4833091436865056,4.2089985486211905,30.404040404040412,False,-0.1401,0.5476,2,2,2,100.0,25.18711018711019,29.999999999999993,16.516690856313495,3.4833091436865056,历史2/2次成功; 当前距低点3.48%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
9,83.49465939231159,74.93110458284373,000629,钒钛股份,bottom_area,2024-07-29,2.31,2024-07-25,2.22,4.054054054054047,4.954954954954949,32.72727272727272,False,0.0,0.4091,1,1,1,100.0,27.173913043478265,27.173913043478265,15.945945945945954,4.054054054054047,历史1/1次成功; 当前距低点4.05%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
10,80.47180585295932,72.87455928755622,600970,中材国际,bottom_area,2024-07-29,9.88,2024-07-25,9.45,4.550264550264567,5.079365079365084,30.206794682422455,False,3.4555,1.0648,1,1,1,100.0,22.19979818365287,22.19979818365287,15.449735449735435,4.550264550264567,历史1/1次成功; 当前距低点4.55%; 最新日涨幅3.46%; 状态bottom_area; 底部未确认
11,79.86976904381393,71.36269116988926,300435,中泰股份,bottom_area,2024-07-29,10.62,2024-07-25,10.23,3.81231671554251,5.571847507331381,27.549575070821525,False,-0.7477,0.4574,1,1,1,100.0,27.498781082398814,27.498781082398814,16.187683284457492,3.81231671554251,历史1/1次成功; 当前距低点3.81%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
