rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,81.51017306047814,68.71622583314527,000715,中兴商业,bottom_area,2022-05-06,6.37,2022-05-06,6.33,0.6319115323854665,8.056872037914689,31.493506493506494,False,-6.5982,13.5985,1,1,1,100.0,24.33862433862435,24.33862433862435,19.368088467614538,0.6319115323854665,历史1/1次成功; 当前距低点0.63%; 最新日涨幅-6.60%; 状态bottom_area; 底部未确认
2,79.56412326407784,71.50061750176431,002479,富春环保,bottom_area,2022-05-06,4.54,2022-04-28,4.36,4.1284403669724705,6.192660550458705,28.990228013029306,False,-1.3043,0.4745,1,1,1,100.0,32.11538461538461,32.11538461538461,15.871559633027532,4.1284403669724705,历史1/1次成功; 当前距低点4.13%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
3,77.97930881094958,70.72857142857146,002274,华昌化工,bottom_area,2022-05-06,8.35,2022-04-27,7.98,4.636591478696732,10.651629072681699,30.48780487804878,True,-2.907,1.4403,1,1,1,100.0,24.999999999999993,24.999999999999993,15.363408521303267,4.636591478696732,历史1/1次成功; 当前距低点4.64%; 最新日涨幅-2.91%; 状态bottom_area; 底部已确认
4,72.01325620166168,61.897970900525,300672,国科微,bottom_area,2022-05-06,60.14,2022-04-28,59.14,1.6909029421711192,8.555968887385868,27.60435793854817,True,-2.4018,2.3731,1,2,1,50.0,33.08187961653309,33.08187961653309,18.309097057828883,1.6909029421711192,历史1/2次成功; 当前距低点1.69%; 最新日涨幅-2.40%; 状态bottom_area; 底部已确认
5,65.02374620060792,57.04750000000001,002069,獐子岛,bottom_area,2022-05-06,3.29,2022-04-27,3.2,2.8124999999999956,9.374999999999995,29.824561403508763,True,-4.9133,0.0621,1,2,1,50.0,30.967741935483854,30.967741935483854,17.187500000000007,2.8124999999999956,历史1/2次成功; 当前距低点2.81%; 最新日涨幅-4.91%; 状态bottom_area; 底部已确认
6,62.178271572117076,52.25569577641214,000959,首钢股份,bottom_area,2022-05-06,4.35,2022-05-06,4.33,0.46189376443417024,4.3879907621247005,28.782894736842106,False,-6.4516,1.0227,1,2,1,50.0,25.423728813559325,25.423728813559325,19.53810623556583,0.46189376443417024,历史1/2次成功; 当前距低点0.46%; 最新日涨幅-6.45%; 状态bottom_area; 底部未确认
