rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.59318929077585,80.59828091564275,001332,锡装股份,bottom_area,2023-05-19,44.23,2023-05-19,43.7,1.2128146453089108,1.6704805491990775,30.213989140849563,False,-0.3829,1.3655,2,2,2,100.0,28.620958639500337,31.086142322097377,18.78718535469109,1.2128146453089108,历史2/2次成功; 当前距低点1.21%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
2,92.27242937241788,79.70375959079284,000629,钒钛股份,bottom_area,2023-05-19,4.16,2023-04-25,4.08,1.960784313725492,9.803921568627459,31.08108108108108,False,0.241,0.3861,1,1,1,100.0,27.173913043478265,27.173913043478265,18.03921568627451,1.960784313725492,历史1/1次成功; 当前距低点1.96%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
3,90.84454246637021,76.1306134969325,688077,大地熊,bottom_area,2023-05-19,26.16,2023-05-19,26.08,0.3067484662576758,2.3006134969325207,32.25974025974027,False,-0.5701,1.0105,1,1,1,100.0,53.68518518518518,53.68518518518518,19.693251533742327,0.3067484662576758,历史1/1次成功; 当前距低点0.31%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
4,89.52198122142866,78.09761023908597,688289,圣湘生物,bottom_area,2023-05-19,18.43,2023-04-26,17.98,2.5027808676306966,12.45828698553948,27.058823529411757,False,0.6554,0.5868,1,1,1,100.0,25.182530200451346,25.182530200451346,17.497219132369306,2.5027808676306966,历史1/1次成功; 当前距低点2.50%; 最新日涨幅0.66%; 状态bottom_area; 底部未确认
5,88.59578316915854,77.32921080945226,002041,登海种业,bottom_area,2023-05-19,15.8,2023-05-19,15.41,2.530824140168725,2.8552887735236827,27.311320754716977,False,1.5424,0.5925,1,1,1,100.0,21.395106715252467,21.395106715252467,17.469175859831275,2.530824140168725,历史1/1次成功; 当前距低点2.53%; 最新日涨幅1.54%; 状态bottom_area; 底部未确认
6,87.47591470038357,73.1015881404711,300661,圣邦股份,bottom_area,2023-05-19,117.68,2023-05-19,117.5,0.15319148936170793,2.893617021276601,31.414896100863878,False,-1.8024,0.9086,1,1,1,100.0,31.832606108687024,31.832606108687024,19.84680851063829,0.15319148936170793,历史1/1次成功; 当前距低点0.15%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
7,86.45075991757413,76.74701442672549,300653,正海生物,bottom_area,2023-05-19,35.29,2023-05-18,34.11,3.459396071533274,3.723248314277347,29.129441097028884,False,2.2899,1.4546,1,1,1,100.0,29.647513278609367,29.647513278609367,16.540603928466727,3.459396071533274,历史1/1次成功; 当前距低点3.46%; 最新日涨幅2.29%; 状态bottom_area; 底部未确认
8,86.1145079773729,73.60429065743948,300528,幸福蓝海,bottom_area,2023-05-19,8.79,2023-05-19,8.67,1.38408304498269,4.844290657439446,28.583196046128506,False,-3.9344,3.8813,1,1,1,100.0,20.0,20.0,18.615916955017312,1.38408304498269,历史1/1次成功; 当前距低点1.38%; 最新日涨幅-3.93%; 状态bottom_area; 底部未确认
9,85.72602573720353,75.9287656529517,600199,金种子酒,bottom_area,2023-05-19,22.63,2023-05-17,21.9,3.3333333333333353,4.337899543379009,30.43202033036849,False,0.7569,1.566,1,1,1,100.0,23.70304114490161,23.70304114490161,16.666666666666664,3.3333333333333353,历史1/1次成功; 当前距低点3.33%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
10,85.18648448686169,76.62005515745369,688075,安旭生物,bottom_area,2023-05-19,67.35,2023-05-10,64.65,4.17633410672852,5.939675174013904,30.37906525953047,False,0.763,2.5868,4,5,4,80.0,31.086542584917854,40.134529147982065,15.823665893271482,4.17633410672852,历史4/5次成功; 当前距低点4.18%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
11,80.58298266374418,71.27375722966542,002425,凯撒文化,bottom_area,2023-05-19,5.39,2023-05-17,5.22,3.256704980842911,8.620689655172416,28.296703296703303,True,-3.405,5.0036,1,1,1,100.0,21.231422505307858,21.231422505307858,16.743295019157088,3.256704980842911,历史1/1次成功; 当前距低点3.26%; 最新日涨幅-3.40%; 状态bottom_area; 底部已确认
12,74.91403535198458,67.18720495306918,002245,蔚蓝锂芯,bottom_area,2023-05-19,11.13,2023-04-26,10.7,4.018691588785061,8.317757009345799,29.512516469038214,False,0.2703,1.7359,2,3,2,66.66666666666666,23.995457574368096,25.653923541247494,15.98130841121494,4.018691588785061,历史2/3次成功; 当前距低点4.02%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
