rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.8304741129678,83.97124697018337,603260,合盛硅业,bottom_area,2023-10-25,54.32,2023-10-23,53.12,2.2590361445783187,4.160391566265062,28.69798657718121,False,0.129,0.1861,3,3,3,100.0,20.440050429150247,34.21399022188793,5.740963855421681,2.2590361445783187,历史3/3次成功; 当前距低点2.26%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
2,86.12320564897206,84.74944272934361,688071,华依科技,bottom_area,2023-10-25,38.15,2023-10-25,36.98,3.1638723634397024,4.948620876149286,27.617929144646713,False,1.0328,1.8206,4,4,4,100.0,19.048772677344818,29.494190020505805,4.836127636560298,3.1638723634397024,历史4/4次成功; 当前距低点3.16%; 最新日涨幅1.03%; 状态bottom_area; 底部未确认
3,84.41581775792339,80.85869395072255,000938,紫光股份,bottom_area,2023-10-25,19.64,2023-10-23,19.3,1.761658031088082,4.041450777202059,28.011935844834014,False,0.2041,1.1772,1,1,1,100.0,30.942334739803094,30.942334739803094,6.238341968911918,1.761658031088082,历史1/1次成功; 当前距低点1.76%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
4,84.40759313293611,82.29189927872295,000928,中钢国际,bottom_area,2023-10-25,6.13,2023-10-23,5.97,2.6800670016750443,5.192629815745402,31.06235565819862,False,0.8224,2.4656,3,3,3,100.0,16.57232280936585,18.798449612403097,5.319932998324956,2.6800670016750443,历史3/3次成功; 当前距低点2.68%; 最新日涨幅0.82%; 状态bottom_area; 底部未确认
5,84.11679807152301,81.55700468905559,300620,光库科技,bottom_area,2023-10-25,38.08,2023-10-24,37.19,2.393116429147622,5.8080129066953585,28.273866923818712,False,-1.3472,3.8052,6,6,6,100.0,14.91026961028043,22.444343480236245,5.606883570852378,2.393116429147622,历史6/6次成功; 当前距低点2.39%; 最新日涨幅-1.35%; 状态bottom_area; 底部未确认
6,83.3485731117499,83.09518867990087,600009,上海机场,bottom_area,2023-10-25,35.68,2023-10-23,34.36,3.8416763678696166,5.791618160651927,29.777232781524628,False,1.2199,0.5353,4,4,4,100.0,18.4634989174387,27.704918032786885,4.158323632130383,3.8416763678696166,历史4/4次成功; 当前距低点3.84%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
7,82.91092717350305,80.87249710937631,000977,浪潮信息,bottom_area,2023-10-25,28.47,2023-10-23,27.72,2.7056277056277054,6.782106782106792,28.13067150635209,False,0.0703,4.9019,3,3,3,100.0,9.25445310864232,10.985371239304456,5.294372294372295,2.7056277056277054,历史3/3次成功; 当前距低点2.71%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
8,82.12613105652977,80.16623046904137,688023,安恒信息,bottom_area,2023-10-25,120.19,2023-10-24,116.98,2.744058813472383,4.804240041032647,29.021297251380375,False,1.4262,0.7551,1,1,1,100.0,39.261744966442954,39.261744966442954,5.255941186527617,2.744058813472383,历史1/1次成功; 当前距低点2.74%; 最新日涨幅1.43%; 状态bottom_area; 底部未确认
9,81.43319849034187,75.90652142480546,603129,春风动力,bottom_area,2023-10-25,104.13,2023-10-25,103.77,0.3469210754553334,4.654524429025728,29.923014586709897,False,-2.0598,0.9326,3,3,3,100.0,15.954309015288315,20.09633197480549,7.653078924544666,0.3469210754553334,历史3/3次成功; 当前距低点0.35%; 最新日涨幅-2.06%; 状态bottom_area; 底部未确认
10,80.55109167077087,77.09080907856516,603326,我乐家居,bottom_area,2023-10-25,10.07,2023-10-23,9.9,1.7171717171717165,3.8383838383838285,30.76923076923077,False,-0.5923,2.9366,2,2,2,100.0,15.946024697401477,20.141843971631218,6.282828282828285,1.7171717171717165,历史2/2次成功; 当前距低点1.72%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
11,79.21812715228006,78.28506810132075,601890,亚星锚链,bottom_area,2023-10-25,8.86,2023-10-23,8.57,3.38389731621936,4.434072345390887,29.05629139072847,False,1.4891,1.0219,1,1,1,100.0,36.991150442477874,36.991150442477874,4.61610268378064,3.38389731621936,历史1/1次成功; 当前距低点3.38%; 最新日涨幅1.49%; 状态bottom_area; 底部未确认
12,78.78954867240216,74.76858691053228,300570,太辰光,bottom_area,2023-10-25,31.73,2023-10-23,31.33,1.2767315671880057,6.511330992658791,32.44933160845193,False,-2.2188,7.4855,1,1,1,100.0,14.728682170542637,14.728682170542637,6.723268432811995,1.2767315671880057,历史1/1次成功; 当前距低点1.28%; 最新日涨幅-2.22%; 状态bottom_area; 底部未确认
13,78.34921986724744,79.20782201405152,300586,美联新材,confirmed_rebound,2023-10-25,8.93,2023-10-23,8.54,4.566744730679164,8.313817330210783,27.008547008547012,False,1.7084,1.032,2,2,2,100.0,69.69134206257787,124.33414043583537,3.4332552693208362,4.566744730679164,历史2/2次成功; 当前距低点4.57%; 最新日涨幅1.71%; 状态confirmed_rebound; 底部未确认
14,78.3409689955924,75.90449520787463,601156,东航物流,bottom_area,2023-10-25,11.29,2023-10-23,11.03,2.357207615593833,3.082502266545783,32.33128834355829,False,0.5343,0.5104,1,1,1,100.0,11.607142857142852,11.607142857142852,5.642792384406167,2.357207615593833,历史1/1次成功; 当前距低点2.36%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
