rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.27289805038049,91.07765186037582,300358,楚天科技,bottom_area,2025-12-12,9.06,2025-12-05,8.96,1.1160714285714244,4.575892857142839,27.74193548387096,False,0.2212,2.4308,4,4,4,100.0,27.96932643827245,38.205499276411004,6.883928571428576,1.1160714285714244,历史4/4次成功; 当前距低点1.12%; 最新日涨幅0.22%; 状态bottom_area; 底部未确认
2,93.37962878769302,88.87740701921038,300437,清水源,confirmed_rebound,2025-12-12,18.43,2025-12-11,18.17,1.430930104567958,8.860759493670882,29.299610894941626,True,0.163,22.1289,9,9,9,100.0,21.021116438845855,30.330330330330323,6.569069895432042,1.430930104567958,历史9/9次成功; 当前距低点1.43%; 最新日涨幅0.16%; 状态confirmed_rebound; 底部已确认
3,90.69677529550444,87.10439526709742,002459,晶澳科技,bottom_area,2025-12-12,11.27,2025-12-12,11.06,1.8987341772151816,2.1699819168173615,27.712418300653596,False,1.5315,1.1059,6,6,6,100.0,16.2016623180001,26.683937823834192,6.101265822784818,1.8987341772151816,历史6/6次成功; 当前距低点1.90%; 最新日涨幅1.53%; 状态bottom_area; 底部未确认
4,89.32348673670644,84.02137808330052,300598,诚迈科技,bottom_area,2025-12-12,45.55,2025-12-11,45.18,0.8189464364763113,2.9880478087649434,29.40625,False,0.4632,2.0024,5,5,5,100.0,26.22890300250812,45.24950099800398,7.1810535635236885,0.8189464364763113,历史5/5次成功; 当前距低点0.82%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
5,88.69565040250438,83.48922681643897,605228,神通科技,bottom_area,2025-12-12,14.15,2025-12-12,14.03,0.8553100498930934,1.7818959372772631,27.680412371134018,False,0.2835,0.5414,5,5,5,100.0,23.813622205350633,47.56554307116105,7.1446899501069066,0.8553100498930934,历史5/5次成功; 当前距低点0.86%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
6,86.97965566958919,83.57713753697287,603178,圣龙股份,bottom_area,2025-12-12,18.0,2025-12-05,17.66,1.925254813137032,4.0203850509626315,28.182187881252542,False,0.6711,0.7514,6,7,6,85.71428571428571,28.51538369929118,47.51869476546566,6.074745186862969,1.925254813137032,历史6/7次成功; 当前距低点1.93%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
7,86.34131721830559,82.23548757366389,688365,光云科技,bottom_area,2025-12-12,16.6,2025-12-12,16.36,1.466992665036687,2.4449877750611377,28.83862548934319,False,0.1206,3.4354,1,1,1,100.0,34.732423924449115,34.732423924449115,6.533007334963313,1.466992665036687,历史1/1次成功; 当前距低点1.47%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
8,86.30078046979797,79.90813006462774,603030,全筑股份,bottom_area,2025-12-12,2.91,2025-12-12,2.91,0.0,2.0618556701030943,27.611940298507452,False,-1.6892,2.106,7,7,7,100.0,28.80715088509532,51.87969924812029,8.0,0.0,历史7/7次成功; 当前距低点0.00%; 最新日涨幅-1.69%; 状态bottom_area; 底部未确认
9,85.45546132209805,79.54747271494918,603032,德新科技,bottom_area,2025-12-12,18.15,2025-12-12,18.1,0.27624309392263624,1.491712707182318,27.42582197273456,False,-0.1101,1.8429,5,5,5,100.0,17.996274027380522,33.061224489795926,7.723756906077364,0.27624309392263624,历史5/5次成功; 当前距低点0.28%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
10,85.23141683586674,84.1283234659399,300768,迪普科技,bottom_area,2025-12-12,19.28,2025-12-05,18.66,3.3226152197213343,6.216505894962488,27.05238467552775,False,1.4737,1.6635,3,3,3,100.0,34.32196863927173,47.28781110402041,4.677384780278666,3.3226152197213343,历史3/3次成功; 当前距低点3.32%; 最新日涨幅1.47%; 状态bottom_area; 底部未确认
11,84.69979150745479,81.57487427466152,002418,康盛股份,bottom_area,2025-12-12,4.49,2025-12-05,4.4,2.045454545454542,7.954545454545446,27.031509121061358,True,0.0,2.8961,1,1,1,100.0,29.078014184397176,29.078014184397176,5.954545454545459,2.045454545454542,历史1/1次成功; 当前距低点2.05%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
12,84.60766143065932,79.1530224427097,002176,江特电机,bottom_area,2025-12-12,9.38,2025-12-12,9.33,0.535905680600222,3.9657020364415776,27.5058275058275,False,-1.1591,3.6745,5,5,5,100.0,19.058534378915056,39.01808785529715,7.464094319399778,0.535905680600222,历史5/5次成功; 当前距低点0.54%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
13,82.70121917365407,76.67531886024423,301001,凯淳股份,bottom_area,2025-12-12,29.5,2025-12-12,29.48,0.06784260515603655,2.578018995929437,28.86100386100386,False,-1.9608,5.3688,1,1,1,100.0,58.89483065953654,58.89483065953654,7.932157394843964,0.06784260515603655,历史1/1次成功; 当前距低点0.07%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
14,81.5308302867977,75.49150952481267,605299,舒华体育,bottom_area,2025-12-12,12.31,2025-12-12,12.31,0.0,3.3306255077173037,28.637681159420286,False,-10.0146,13.1925,3,3,3,100.0,31.943599595767008,56.12903225806454,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态bottom_area; 底部未确认
15,79.92684434455202,78.01695362101748,300035,中科电气,bottom_area,2025-12-12,20.98,2025-12-05,20.42,2.7424094025465164,5.729676787463261,29.097222222222218,False,0.5753,2.9444,1,1,1,100.0,27.686274509803933,27.686274509803933,5.257590597453484,2.7424094025465164,历史1/1次成功; 当前距低点2.74%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
16,78.91852712125068,74.69724254861622,605368,蓝天燃气,bottom_area,2025-12-12,7.97,2025-12-12,7.88,1.1421319796954297,4.822335025380709,28.944995491433723,False,-2.8049,3.5192,1,1,1,100.0,12.695179904955879,12.695179904955879,6.857868020304571,1.1421319796954297,历史1/1次成功; 当前距低点1.14%; 最新日涨幅-2.80%; 状态bottom_area; 底部未确认
17,78.71163341258642,75.98961727151715,603197,保隆科技,bottom_area,2025-12-12,34.84,2025-11-21,34.1,2.170087976539595,5.014662756598243,27.431368376250266,False,-0.1147,0.7834,5,6,5,83.33333333333334,18.355293143516597,23.07435811937312,5.829912023460405,2.170087976539595,历史5/6次成功; 当前距低点2.17%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
18,77.7324326941063,71.97447471676509,300640,德艺文创,bottom_area,2025-12-12,7.78,2025-12-12,7.78,0.0,5.7840616966581,27.22170252572497,False,-8.2547,34.2348,3,3,3,100.0,13.034810305188632,17.724867724867735,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-8.25%; 状态bottom_area; 底部未确认
