rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.07298986593979,79.62479229789,000999,华润三九,bottom_area,2025-06-20,31.12,2025-06-19,30.68,1.4341590612777095,2.0208604954367697,29.438822447102115,False,0.9079,0.5366,1,1,1,100.0,20.293951384963254,20.293951384963254,18.565840938722292,1.4341590612777095,历史1/1次成功; 当前距低点1.43%; 最新日涨幅0.91%; 状态bottom_area; 底部未确认
2,91.07006068966376,76.24777323799795,001230,劲旅环境,bottom_area,2025-06-20,19.63,2025-06-20,19.58,0.25536261491318035,2.2982635342186053,30.34507292778371,False,-1.5053,5.1927,1,1,1,100.0,84.69119579500656,84.69119579500656,19.744637385086822,0.25536261491318035,历史1/1次成功; 当前距低点0.26%; 最新日涨幅-1.51%; 状态bottom_area; 底部未确认
3,90.06988712266349,75.72677419354838,301260,格力博,bottom_area,2025-06-20,18.69,2025-06-20,18.6,0.4838709677419347,2.4193548387096735,28.953399541634827,False,-0.9539,2.9765,1,1,1,100.0,58.71313672922254,58.71313672922254,19.516129032258068,0.4838709677419347,历史1/1次成功; 当前距低点0.48%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
4,89.35105981673107,74.6173650718984,000811,冰轮环境,bottom_area,2025-06-20,8.65,2025-06-20,8.64,0.11574074074073826,2.08333333333333,32.97129557796741,False,-1.7045,1.3255,4,5,4,80.0,32.856204090254195,47.451868629671566,19.884259259259263,0.11574074074073826,历史4/5次成功; 当前距低点0.12%; 最新日涨幅-1.70%; 状态bottom_area; 底部未确认
5,89.18966593114575,76.04592568866111,600980,北矿科技,bottom_area,2025-06-20,21.87,2025-06-20,21.6,1.249999999999998,3.6111111111110996,28.66578599735799,False,-0.5909,13.9592,1,1,1,100.0,21.268417680973737,21.268417680973737,18.750000000000004,1.249999999999998,历史1/1次成功; 当前距低点1.25%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
6,89.0986288158029,75.48633830227745,000605,渤海股份,bottom_area,2025-06-20,6.71,2025-06-20,6.65,0.9022556390977385,1.5037593984962352,29.25531914893617,False,0.1493,1.687,3,4,3,75.0,35.52946859903381,56.66666666666668,19.097744360902265,0.9022556390977385,历史3/4次成功; 当前距低点0.90%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
7,88.28212667212667,74.80393939393939,603327,福蓉科技,bottom_area,2025-06-20,8.88,2025-06-20,8.8,0.9090909090909097,2.1590909090909034,27.572016460905346,False,0.0,0.6721,4,6,4,66.66666666666666,60.30969475756576,129.39632545931758,19.090909090909093,0.9090909090909097,历史4/6次成功; 当前距低点0.91%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
8,88.07941068594607,74.6790566037736,603787,新日股份,bottom_area,2025-06-20,11.77,2025-06-20,11.66,0.9433962264150895,2.7444253859348224,28.02469135802469,False,-0.0849,3.8147,1,1,1,100.0,92.85714285714283,92.85714285714283,19.05660377358491,0.9433962264150895,历史1/1次成功; 当前距低点0.94%; 最新日涨幅-0.08%; 状态bottom_area; 底部未确认
9,87.40798414080778,73.29705458470474,002909,集泰股份,bottom_area,2025-06-20,5.88,2025-06-20,5.86,0.34129692832763775,1.877133105802038,29.98805256869772,False,-0.5076,2.2064,1,1,1,100.0,35.18930957683742,35.18930957683742,19.658703071672363,0.34129692832763775,历史1/1次成功; 当前距低点0.34%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
10,87.13990523312934,72.92392992768615,688306,均普智能,bottom_area,2025-06-20,8.7,2025-06-20,8.68,0.2304147465437739,4.262672811059919,27.666666666666668,False,-2.027,0.8192,1,1,1,100.0,31.824062095730905,31.824062095730905,19.769585253456228,0.2304147465437739,历史1/1次成功; 当前距低点0.23%; 最新日涨幅-2.03%; 状态bottom_area; 底部未确认
11,86.61473710911741,74.56377765301747,300346,南大光电,bottom_area,2025-06-20,30.38,2025-06-13,29.85,1.775544388609707,3.1825795644891097,27.513355998057303,False,1.4357,2.7761,2,3,2,66.66666666666666,36.15780748591896,46.69811320754715,18.224455611390294,1.775544388609707,历史2/3次成功; 当前距低点1.78%; 最新日涨幅1.44%; 状态bottom_area; 底部未确认
12,86.58896691552893,72.30811433447096,603577,汇金通,bottom_area,2025-06-20,8.8,2025-06-20,8.79,0.11376564277589948,2.0477815699658874,31.648522550544328,False,-1.2346,2.0937,1,1,1,100.0,27.083333333333325,27.083333333333325,19.886234357224104,0.11376564277589948,历史1/1次成功; 当前距低点0.11%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
13,85.52763345472319,71.60756144471947,688448,磁谷科技,bottom_area,2025-06-20,27.47,2025-06-20,27.4,0.25547445255474555,2.8832116788321267,30.43919776593044,False,-0.471,2.0938,1,1,1,100.0,25.053995680345576,25.053995680345576,19.744525547445253,0.25547445255474555,历史1/1次成功; 当前距低点0.26%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
14,85.14265435443923,71.41050575626781,605377,华旺科技,bottom_area,2025-06-20,8.57,2025-06-20,8.54,0.3512880562061024,0.8196721311475443,29.30463576158941,False,-0.1166,0.5093,1,1,1,100.0,25.16904583020285,25.16904583020285,19.6487119437939,0.3512880562061024,历史1/1次成功; 当前距低点0.35%; 最新日涨幅-0.12%; 状态bottom_area; 底部未确认
15,84.86393461084427,71.02585168308305,003025,思进智能,bottom_area,2025-06-20,12.77,2025-06-20,12.74,0.23547880690737333,1.9623233908948194,27.531285551763357,False,-0.6226,1.0483,1,1,1,100.0,21.681415929203535,21.681415929203535,19.764521193092627,0.23547880690737333,历史1/1次成功; 当前距低点0.24%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
16,83.95374003972901,74.03256838199339,605198,安德利,bottom_area,2025-06-20,40.34,2025-06-20,39.13,3.0922565806286757,5.264502938921531,29.748653500897664,False,-4.8809,2.7159,1,1,1,100.0,43.241469816272954,43.241469816272954,16.907743419371325,3.0922565806286757,历史1/1次成功; 当前距低点3.09%; 最新日涨幅-4.88%; 状态bottom_area; 底部未确认
17,83.86530426557181,70.89928682977616,600770,综艺股份,bottom_area,2025-06-20,5.14,2025-06-20,5.1,0.7843137254901967,2.745098039215698,32.450331125827816,False,-0.1942,1.7913,1,1,1,100.0,27.72861356932153,27.72861356932153,19.215686274509807,0.7843137254901967,历史1/1次成功; 当前距低点0.78%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
