rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.27940946562171,87.18696657370432,002685,华东重机,bottom_area,2024-08-19,2.89,2024-08-19,2.86,1.0489510489510576,2.0979020979020997,27.41116751269036,False,-1.7007,4.0419,3,3,3,100.0,45.36868260920823,109.52380952380952,6.951048951048942,1.0489510489510576,历史3/3次成功; 当前距低点1.05%; 最新日涨幅-1.70%; 状态bottom_area; 底部未确认
2,91.33063800814779,88.2607005961092,600343,航天动力,bottom_area,2024-08-19,7.82,2024-08-19,7.65,2.2222222222222214,2.614379084967311,31.696428571428566,False,0.128,1.971,4,4,4,100.0,26.383694961160476,55.72413793103447,5.777777777777779,2.2222222222222214,历史4/4次成功; 当前距低点2.22%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
3,88.66838745315296,84.04946216340257,603368,柳药集团,confirmed_rebound,2024-08-19,16.61,2024-07-31,16.41,1.2187690432662968,8.470444850700796,31.908713692946062,True,-1.8322,1.7707,3,3,3,100.0,31.603524634675978,42.85714285714285,6.781230956733704,1.2187690432662968,历史3/3次成功; 当前距低点1.22%; 最新日涨幅-1.83%; 状态confirmed_rebound; 底部已确认
4,86.52066310439476,84.34434150389976,001239,永达股份,bottom_area,2024-08-19,14.2,2024-08-16,13.83,2.6753434562545135,4.989154013015181,32.83147158814958,False,2.3792,13.3656,3,3,3,100.0,27.54905690408631,62.04678362573098,5.324656543745487,2.6753434562545135,历史3/3次成功; 当前距低点2.68%; 最新日涨幅2.38%; 状态bottom_area; 底部未确认
5,86.47798364017315,81.72772493520154,300424,航新科技,bottom_area,2024-08-19,12.36,2024-08-19,12.23,1.0629599345870728,2.2894521668029384,29.873853211009177,False,-0.3226,4.9518,2,2,2,100.0,32.85630960247343,52.29885057471265,6.937040065412928,1.0629599345870728,历史2/2次成功; 当前距低点1.06%; 最新日涨幅-0.32%; 状态bottom_area; 底部未确认
6,85.47455230647643,82.0966287523331,001203,大中矿业,bottom_area,2024-08-19,8.03,2024-08-16,7.88,1.903553299492379,2.6649746192893398,32.244196044711956,False,1.3889,0.466,2,2,2,100.0,22.670592877288865,29.46341463414634,6.096446700507621,1.903553299492379,历史2/2次成功; 当前距低点1.90%; 最新日涨幅1.39%; 状态bottom_area; 底部未确认
7,84.8908661790574,83.99492036186416,000983,山西焦煤,bottom_area,2024-08-19,8.1,2024-08-14,7.83,3.44827586206896,4.725415070242646,27.834101382488473,False,0.4963,0.3639,4,4,4,100.0,18.47843724398591,27.212389380530986,4.55172413793104,3.44827586206896,历史4/4次成功; 当前距低点3.45%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
8,83.95525562693678,82.03832061068704,002687,乔治白,bottom_area,2024-08-19,4.04,2024-07-25,3.93,2.7989821882951618,5.852417302798981,32.82051282051282,False,0.0,0.465,1,1,1,100.0,64.00000000000001,64.00000000000001,5.201017811704839,2.7989821882951618,历史1/1次成功; 当前距低点2.80%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
9,82.70862148262046,77.60341290687862,000597,东北制药,bottom_area,2024-08-19,4.39,2024-08-19,4.36,0.6880733944953982,3.2110091743119193,27.212020033388978,False,-2.4444,4.3313,3,3,3,100.0,29.259248636172746,61.02150537634409,7.311926605504603,0.6880733944953982,历史3/3次成功; 当前距低点0.69%; 最新日涨幅-2.44%; 状态bottom_area; 底部未确认
10,82.05488058418572,80.65095652613813,002196,方正电机,bottom_area,2024-08-19,4.32,2024-08-13,4.19,3.1026252983293525,6.205250596658705,28.49829351535836,False,0.6993,2.5812,3,3,3,100.0,12.929796808220722,18.661971830985923,4.897374701670648,3.1026252983293525,历史3/3次成功; 当前距低点3.10%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
11,80.79630938292036,76.97687264579851,300564,筑博设计,confirmed_rebound,2024-08-19,8.9,2024-08-19,8.77,1.482326111744593,8.095781071835814,30.452022204599526,False,-8.4362,12.5263,3,3,3,100.0,16.218151508474087,19.006102877070617,6.517673888255407,1.482326111744593,历史3/3次成功; 当前距低点1.48%; 最新日涨幅-8.44%; 状态confirmed_rebound; 底部未确认
12,80.5570133858576,76.05209714875967,002706,良信股份,bottom_area,2024-08-19,6.01,2024-07-30,5.95,1.0084033613445313,7.394957983193269,32.7683615819209,True,-0.4967,0.9462,3,4,3,75.0,13.31320867002797,14.727153188691638,6.991596638655468,1.0084033613445313,历史3/4次成功; 当前距低点1.01%; 最新日涨幅-0.50%; 状态bottom_area; 底部已确认
13,79.70055106027694,77.07882240697835,000708,中信特钢,bottom_area,2024-08-19,11.76,2024-08-16,11.5,2.2608695652173894,3.304347826086963,29.447852760736197,False,1.7301,0.1806,1,1,1,100.0,16.739811912225715,16.739811912225715,5.73913043478261,2.2608695652173894,历史1/1次成功; 当前距低点2.26%; 最新日涨幅1.73%; 状态bottom_area; 底部未确认
14,79.44508596115583,76.5187478984884,002601,龙佰集团,bottom_area,2024-08-19,15.94,2024-08-19,15.62,2.0486555697823325,3.1370038412291947,32.67241379310345,False,1.5287,0.4558,1,1,1,100.0,11.127325793506023,11.127325793506023,5.9513444302176675,2.0486555697823325,历史1/1次成功; 当前距低点2.05%; 最新日涨幅1.53%; 状态bottom_area; 底部未确认
