rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.55298503863752,81.62584119523252,688302,海创药业,bottom_area,2023-07-03,53.51,2023-07-03,52.5,1.92380952380952,4.152380952380952,29.85034740780332,False,0.7342,0.923,1,1,1,100.0,37.054445750097926,37.054445750097926,8.076190476190481,1.92380952380952,历史1/1次成功; 当前距低点1.92%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
2,83.88879931838477,80.13561240813057,002545,东方铁塔,bottom_area,2023-07-03,7.11,2023-06-26,6.93,2.5974025974026063,3.03030303030303,27.58620689655173,False,0.7082,0.6063,2,2,2,100.0,20.63274371079842,28.468653648509758,7.402597402597394,2.5974025974026063,历史2/2次成功; 当前距低点2.60%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
3,83.44076416734761,79.47238167288738,300661,圣邦股份,bottom_area,2023-07-03,83.47,2023-07-03,81.48,2.442317133038776,3.2400589101620034,27.145922746781114,False,1.6316,0.6879,1,1,1,100.0,31.832606108687024,31.832606108687024,7.557682866961224,2.442317133038776,历史1/1次成功; 当前距低点2.44%; 最新日涨幅1.63%; 状态bottom_area; 底部未确认
4,81.07138181833074,76.91029688970036,688236,春立医疗,bottom_area,2023-07-03,24.25,2023-06-28,23.72,2.2344013490725176,7.082630691399662,32.228571428571435,True,-1.0204,1.8532,1,1,1,100.0,28.788881535407025,28.788881535407025,7.765598650927482,2.2344013490725176,历史1/1次成功; 当前距低点2.23%; 最新日涨幅-1.02%; 状态bottom_area; 底部已确认
5,80.35294485530501,75.14851551832609,002174,游族网络,bottom_area,2023-07-03,15.71,2023-07-03,15.48,1.4857881136950932,8.268733850129205,32.549019607843135,False,-6.4881,8.1823,2,2,2,100.0,12.88232482554249,14.303030303030301,8.514211886304906,1.4857881136950932,历史2/2次成功; 当前距低点1.49%; 最新日涨幅-6.49%; 状态bottom_area; 底部未确认
6,79.29271687613442,77.48895518447085,002299,圣农发展,bottom_area,2023-07-03,19.16,2023-06-26,18.46,3.7919826652220974,4.821235102925247,27.00672202451561,False,0.0522,0.4916,2,2,2,100.0,21.046643339662563,26.73830594184577,6.208017334777903,3.7919826652220974,历史2/2次成功; 当前距低点3.79%; 最新日涨幅0.05%; 状态bottom_area; 底部未确认
7,77.45847167794902,73.35405321169905,605266,健之佳,bottom_area,2023-07-03,61.98,2023-07-03,60.68,2.1423862887277476,5.471324983520106,30.43677633841569,False,-2.178,1.1233,3,4,3,75.0,21.901580376335108,33.154615273148806,7.857613711272253,2.1423862887277476,历史3/4次成功; 当前距低点2.14%; 最新日涨幅-2.18%; 状态bottom_area; 底部未确认
8,75.88336487246023,74.27068550121089,002041,登海种业,bottom_area,2023-07-03,15.29,2023-06-29,14.72,3.8722826086956417,4.483695652173914,30.56603773584905,False,0.131,0.4495,1,1,1,100.0,21.395106715252467,21.395106715252467,6.127717391304359,3.8722826086956417,历史1/1次成功; 当前距低点3.87%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
9,75.78779966147455,74.68098321753294,300601,康泰生物,bottom_area,2023-07-03,25.64,2023-06-26,24.6,4.227642276422761,4.715447154471545,28.44677137870855,False,0.9846,0.7599,2,2,2,100.0,11.290363482671175,11.580726965342352,5.77235772357724,4.227642276422761,历史2/2次成功; 当前距低点4.23%; 最新日涨幅0.98%; 状态bottom_area; 底部未确认
10,75.12525007760028,73.73552293349775,600283,钱江水利,bottom_area,2023-07-03,14.75,2023-06-15,14.18,4.0197461212976044,8.321579689703807,27.095115681233935,True,1.3746,3.2765,1,1,1,100.0,11.131957473420883,11.131957473420883,5.980253878702396,4.0197461212976044,历史1/1次成功; 当前距低点4.02%; 最新日涨幅1.37%; 状态bottom_area; 底部已确认
11,75.06337929033614,73.21468805686469,688156,路德科技,bottom_area,2023-07-03,26.97,2023-07-03,26.01,3.6908881199538537,9.765474817377928,27.72992497916088,False,-5.9295,5.221,2,2,2,100.0,29.515661130964897,44.22535211267606,6.309111880046148,3.6908881199538537,历史2/2次成功; 当前距低点3.69%; 最新日涨幅-5.93%; 状态bottom_area; 底部未确认
12,72.88920378359855,70.8686921354806,002063,远光软件,bottom_area,2023-07-03,7.05,2023-07-03,6.81,3.524229074889871,6.02055800293686,29.136316337148806,False,-1.9471,2.2186,1,1,1,100.0,21.311475409836078,21.311475409836078,6.4757709251101305,3.524229074889871,历史1/1次成功; 当前距低点3.52%; 最新日涨幅-1.95%; 状态bottom_area; 底部未确认
13,72.77040425906847,72.02070071915914,601669,中国电建,bottom_area,2023-07-03,5.86,2023-06-07,5.61,4.45632798573975,5.169340463458111,29.78723404255319,False,2.0906,1.2205,1,1,1,100.0,16.457680250783696,16.457680250783696,5.54367201426025,4.45632798573975,历史1/1次成功; 当前距低点4.46%; 最新日涨幅2.09%; 状态bottom_area; 底部未确认
14,71.94003037408315,71.1597697409586,000703,恒逸石化,bottom_area,2023-07-03,6.84,2023-06-12,6.55,4.427480916030535,5.954198473282451,27.222222222222225,False,0.885,0.2738,1,1,1,100.0,11.475409836065575,11.475409836065575,5.572519083969466,4.427480916030535,历史1/1次成功; 当前距低点4.43%; 最新日涨幅0.89%; 状态bottom_area; 底部未确认
15,60.24473958598097,59.16894066480274,000792,盐湖股份,bottom_area,2023-07-03,19.25,2023-05-30,18.5,4.054054054054054,7.5675675675675595,29.49695121951219,True,0.4173,0.3389,1,2,1,50.0,24.904214559386965,24.904214559386965,5.9459459459459465,4.054054054054054,历史1/2次成功; 当前距低点4.05%; 最新日涨幅0.42%; 状态bottom_area; 底部已确认
16,58.6153799949374,56.47847626637243,688228,开普云,bottom_area,2023-07-03,51.01,2023-07-03,49.5,3.0505050505050466,5.05050505050505,30.962343096234314,False,-0.6815,4.2267,1,2,1,50.0,29.80445043830074,29.80445043830074,6.949494949494954,3.0505050505050466,历史1/2次成功; 当前距低点3.05%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
17,52.44389069934262,51.94123359998788,603335,迪生力,bottom_area,2023-07-03,6.51,2023-06-27,6.23,4.4943820224719,6.420545746388434,27.134502923976612,False,1.7188,5.0631,1,3,1,33.33333333333333,20.081135902636923,20.081135902636923,5.505617977528101,4.4943820224719,历史1/3次成功; 当前距低点4.49%; 最新日涨幅1.72%; 状态bottom_area; 底部未确认
18,51.239608097192075,50.4453619725184,688229,博睿数据,bottom_area,2023-07-03,49.35,2023-07-03,47.37,4.179860671310965,5.425374709731899,32.328571428571436,False,-1.1814,3.6937,1,2,1,50.0,11.21206614573869,11.21206614573869,5.820139328689035,4.179860671310965,历史1/2次成功; 当前距低点4.18%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
