rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.57509678441888,84.93741650761024,688114,华大智造,bottom_area,2025-07-02,63.23,2025-06-23,62.1,1.8196457326892037,7.004830917874398,28.20809248554913,True,-1.064,1.199,4,4,4,100.0,16.861337516890426,27.745919717688572,6.180354267310796,1.8196457326892037,历史4/4次成功; 当前距低点1.82%; 最新日涨幅-1.06%; 状态bottom_area; 底部已确认
2,85.893823844058,82.05141606725019,603022,新通联,bottom_area,2025-07-02,10.66,2025-07-02,10.49,1.620591039084842,2.097235462345097,30.20625415834996,False,0.4713,10.2821,2,2,2,100.0,18.958944281524914,26.099706744868023,6.379408960915159,1.620591039084842,历史2/2次成功; 当前距低点1.62%; 最新日涨幅0.47%; 状态bottom_area; 底部未确认
3,84.26779175681277,82.2288285761936,605136,丽人丽妆,confirmed_rebound,2025-07-02,10.55,2025-06-26,10.27,2.72638753651413,8.081791626095425,29.318651066758434,True,-2.3148,6.7717,4,4,4,100.0,23.62899010454739,52.667814113597245,5.27361246348587,2.72638753651413,历史4/4次成功; 当前距低点2.73%; 最新日涨幅-2.31%; 状态confirmed_rebound; 底部已确认
4,81.3145799951175,80.35391754594369,300849,锦盛新材,bottom_area,2025-07-02,13.45,2025-07-01,13.01,3.3820138355111413,3.843197540353574,32.204273058884844,False,1.8168,11.299,1,1,1,100.0,48.090909090909086,48.090909090909086,4.617986164488859,3.3820138355111413,历史1/1次成功; 当前距低点3.38%; 最新日涨幅1.82%; 状态bottom_area; 底部未确认
5,79.83682561018765,74.94932279320086,001282,三联锻造,bottom_area,2025-07-02,19.69,2025-06-26,19.55,0.7161125319693123,7.161125319693087,30.62455642299503,True,-1.991,5.0071,2,2,2,100.0,22.80677078543491,37.31343283582089,7.283887468030688,0.7161125319693123,历史2/2次成功; 当前距低点0.72%; 最新日涨幅-1.99%; 状态bottom_area; 底部已确认
6,79.32095111018641,78.18942928797027,002041,登海种业,bottom_area,2025-07-02,9.84,2025-06-23,9.53,3.2528856243441817,3.3578174186778624,29.719764011799416,False,0.5107,0.7005,2,2,2,100.0,18.2043468358871,21.395106715252467,4.747114375655818,3.2528856243441817,历史2/2次成功; 当前距低点3.25%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
7,78.8085545609983,78.52804507904155,603139,康惠股份,bottom_area,2025-07-02,21.5,2025-06-20,20.71,3.8145823273780737,5.5528730082085875,31.42384105960264,False,-0.1393,3.1583,4,4,4,100.0,16.049961212169606,29.315476190476186,4.185417672621926,3.8145823273780737,历史4/4次成功; 当前距低点3.81%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
8,78.63914478399808,76.74831077913113,605198,安德利,bottom_area,2025-07-02,40.2,2025-06-20,39.13,2.734474827498084,5.877843087145405,29.748653500897664,False,-2.0706,0.8594,1,1,1,100.0,43.241469816272954,43.241469816272954,5.265525172501916,2.734474827498084,历史1/1次成功; 当前距低点2.73%; 最新日涨幅-2.07%; 状态bottom_area; 底部未确认
9,78.52514446129415,77.68275347729485,002127,南极电商,bottom_area,2025-07-02,3.91,2025-06-20,3.78,3.439153439153448,6.878306878306885,29.34579439252336,False,-0.7614,1.1858,3,3,3,100.0,23.570017841745774,33.53658536585366,4.560846560846552,3.439153439153448,历史3/3次成功; 当前距低点3.44%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
10,77.52570637494694,73.47990626046202,002141,贤丰控股,bottom_area,2025-07-02,4.17,2025-07-02,4.12,1.2135922330097044,6.31067961165048,27.079646017699115,False,-6.5022,8.8855,1,1,1,100.0,17.241379310344833,17.241379310344833,6.786407766990296,1.2135922330097044,历史1/1次成功; 当前距低点1.21%; 最新日涨幅-6.50%; 状态bottom_area; 底部未确认
11,77.41233283918213,73.55848008825241,301287,康力源,bottom_area,2025-07-02,39.93,2025-07-01,39.4,1.3451776649746223,3.88324873096447,32.441700960219485,False,-1.1144,15.7159,1,1,1,100.0,9.0617481956696,9.0617481956696,6.6548223350253775,1.3451776649746223,历史1/1次成功; 当前距低点1.35%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
12,74.59351785535021,74.62747802737633,605377,华旺科技,bottom_area,2025-07-02,8.79,2025-06-23,8.45,4.023668639053253,4.852071005917162,30.04966887417219,False,0.2281,0.5738,1,1,1,100.0,25.16904583020285,25.16904583020285,3.976331360946747,4.023668639053253,历史1/1次成功; 当前距低点4.02%; 最新日涨幅0.23%; 状态bottom_area; 底部未确认
13,74.5190898615118,73.49022668788147,002811,郑中设计,bottom_area,2025-07-02,10.4,2025-06-23,10.07,3.277060575968223,5.56107249255214,31.728813559322035,False,-0.5736,1.8964,2,2,2,100.0,15.709273124134537,16.78832116788322,4.722939424031777,3.277060575968223,历史2/2次成功; 当前距低点3.28%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
14,74.13038697932878,69.85802687358247,688059,华锐精密,bottom_area,2025-07-02,45.26,2025-07-02,44.85,0.9141583054626456,4.19175027870679,32.52595155709342,False,-2.2673,2.7558,4,5,4,80.0,17.05541833353391,38.29213483146067,7.085841694537355,0.9141583054626456,历史4/5次成功; 当前距低点0.91%; 最新日涨幅-2.27%; 状态bottom_area; 底部未确认
15,73.36920958092817,73.36019450326265,300640,德艺文创,bottom_area,2025-07-02,6.51,2025-06-23,6.26,3.993610223642172,7.348242811501597,27.880184331797235,True,-1.5129,6.8545,2,2,2,100.0,14.600138780466654,17.724867724867735,4.006389776357828,3.993610223642172,历史2/2次成功; 当前距低点3.99%; 最新日涨幅-1.51%; 状态bottom_area; 底部已确认
16,73.19890619862292,69.06865011288266,000999,华润三九,bottom_area,2025-07-02,30.89,2025-06-23,30.59,0.9807126511932027,4.347826086956528,29.645814167433297,False,-0.9936,0.6786,1,1,1,100.0,20.293951384963254,20.293951384963254,7.019287348806798,0.9807126511932027,历史1/1次成功; 当前距低点0.98%; 最新日涨幅-0.99%; 状态bottom_area; 底部未确认
17,71.32850166855089,71.91880650994578,688556,高测股份,bottom_area,2025-07-02,7.31,2025-06-27,7.0,4.428571428571423,4.999999999999995,31.10236220472441,False,2.2378,2.6868,1,1,1,100.0,15.569620253164562,15.569620253164562,3.5714285714285774,4.428571428571423,历史1/1次成功; 当前距低点4.43%; 最新日涨幅2.24%; 状态bottom_area; 底部未确认
18,71.15053346376007,71.0856644163839,600770,综艺股份,bottom_area,2025-07-02,5.26,2025-06-23,5.06,3.9525691699604777,6.916996047430842,32.980132450331126,False,-2.2305,2.7801,1,1,1,100.0,27.72861356932153,27.72861356932153,4.047430830039522,3.9525691699604777,历史1/1次成功; 当前距低点3.95%; 最新日涨幅-2.23%; 状态bottom_area; 底部未确认
19,70.8814285716845,70.99439202418708,002155,湖南黄金,bottom_area,2025-07-02,18.1,2025-06-30,17.39,4.08280621046579,5.405405405405392,29.28019520130134,False,-0.9847,2.2789,1,1,1,100.0,28.834355828220854,28.834355828220854,3.9171937895342097,4.08280621046579,历史1/1次成功; 当前距低点4.08%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
20,70.28553358137749,66.06068382029754,002896,中大力德,bottom_area,2025-07-02,55.74,2025-07-02,55.31,0.7774362683059116,3.634062556499725,27.85965827572714,False,-3.1283,3.6508,1,1,1,100.0,11.84536834427426,11.84536834427426,7.2225637316940885,0.7774362683059116,历史1/1次成功; 当前距低点0.78%; 最新日涨幅-3.13%; 状态bottom_area; 底部未确认
21,68.45272839335496,68.33921468089612,300871,回盛生物,bottom_area,2025-07-02,20.71,2025-06-23,19.93,3.913697942799805,5.870546914199708,29.301170627882232,False,-1.0038,4.6692,1,1,1,100.0,12.486268766019775,12.486268766019775,4.086302057200196,3.913697942799805,历史1/1次成功; 当前距低点3.91%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
22,67.34299148397643,68.63956527604466,603193,润本股份,bottom_area,2025-07-02,31.34,2025-06-27,29.85,4.99162479061976,7.437185929648236,29.94602206054916,True,-0.3181,4.4792,1,1,1,100.0,18.120805369127517,18.120805369127517,3.0083752093802403,4.99162479061976,历史1/1次成功; 当前距低点4.99%; 最新日涨幅-0.32%; 状态bottom_area; 底部已确认
