rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.83830591778718,80.62122897947175,002041,登海种业,bottom_area,2023-06-29,14.88,2023-06-29,14.72,1.0869565217391313,2.377717391304345,30.56603773584905,False,0.1346,0.4276,1,1,1,100.0,21.395106715252467,21.395106715252467,18.913043478260867,1.0869565217391313,历史1/1次成功; 当前距低点1.09%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
2,91.43874424339053,77.74400144196107,600935,华塑股份,bottom_area,2023-06-29,3.69,2023-06-27,3.65,1.0958904109589052,1.9178082191780899,28.571428571428577,False,-0.8065,0.1659,1,1,1,100.0,28.50877192982458,28.50877192982458,18.904109589041095,1.0958904109589052,历史1/1次成功; 当前距低点1.10%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
3,88.52066391973244,76.80494576524906,688302,海创药业,bottom_area,2023-06-29,53.77,2023-06-26,52.61,2.2049040106443716,5.873408097319908,29.70336718332443,False,-0.4075,0.8138,1,1,1,100.0,37.054445750097926,37.054445750097926,17.79509598935563,2.2049040106443716,历史1/1次成功; 当前距低点2.20%; 最新日涨幅-0.41%; 状态bottom_area; 底部未确认
4,85.29209886711264,77.83939119911251,600421,退市华嵘,bottom_area,2023-06-29,10.34,2023-06-28,9.85,4.974619289340104,7.106598984771585,29.94310099573258,True,0.3883,1.7844,1,1,1,100.0,44.900662251655625,44.900662251655625,15.025380710659897,4.974619289340104,历史1/1次成功; 当前距低点4.97%; 最新日涨幅0.39%; 状态bottom_area; 底部已确认
5,84.22148193949747,73.73892251092688,600995,南网储能,bottom_area,2023-06-29,11.03,2023-06-07,10.74,2.7001862197392845,6.983240223463687,32.7909887359199,False,-1.6057,1.2915,1,1,1,100.0,26.64165103189493,26.64165103189493,17.299813780260717,2.7001862197392845,历史1/1次成功; 当前距低点2.70%; 最新日涨幅-1.61%; 状态bottom_area; 底部未确认
6,82.93084825156794,70.82429165888642,600009,上海机场,bottom_area,2023-06-29,45.42,2023-06-06,44.82,1.3386880856760406,8.366800535475234,29.83719474013776,True,-2.0276,0.4707,2,3,2,66.66666666666666,23.97760122344691,27.704918032786885,18.66131191432396,1.3386880856760406,历史2/3次成功; 当前距低点1.34%; 最新日涨幅-2.03%; 状态bottom_area; 底部已确认
7,79.57879933213643,71.01814686570596,601086,国芳集团,bottom_area,2023-06-29,4.43,2023-06-26,4.27,3.747072599531619,5.152224824355987,28.83333333333334,False,-0.8949,1.0365,1,1,1,100.0,24.846625766871185,24.846625766871185,16.25292740046838,3.747072599531619,历史1/1次成功; 当前距低点3.75%; 最新日涨幅-0.89%; 状态bottom_area; 底部未确认
8,71.80280894886721,61.27434607020816,000792,盐湖股份,bottom_area,2023-06-29,18.74,2023-05-30,18.5,1.297297297297289,7.5675675675675595,29.49695121951219,True,-1.056,0.2453,1,2,1,50.0,24.904214559386965,24.904214559386965,18.702702702702712,1.297297297297289,历史1/2次成功; 当前距低点1.30%; 最新日涨幅-1.06%; 状态bottom_area; 底部已确认
9,69.05324968755689,58.31014793360115,002545,东方铁塔,bottom_area,2023-06-29,6.98,2023-06-26,6.93,0.7215007215007319,2.0202020202020283,27.58620689655173,False,0.0,0.5291,1,2,1,50.0,28.468653648509758,28.468653648509758,19.278499278499268,0.7215007215007319,历史1/2次成功; 当前距低点0.72%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
10,68.46533881907587,60.25025881634257,002299,圣农发展,bottom_area,2023-06-29,19.01,2023-06-26,18.46,2.979414951245941,4.1170097508125565,27.00672202451561,False,0.9559,0.5187,1,2,1,50.0,26.73830594184577,26.73830594184577,17.02058504875406,2.979414951245941,历史1/2次成功; 当前距低点2.98%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
11,64.1183686189447,55.93784343914543,300688,创业黑马,bottom_area,2023-06-29,32.74,2023-06-28,31.94,2.5046963055729514,10.363180964308073,29.55447728275254,False,-0.9679,7.7114,1,3,1,33.33333333333333,39.651707970529145,39.651707970529145,17.49530369442705,2.5046963055729514,历史1/3次成功; 当前距低点2.50%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
12,63.082806309753245,54.60943947774452,601666,平煤股份,bottom_area,2023-06-29,7.36,2023-06-26,7.21,2.0804438280166484,4.85436893203883,29.10521140609636,False,-2.2576,0.9105,1,3,1,33.33333333333333,27.30923694779115,27.30923694779115,17.919556171983352,2.0804438280166484,历史1/3次成功; 当前距低点2.08%; 最新日涨幅-2.26%; 状态bottom_area; 底部未确认
13,62.43537658009448,55.46381646076923,688228,开普云,bottom_area,2023-06-29,52.11,2023-06-29,50.35,3.495531281032767,4.32969215491559,29.7768479776848,False,-0.1533,4.3992,1,2,1,50.0,29.80445043830074,29.80445043830074,16.504468718967235,3.495531281032767,历史1/2次成功; 当前距低点3.50%; 最新日涨幅-0.15%; 状态bottom_area; 底部未确认
14,61.49363754804687,54.50303135279684,603335,迪生力,bottom_area,2023-06-29,6.44,2023-06-27,6.23,3.370786516853932,4.654895666131607,27.134502923976612,False,0.3115,4.2719,1,3,1,33.33333333333333,20.081135902636923,20.081135902636923,16.629213483146067,3.370786516853932,历史1/3次成功; 当前距低点3.37%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
15,61.47851143009038,54.754299242424246,000545,金浦钛业,bottom_area,2023-06-29,2.85,2023-06-26,2.75,3.63636363636364,4.363636363636368,29.30591259640103,False,0.3521,0.4465,1,3,1,33.33333333333333,24.6875,24.6875,16.36363636363636,3.63636363636364,历史1/3次成功; 当前距低点3.64%; 最新日涨幅0.35%; 状态bottom_area; 底部未确认
16,59.12970428015564,52.17326848249028,002554,惠博普,bottom_area,2023-06-29,3.63,2023-06-26,3.52,3.1249999999999964,4.261363636363634,27.27272727272727,False,-0.5479,0.8599,1,4,1,25.0,28.404669260700388,28.404669260700388,16.875000000000004,3.1249999999999964,历史1/4次成功; 当前距低点3.12%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
17,58.52025122041078,53.212475211929686,000810,创维数字,bottom_area,2023-06-29,15.8,2023-06-28,15.08,4.774535809018572,5.371352785145892,27.360308285163782,False,0.7653,1.8137,1,4,1,25.0,31.738800303720588,31.738800303720588,15.22546419098143,4.774535809018572,历史1/4次成功; 当前距低点4.77%; 最新日涨幅0.77%; 状态bottom_area; 底部未确认
18,57.05837224495987,51.91628340507479,688048,长光华芯,bottom_area,2023-06-29,93.27,2023-06-28,88.99,4.809529160579841,11.866501854140918,28.04237082558422,False,0.5498,6.2024,1,3,1,33.33333333333333,23.810089020771517,23.810089020771517,15.19047083942016,4.809529160579841,历史1/3次成功; 当前距低点4.81%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
