rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,101.66388571153142,90.83719175761787,000619,海螺新材,bottom_area,2025-11-24,6.28,2025-11-21,6.19,1.4539579967689797,6.1389337641357,27.85547785547785,False,1.454,4.0011,4,4,4,100.0,30.81836553898465,43.133047210300425,13.54604200323102,1.4539579967689797,历史4/4次成功; 当前距低点1.45%; 最新日涨幅1.45%; 状态bottom_area; 底部未确认
2,98.76635300963194,88.50502753946257,002160,常铝股份,bottom_area,2025-11-24,5.05,2025-11-24,4.97,1.6096579476861181,3.8229376257545358,28.386167146974074,False,0.3976,6.0273,3,3,3,100.0,36.855094947241525,40.066225165562926,13.39034205231388,1.6096579476861181,历史3/3次成功; 当前距低点1.61%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
3,93.13046214963242,85.43860451831164,002636,金安国纪,bottom_area,2025-11-24,14.34,2025-11-24,13.94,2.8694404591104763,3.8020086083213855,28.292181069958854,False,1.4862,2.7318,3,3,3,100.0,35.811444973567276,69.0,12.130559540889523,2.8694404591104763,历史3/3次成功; 当前距低点2.87%; 最新日涨幅1.49%; 状态bottom_area; 底部未确认
4,92.02489403207261,82.39628757724755,688608,恒玄科技,bottom_area,2025-11-24,201.1,2025-11-24,198.0,1.5656565656565629,2.1666666666666625,31.25,False,0.4696,1.7382,1,1,1,100.0,36.80636853195971,36.80636853195971,13.434343434343438,1.5656565656565629,历史1/1次成功; 当前距低点1.57%; 最新日涨幅0.47%; 状态bottom_area; 底部未确认
5,91.00068003207699,80.86883720930233,301017,漱玉平民,bottom_area,2025-11-24,13.05,2025-11-24,12.9,1.1627906976744213,2.7906976744186003,28.01339285714286,False,0.2304,4.4205,1,1,1,100.0,23.655913978494613,23.655913978494613,13.83720930232558,1.1627906976744213,历史1/1次成功; 当前距低点1.16%; 最新日涨幅0.23%; 状态bottom_area; 底部未确认
6,90.19819139166273,80.9580299409802,688008,澜起科技,bottom_area,2025-11-24,113.9,2025-11-24,112.0,1.6964285714285765,3.526785714285717,29.506545820745217,False,0.0,1.724,3,4,3,75.0,34.8434789453621,62.20095693779905,13.303571428571423,1.6964285714285765,历史3/4次成功; 当前距低点1.70%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
7,90.19041547966197,79.01617234468941,002825,纳尔股份,bottom_area,2025-11-24,10.02,2025-11-24,9.98,0.4008016032064043,2.7054108216432824,27.046783625730992,False,-0.1992,4.3338,2,2,2,100.0,56.18277368277369,89.24242424242425,14.599198396793595,0.4008016032064043,历史2/2次成功; 当前距低点0.40%; 最新日涨幅-0.20%; 状态bottom_area; 底部未确认
8,90.18621971559155,81.37862001557845,603151,邦基科技,bottom_area,2025-11-24,18.53,2025-11-21,18.17,1.9812878370941078,3.5773252614199147,32.62884686688913,False,1.1463,1.6636,1,1,1,100.0,36.42987249544626,36.42987249544626,13.01871216290589,1.9812878370941078,历史1/1次成功; 当前距低点1.98%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
9,89.73920513182237,82.27053200225312,002664,信质集团,bottom_area,2025-11-24,22.51,2025-11-24,21.89,2.832343535861128,3.5175879396984904,30.727848101265824,False,1.2596,1.9621,2,2,2,100.0,34.990727225895085,52.526315789473685,12.16765646413887,2.832343535861128,历史2/2次成功; 当前距低点2.83%; 最新日涨幅1.26%; 状态bottom_area; 底部未确认
10,89.28017660054091,80.80567110897168,603173,福斯达,bottom_area,2025-11-24,37.64,2025-11-24,36.85,2.1438263229307983,3.039348710990495,32.86573146292585,False,2.0607,3.3195,1,1,1,100.0,35.34190927555856,35.34190927555856,12.856173677069203,2.1438263229307983,历史1/1次成功; 当前距低点2.14%; 最新日涨幅2.06%; 状态bottom_area; 底部未确认
11,89.22007327808633,82.18285845251194,002300,太阳电缆,bottom_area,2025-11-24,6.68,2025-11-24,6.48,3.0864197530864086,3.703703703703693,27.027027027027028,False,1.5198,4.387,2,2,2,100.0,37.633846718005124,38.41584158415842,11.913580246913591,3.0864197530864086,历史2/2次成功; 当前距低点3.09%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
12,88.50988930673313,80.18419927230515,301338,凯格精机,bottom_area,2025-11-24,57.28,2025-11-24,56.05,2.194469223907233,3.104371097234616,28.002569043031468,False,1.3805,3.2386,2,2,2,100.0,15.954780122653972,16.035634743875285,12.805530776092766,2.194469223907233,历史2/2次成功; 当前距低点2.19%; 最新日涨幅1.38%; 状态bottom_area; 底部未确认
13,87.79187957009607,79.26883757005277,003038,鑫铂股份,bottom_area,2025-11-24,15.69,2025-11-24,15.38,2.0156046814044126,2.7308192457737315,28.76331635016211,False,0.8355,2.2166,1,1,1,100.0,25.507614213197975,25.507614213197975,12.984395318595588,2.0156046814044126,历史1/1次成功; 当前距低点2.02%; 最新日涨幅0.84%; 状态bottom_area; 底部未确认
14,87.08051077018129,79.59327644107306,600550,保变电气,bottom_area,2025-11-24,9.61,2025-11-24,9.36,2.670940170940171,3.3119658119658175,28.000000000000004,False,0.9454,3.6093,1,1,1,100.0,35.285053929121716,35.285053929121716,12.329059829059828,2.670940170940171,历史1/1次成功; 当前距低点2.67%; 最新日涨幅0.95%; 状态bottom_area; 底部未确认
