rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.72429690936457,82.68415094339625,000420,吉林化纤,bottom_area,2024-06-17,3.26,2024-06-14,3.18,2.5157232704402395,3.7735849056603668,30.41575492341357,False,1.5576,1.9305,1,1,1,100.0,53.9249146757679,53.9249146757679,12.48427672955976,2.5157232704402395,历史1/1次成功; 当前距低点2.52%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
17,77.68481951100075,73.52884151246984,002303,美盈森,bottom_area,2024-06-17,2.53,2024-06-06,2.42,4.5454545454545405,8.264462809917363,30.65902578796562,True,-0.7843,1.5225,1,1,1,100.0,38.93805309734515,38.93805309734515,10.454545454545459,4.5454545454545405,历史1/1次成功; 当前距低点4.55%; 最新日涨幅-0.78%; 状态bottom_area; 底部已确认
18,76.41999628597958,72.90666666666668,002491,通鼎互联,bottom_area,2024-06-17,3.59,2024-06-06,3.42,4.970760233918127,8.479532163742691,29.48453608247422,False,-0.2778,0.5671,1,1,1,100.0,52.39520958083833,52.39520958083833,10.029239766081872,4.970760233918127,历史1/1次成功; 当前距低点4.97%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
19,75.95931596145792,70.50225806451614,600173,卧龙新能,bottom_area,2024-06-17,3.85,2024-06-06,3.72,3.4946236559139754,9.946236559139775,29.545454545454547,True,-3.99,1.1849,1,1,1,100.0,20.000000000000004,20.000000000000004,11.505376344086024,3.4946236559139754,历史1/1次成功; 当前距低点3.49%; 最新日涨幅-3.99%; 状态bottom_area; 底部已确认
20,74.53144719334803,70.34508561666597,300642,透景生命,bottom_area,2024-06-17,11.88,2024-06-06,11.38,4.393673110720562,8.963093145869943,27.28434504792332,True,-2.4631,0.7788,1,1,1,100.0,19.960539296284104,19.960539296284104,10.606326889279439,4.393673110720562,历史1/1次成功; 当前距低点4.39%; 最新日涨幅-2.46%; 状态bottom_area; 底部已确认
21,74.16931065997534,70.47613534325598,300668,杰恩股份,bottom_area,2024-06-17,14.98,2024-06-06,14.3,4.755244755244753,11.678321678321678,27.48478701825557,True,-0.1333,0.3223,1,1,1,100.0,25.097276264591432,25.097276264591432,10.244755244755247,4.755244755244753,历史1/1次成功; 当前距低点4.76%; 最新日涨幅-0.13%; 状态bottom_area; 底部已确认
22,73.91219026251515,69.17927763001525,000886,海南高速,bottom_area,2024-06-17,4.48,2024-06-06,4.31,3.9443155452436387,5.80046403712297,30.818619582664535,False,-1.7544,1.0557,1,1,1,100.0,17.378048780487816,17.378048780487816,11.05568445475636,3.9443155452436387,历史1/1次成功; 当前距低点3.94%; 最新日涨幅-1.75%; 状态bottom_area; 底部未确认
23,72.0886869370839,66.72524795833755,688357,建龙微纳,bottom_area,2024-06-17,26.25,2024-06-06,25.4,3.346456692913392,8.464566929133866,32.012847965738764,True,-0.7186,0.2488,3,5,3,60.0,24.32886676440894,31.65083135391925,11.653543307086608,3.346456692913392,历史3/5次成功; 当前距低点3.35%; 最新日涨幅-0.72%; 状态bottom_area; 底部已确认
24,70.56368232323233,64.73732323232323,000069,华侨城A,bottom_area,2024-06-17,2.15,2024-06-17,2.09,2.8708133971291896,5.263157894736858,32.58064516129033,False,-1.3761,1.8495,2,3,2,66.66666666666666,19.22640382317801,19.25925925925926,12.12918660287081,2.8708133971291896,历史2/3次成功; 当前距低点2.87%; 最新日涨幅-1.38%; 状态bottom_area; 底部未确认
25,67.98736782261022,59.80257542261129,300639,凯普生物,bottom_area,2024-06-17,4.91,2024-06-17,4.88,0.6147540983606609,3.688524590163929,28.445747800586513,False,-2.3857,1.3465,2,4,2,50.0,24.323735305772022,33.27433628318583,14.385245901639337,0.6147540983606609,历史2/4次成功; 当前距低点0.61%; 最新日涨幅-2.39%; 状态bottom_area; 底部未确认
26,67.96089242348033,60.34378667326206,001322,箭牌家居,bottom_area,2024-06-17,8.14,2024-06-06,8.05,1.1180124223602466,6.211180124223602,28.634751773049633,False,-2.6316,1.4779,1,2,1,50.0,26.897069872276486,26.897069872276486,13.881987577639753,1.1180124223602466,历史1/2次成功; 当前距低点1.12%; 最新日涨幅-2.63%; 状态bottom_area; 底部未确认
27,66.3431080601678,59.27504637829267,688105,诺唯赞,bottom_area,2024-06-17,20.97,2024-06-17,20.67,1.451378809869362,3.7735849056603654,29.090909090909083,False,-1.8718,1.4396,1,2,1,50.0,25.237580993520524,25.237580993520524,13.548621190130639,1.451378809869362,历史1/2次成功; 当前距低点1.45%; 最新日涨幅-1.87%; 状态bottom_area; 底部未确认
28,66.16146547720932,58.70235313842067,603366,日出东方,bottom_area,2024-06-17,3.75,2024-06-06,3.71,1.078167115902966,5.39083557951483,29.198473282442748,False,-1.3158,0.5725,1,2,1,50.0,17.583732057416277,17.583732057416277,13.921832884097032,1.078167115902966,历史1/2次成功; 当前距低点1.08%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
29,66.13408096264696,61.22396246832158,688276,百克生物,bottom_area,2024-06-17,31.11,2024-06-11,30.1,3.3554817275747437,8.17275747508306,27.9559597893729,True,-0.9551,0.8861,2,4,2,50.0,16.529359178451564,16.844155844155843,11.644518272425255,3.3554817275747437,历史2/4次成功; 当前距低点3.36%; 最新日涨幅-0.96%; 状态bottom_area; 底部已确认
30,64.00922771600938,60.36233654947839,600202,哈空调,bottom_area,2024-06-17,3.6,2024-06-06,3.45,4.347826086956519,11.014492753623186,32.4853228962818,True,-3.4853,1.6339,2,4,2,50.0,34.27623670827554,41.50485436893204,10.65217391304348,4.347826086956519,历史2/4次成功; 当前距低点4.35%; 最新日涨幅-3.49%; 状态bottom_area; 底部已确认
31,63.81623497801273,57.28998431700559,000779,甘咨询,bottom_area,2024-06-17,7.15,2024-06-06,7.03,1.7069701280227612,7.254623044096725,27.30093071354705,False,-0.9695,0.855,1,2,1,50.0,17.69825918762089,17.69825918762089,13.293029871977238,1.7069701280227612,历史1/2次成功; 当前距低点1.71%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
32,63.658876983500456,60.16785441452911,000701,厦门信达,bottom_area,2024-06-17,3.74,2024-06-06,3.58,4.469273743016763,10.614525139664801,29.388560157790927,True,-0.5319,1.6374,2,4,2,50.0,24.50429327208239,30.161579892280066,10.530726256983236,4.469273743016763,历史2/4次成功; 当前距低点4.47%; 最新日涨幅-0.53%; 状态bottom_area; 底部已确认
33,63.39339135858776,56.12353620429198,688092,爱科科技,bottom_area,2024-06-17,22.06,2024-06-17,21.85,0.9610983981693239,1.7848970251716108,32.35294117647058,False,-0.2712,0.764,1,2,1,50.0,42.12279866730127,42.12279866730127,14.038901601830675,0.9610983981693239,历史1/2次成功; 当前距低点0.96%; 最新日涨幅-0.27%; 状态bottom_area; 底部未确认
34,59.904471933648274,54.98051423324151,603217,元利科技,bottom_area,2024-06-17,14.94,2024-06-06,14.52,2.892561983471074,6.404958677685949,29.37743190661478,False,-0.7309,0.5611,1,2,1,50.0,19.81481481481482,19.81481481481482,12.107438016528924,2.892561983471074,历史1/2次成功; 当前距低点2.89%; 最新日涨幅-0.73%; 状态bottom_area; 底部未确认
35,59.88728071318056,56.50753376792701,603177,德创环保,bottom_area,2024-06-17,7.39,2024-06-06,7.08,4.378531073446322,10.59322033898305,31.791907514450873,True,-1.3351,1.229,1,2,1,50.0,37.04615384615384,37.04615384615384,10.621468926553678,4.378531073446322,历史1/2次成功; 当前距低点4.38%; 最新日涨幅-1.34%; 状态bottom_area; 底部已确认
36,59.67544123470369,54.558365753867136,600322,津投城开,bottom_area,2024-06-17,1.53,2024-06-06,1.49,2.684563758389264,7.382550335570476,28.01932367149758,False,-1.9231,0.8586,1,4,1,25.0,35.828877005347586,35.828877005347586,12.315436241610737,2.684563758389264,历史1/4次成功; 当前距低点2.68%; 最新日涨幅-1.92%; 状态bottom_area; 底部未确认
37,58.56994535989213,53.83362189508425,000705,浙江震元,bottom_area,2024-06-17,7.28,2024-06-06,7.07,2.97029702970297,5.799151343705801,27.26337448559671,False,-0.6821,1.8604,1,3,1,33.33333333333333,34.04605263157895,34.04605263157895,12.029702970297029,2.97029702970297,历史1/3次成功; 当前距低点2.97%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
38,58.11177796410886,55.161138510137654,002278,神开股份,bottom_area,2024-06-17,4.01,2024-06-06,3.83,4.699738903394248,11.22715404699738,30.990990990990987,True,-2.4331,2.8063,1,2,1,50.0,33.74485596707818,33.74485596707818,10.30026109660575,4.699738903394248,历史1/2次成功; 当前距低点4.70%; 最新日涨幅-2.43%; 状态bottom_area; 底部已确认
39,57.901151763124645,53.17864583333336,300749,顶固集创,bottom_area,2024-06-17,5.27,2024-06-06,5.12,2.92968749999999,9.765625,28.391608391608393,True,-2.0446,2.2215,1,3,1,33.33333333333333,20.833333333333336,20.833333333333336,12.070312500000009,2.92968749999999,历史1/3次成功; 当前距低点2.93%; 最新日涨幅-2.04%; 状态bottom_area; 底部已确认
40,57.74597498956564,55.0945822127902,300364,中文在线,bottom_area,2024-06-17,20.26,2024-06-11,19.3,4.974093264248709,8.186528497409318,28.41246290801187,True,-2.0309,3.9325,3,7,3,42.857142857142854,18.892937009939157,20.7773851590106,10.02590673575129,4.974093264248709,历史3/7次成功; 当前距低点4.97%; 最新日涨幅-2.03%; 状态bottom_area; 底部已确认
41,55.17427878395382,50.79364104323951,603326,我乐家居,bottom_area,2024-06-17,6.07,2024-06-06,5.89,3.056027164685919,6.791171477079802,27.552275522755238,False,-1.9386,0.9235,1,4,1,25.0,20.141843971631218,20.141843971631218,11.94397283531408,3.056027164685919,历史1/4次成功; 当前距低点3.06%; 最新日涨幅-1.94%; 状态bottom_area; 底部未确认
42,55.13033378222731,51.599712635222026,001366,播恩集团,bottom_area,2024-06-17,11.86,2024-06-06,11.41,3.9439088518843057,9.55302366345311,30.384380719951192,True,-4.2776,7.1793,1,2,1,50.0,15.547445255474459,15.547445255474459,11.056091148115692,3.9439088518843057,历史1/2次成功; 当前距低点3.94%; 最新日涨幅-4.28%; 状态bottom_area; 底部已确认
43,50.2097781252834,47.80445976686586,688356,键凯科技,bottom_area,2024-06-17,64.92,2024-06-11,61.91,4.861896301082225,10.289129381360047,28.559889222247865,True,-0.658,0.5401,1,3,1,33.33333333333333,15.625,15.625,10.138103698917774,4.861896301082225,历史1/3次成功; 当前距低点4.86%; 最新日涨幅-0.66%; 状态bottom_area; 底部已确认
