rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.72429690936457,82.68415094339625,000420,吉林化纤,bottom_area,2024-06-17,3.26,2024-06-14,3.18,2.5157232704402395,3.7735849056603668,30.41575492341357,False,1.5576,1.9305,1,1,1,100.0,53.9249146757679,53.9249146757679,12.48427672955976,2.5157232704402395,历史1/1次成功; 当前距低点2.52%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
2,90.67798792756544,80.98285714285717,002687,乔治白,bottom_area,2024-06-17,4.26,2024-06-06,4.2,1.428571428571419,5.714285714285719,28.2051282051282,False,-0.9302,1.2547,1,1,1,100.0,64.00000000000001,64.00000000000001,13.571428571428582,1.428571428571419,历史1/1次成功; 当前距低点1.43%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
3,89.40058470114117,80.36007613585721,002842,翔鹭钨业,bottom_area,2024-06-17,5.16,2024-06-06,5.07,1.7751479289940801,10.059171597633132,29.87551867219917,True,-2.4575,1.9606,2,2,2,100.0,25.039857064321065,29.70588235294118,13.224852071005918,1.7751479289940801,历史2/2次成功; 当前距低点1.78%; 最新日涨幅-2.46%; 状态bottom_area; 底部已确认
4,87.40112969039363,81.58532041728763,300720,海川智能,bottom_area,2024-06-17,13.93,2024-06-11,13.42,3.800298062593143,9.165424739195235,31.0025706940874,True,-3.465,1.7549,3,3,3,100.0,57.75229601757511,75.69193742478939,11.199701937406855,3.800298062593143,历史3/3次成功; 当前距低点3.80%; 最新日涨幅-3.46%; 状态bottom_area; 底部已确认
5,85.06967629350238,79.21609741380936,000813,德展健康,bottom_area,2024-06-17,2.26,2024-06-06,2.18,3.6697247706421847,8.715596330275226,29.677419354838708,True,-1.31,0.4382,3,3,3,100.0,25.446612316524458,39.9103139013453,11.330275229357815,3.6697247706421847,历史3/3次成功; 当前距低点3.67%; 最新日涨幅-1.31%; 状态bottom_area; 底部已确认
6,84.95981836384445,75.74130434782612,600376,首开股份,bottom_area,2024-06-17,2.28,2024-06-17,2.25,1.3333333333333246,2.6666666666666687,32.83582089552239,False,-1.7241,0.5794,1,1,1,100.0,20.652173913043484,20.652173913043484,13.666666666666675,1.3333333333333246,历史1/1次成功; 当前距低点1.33%; 最新日涨幅-1.72%; 状态bottom_area; 底部未确认
7,84.82080397757106,76.85558255141987,300621,维业股份,bottom_area,2024-06-17,7.42,2024-06-06,7.26,2.203856749311297,7.1625344352617155,32.02247191011236,True,-1.7219,0.9766,1,1,1,100.0,28.120300751879686,28.120300751879686,12.796143250688703,2.203856749311297,历史1/1次成功; 当前距低点2.20%; 最新日涨幅-1.72%; 状态bottom_area; 底部已确认
8,84.52338851686507,73.49859871031745,600162,香江控股,bottom_area,2024-06-17,1.35,2024-06-13,1.35,0.0,5.925925925925914,29.687499999999993,False,-2.8777,0.5447,2,2,2,100.0,27.68063822751323,28.90624999999999,15.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-2.88%; 状态bottom_area; 底部未确认
9,84.29767098217117,75.17117108809761,600201,生物股份,bottom_area,2024-06-17,7.52,2024-06-17,7.42,1.3477088948787015,2.560646900269547,32.23744292237443,False,-0.5291,1.5082,1,1,1,100.0,17.76315789473684,17.76315789473684,13.652291105121298,1.3477088948787015,历史1/1次成功; 当前距低点1.35%; 最新日涨幅-0.53%; 状态bottom_area; 底部未确认
10,84.23112073913519,74.12119778625126,605198,安德利,bottom_area,2024-06-17,28.45,2024-06-17,28.27,0.636717368234877,2.4761230986911893,29.99009410599307,False,-1.3181,0.3568,1,1,1,100.0,43.241469816272954,43.241469816272954,14.363282631765124,0.636717368234877,历史1/1次成功; 当前距低点0.64%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
11,83.54493826892158,73.4686152421803,002790,瑞尔特,bottom_area,2024-06-17,10.04,2024-06-17,9.98,0.6012024048096064,4.609218436873738,28.04614275414563,False,-4.381,2.4207,1,1,1,100.0,49.512670565302145,49.512670565302145,14.398797595190393,0.6012024048096064,历史1/1次成功; 当前距低点0.60%; 最新日涨幅-4.38%; 状态bottom_area; 底部未确认
12,81.17817047581218,72.69816388857134,002761,浙江建投,bottom_area,2024-06-17,8.38,2024-06-06,8.25,1.5757575757575852,4.848484848484853,28.26086956521739,False,-1.4118,1.645,4,6,4,66.66666666666666,29.485077928128906,43.73730534867976,13.424242424242413,1.5757575757575852,历史4/6次成功; 当前距低点1.58%; 最新日涨幅-1.41%; 状态bottom_area; 底部未确认
13,81.15237122147649,75.09622411539614,002562,兄弟科技,bottom_area,2024-06-17,2.79,2024-06-14,2.7,3.3333333333333277,11.111111111111104,32.668329177057345,False,-2.1053,1.6761,2,2,2,100.0,25.033462986000675,33.466135458167344,11.666666666666673,3.3333333333333277,历史2/2次成功; 当前距低点3.33%; 最新日涨幅-2.11%; 状态bottom_area; 底部未确认
14,80.77982302639198,74.62366364703313,002615,哈尔斯,bottom_area,2024-06-17,6.37,2024-06-06,6.17,3.2414910858995163,7.77957860615884,27.41176470588235,True,-2.1505,2.2364,1,1,1,100.0,28.84012539184954,28.84012539184954,11.758508914100481,3.2414910858995163,历史1/1次成功; 当前距低点3.24%; 最新日涨幅-2.15%; 状态bottom_area; 底部已确认
15,80.72732553710165,75.16078197165153,603017,中衡设计,bottom_area,2024-06-17,9.06,2024-06-06,8.74,3.6613272311212848,8.352402745995429,30.52464228934817,True,-2.0541,2.5849,1,1,1,100.0,36.87423687423689,36.87423687423689,11.338672768878714,3.6613272311212848,历史1/1次成功; 当前距低点3.66%; 最新日涨幅-2.05%; 状态bottom_area; 底部已确认
16,78.8793105847641,75.02289744439838,688023,安恒信息,bottom_area,2024-06-17,43.83,2024-06-11,41.82,4.806312769010038,9.11047345767576,28.853351480095274,True,-0.7473,1.7837,2,2,2,100.0,33.50156213839389,39.261744966442954,10.193687230989962,4.806312769010038,历史2/2次成功; 当前距低点4.81%; 最新日涨幅-0.75%; 状态bottom_area; 底部已确认
