rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.03964220072662,86.0862549036477,002160,常铝股份,bottom_area,2025-11-27,5.14,2025-11-24,4.97,3.420523138832997,8.249496981891351,28.386167146974074,True,0.7843,9.2273,3,3,3,100.0,36.855094947241525,40.066225165562926,16.579476861167002,3.420523138832997,历史3/3次成功; 当前距低点3.42%; 最新日涨幅0.78%; 状态bottom_area; 底部已确认
2,90.62078525528909,79.49639657033906,603151,邦基科技,bottom_area,2025-11-27,18.68,2025-11-21,18.17,2.8068244358833128,3.742432581177764,32.62884686688913,False,1.2466,1.5117,1,1,1,100.0,36.42987249544626,36.42987249544626,17.19317556411669,2.8068244358833128,历史1/1次成功; 当前距低点2.81%; 最新日涨幅1.25%; 状态bottom_area; 底部未确认
3,89.0622572194149,78.57826269648865,603173,福斯达,bottom_area,2025-11-27,38.0,2025-11-24,36.85,3.1207598371777436,4.640434192673001,32.86573146292585,False,0.4759,1.9197,1,1,1,100.0,35.34190927555856,35.34190927555856,16.879240162822256,3.1207598371777436,历史1/1次成功; 当前距低点3.12%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
4,88.99588840863801,78.21520545847463,000619,海螺新材,bottom_area,2025-11-27,6.37,2025-11-21,6.19,2.9079159935379595,6.1389337641357,27.85547785547785,False,0.0,3.0708,3,4,3,75.0,34.947601740544016,43.133047210300425,17.09208400646204,2.9079159935379595,历史3/4次成功; 当前距低点2.91%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,87.97971979133335,74.75657738221926,605333,沪光股份,bottom_area,2025-11-27,28.55,2025-11-27,28.25,1.0619469026548698,1.946902654867259,29.162487462387165,False,0.599,0.4656,3,5,3,60.0,26.224818926195436,29.01840490797546,18.938053097345133,1.0619469026548698,历史3/5次成功; 当前距低点1.06%; 最新日涨幅0.60%; 状态bottom_area; 底部未确认
6,87.50560216604401,73.3551559531467,600550,保变电气,bottom_area,2025-11-27,9.3,2025-11-27,9.27,0.323624595469268,2.588996763754048,28.692307692307693,False,-1.0638,3.0992,1,1,1,100.0,35.285053929121716,35.285053929121716,19.67637540453073,0.323624595469268,历史1/1次成功; 当前距低点0.32%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
7,86.98829123970614,76.74868152323873,003038,鑫铂股份,bottom_area,2025-11-27,15.86,2025-11-24,15.38,3.1209362808842562,5.7867360208062335,28.76331635016211,False,1.5365,2.6356,1,1,1,100.0,25.507614213197975,25.507614213197975,16.879063719115745,3.1209362808842562,历史1/1次成功; 当前距低点3.12%; 最新日涨幅1.54%; 状态bottom_area; 底部未确认
8,86.12597207671489,75.87169688620007,603178,圣龙股份,bottom_area,2025-11-27,18.32,2025-11-24,17.78,3.0371203599550007,4.049493813273334,27.694184627897517,False,1.2155,1.1928,5,7,5,71.42857142857143,31.669983984855786,47.51869476546566,16.962879640045,3.0371203599550007,历史5/7次成功; 当前距低点3.04%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
9,85.81555172572332,76.97034124061408,601011,宝泰隆,bottom_area,2025-11-27,3.62,2025-11-24,3.48,4.02298850574713,5.172413793103453,28.395061728395067,False,0.8357,3.6764,4,5,4,80.0,31.090080826438378,34.951456310679596,15.97701149425287,4.02298850574713,历史4/5次成功; 当前距低点4.02%; 最新日涨幅0.84%; 状态bottom_area; 底部未确认
10,85.05574510212084,71.60333837975172,600506,统一股份,bottom_area,2025-11-27,25.4,2025-11-27,25.26,0.5542359461599248,2.7315914489311073,30.794520547945204,False,-1.5504,11.9474,1,1,1,100.0,28.69352869352869,28.69352869352869,19.445764053840076,0.5542359461599248,历史1/1次成功; 当前距低点0.55%; 最新日涨幅-1.55%; 状态bottom_area; 底部未确认
11,84.01609756097561,70.01341463414634,002321,华英农业,bottom_area,2025-11-27,2.76,2025-11-25,2.76,0.0,6.521739130434789,28.497409326424872,False,-1.7794,2.9294,1,1,1,100.0,25.609756097560986,25.609756097560986,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-1.78%; 状态bottom_area; 底部未确认
12,83.73115583066271,74.71644749021004,688766,普冉股份,bottom_area,2025-11-27,124.49,2025-11-21,120.0,3.7416666666666627,7.816666666666664,28.22966507177033,False,0.0,0.0,1,1,1,100.0,22.190577904355056,22.190577904355056,16.25833333333334,3.7416666666666627,历史1/1次成功; 当前距低点3.74%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
13,83.39322769090853,75.84248808214156,002300,太阳电缆,bottom_area,2025-11-27,6.79,2025-11-24,6.48,4.783950617283944,11.88271604938271,27.027027027027028,True,-1.0204,2.8492,2,2,2,100.0,37.633846718005124,38.41584158415842,15.216049382716058,4.783950617283944,历史2/2次成功; 当前距低点4.78%; 最新日涨幅-1.02%; 状态bottom_area; 底部已确认
14,82.01343362887027,74.45895241508933,688249,晶合集成,bottom_area,2025-11-27,28.8,2025-11-24,27.51,4.689203925845144,7.77898945837876,27.02917771883289,True,-0.3805,1.6775,2,2,2,100.0,29.0340718603025,34.69735720375107,15.310796074154858,4.689203925845144,历史2/2次成功; 当前距低点4.69%; 最新日涨幅-0.38%; 状态bottom_area; 底部已确认
15,80.34301161795244,68.84698583982099,002208,合肥城建,bottom_area,2025-11-27,10.66,2025-11-26,10.5,1.5238095238095253,5.809523809523804,27.785419532324617,False,-0.0937,6.9292,2,3,2,66.66666666666666,24.80970369591419,27.071823204419903,18.476190476190478,1.5238095238095253,历史2/3次成功; 当前距低点1.52%; 最新日涨幅-0.09%; 状态bottom_area; 底部未确认
16,80.15552224777255,70.06995717644175,601127,赛力斯,bottom_area,2025-11-27,125.57,2025-11-24,122.37,2.6150200212470285,3.914358094304153,28.854651162790695,False,0.3757,0.9787,5,9,5,55.55555555555556,29.69523621503266,42.19143576826195,17.384979978752973,2.6150200212470285,历史5/9次成功; 当前距低点2.62%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
17,75.43863455587832,64.13147079521464,600104,上汽集团,bottom_area,2025-11-27,14.86,2025-11-21,14.7,1.0884353741496609,2.1768707482993217,28.74454677653902,False,0.0,0.2592,1,2,1,50.0,24.425287356321842,24.425287356321842,18.911564625850342,1.0884353741496609,历史1/2次成功; 当前距低点1.09%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
18,74.863149022713,62.8973178264597,688337,普源精电,bottom_area,2025-11-27,36.08,2025-11-21,35.92,0.4454342984409705,5.066815144766148,28.159999999999997,False,-1.1507,1.0625,3,6,3,50.0,38.886602295188766,54.46153846153845,19.55456570155903,0.4454342984409705,历史3/6次成功; 当前距低点0.45%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
19,73.8634830873832,67.22149546092085,688008,澜起科技,bottom_area,2025-11-27,117.4,2025-11-24,112.0,4.8214285714285765,9.124999999999998,29.506545820745217,True,0.2476,2.6261,2,4,2,50.0,44.270712923537644,62.20095693779905,15.178571428571425,4.8214285714285765,历史2/4次成功; 当前距低点4.82%; 最新日涨幅0.25%; 状态bottom_area; 底部已确认
