rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
30,78.03287245764578,77.30131427835535,605337,李子园,bottom_area,2024-07-19,9.51,2024-07-09,9.1,4.505494505494507,8.35164835164835,31.00833965125095,True,-0.105,0.3406,3,3,3,100.0,25.39699866066034,37.98882681564246,5.494505494505493,4.505494505494507,历史3/3次成功; 当前距低点4.51%; 最新日涨幅-0.10%; 状态bottom_area; 底部已确认
31,77.92704885971898,75.04530899433645,002386,天原股份,bottom_area,2024-07-19,3.75,2024-07-09,3.64,3.0219780219780183,9.340659340659336,27.920792079207917,True,-0.5305,0.2886,3,4,3,75.0,32.58289722820615,48.85290148448042,6.9780219780219825,3.0219780219780183,历史3/4次成功; 当前距低点3.02%; 最新日涨幅-0.53%; 状态bottom_area; 底部已确认
32,77.79663257532782,74.88834724540902,600230,沧州大化,bottom_area,2024-07-19,9.27,2024-07-18,9.0,2.9999999999999956,3.555555555555559,29.411764705882355,False,0.4334,0.5001,1,1,1,100.0,14.02337228714524,14.02337228714524,7.000000000000004,2.9999999999999956,历史1/1次成功; 当前距低点3.00%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
33,77.53979738157167,76.41853223589823,000789,万年青,bottom_area,2024-07-19,4.43,2024-07-09,4.25,4.235294117647053,7.2941176470588145,29.752066115702476,True,-1.5556,0.477,2,2,2,100.0,34.00539152759949,47.599999999999994,5.764705882352948,4.235294117647053,历史2/2次成功; 当前距低点4.24%; 最新日涨幅-1.56%; 状态bottom_area; 底部已确认
34,76.51842456758368,74.07185972473921,603010,万盛股份,bottom_area,2024-07-19,8.78,2024-07-18,8.5,3.2941176470588163,3.2941176470588163,27.78249787595582,False,0.8037,0.3366,1,1,1,100.0,13.238967527060783,13.238967527060783,6.705882352941184,3.2941176470588163,历史1/1次成功; 当前距低点3.29%; 最新日涨幅0.80%; 状态bottom_area; 底部未确认
35,76.05332920849985,72.83839323139021,600970,中材国际,bottom_area,2024-07-19,10.15,2024-07-12,9.88,2.732793522267202,6.983805668016188,27.03101920236336,False,-1.0721,0.4332,1,1,1,100.0,22.19979818365287,22.19979818365287,7.267206477732799,2.732793522267202,历史1/1次成功; 当前距低点2.73%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
36,75.94116874703278,73.5751333819618,603325,博隆技术,bottom_area,2024-07-19,60.98,2024-07-18,59.01,3.338417217420774,5.388917132689374,31.922011998154137,False,-0.3595,1.1789,1,1,1,100.0,33.584541062801925,33.584541062801925,6.6615827825792255,3.338417217420774,历史1/1次成功; 当前距低点3.34%; 最新日涨幅-0.36%; 状态bottom_area; 底部未确认
37,75.90110639195234,73.49666245987547,600256,广汇能源,bottom_area,2024-07-19,5.93,2024-07-10,5.74,3.310104529616716,8.013937282229964,30.843373493975907,True,-1.6584,0.5655,1,1,1,100.0,23.62204724409449,23.62204724409449,6.689895470383283,3.310104529616716,历史1/1次成功; 当前距低点3.31%; 最新日涨幅-1.66%; 状态bottom_area; 底部已确认
38,75.30139655979296,69.86607270649934,600141,兴发集团,bottom_area,2024-07-19,17.97,2024-07-19,17.78,1.068616422947119,2.0809898762654524,28.393072895690686,False,-1.2095,0.8239,2,3,2,66.66666666666666,24.70887894705429,36.58969804618119,8.931383577052882,1.068616422947119,历史2/3次成功; 当前距低点1.07%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
39,75.15301268654224,74.24755470236704,002698,博实股份,bottom_area,2024-07-19,11.48,2024-07-18,11.0,4.363636363636368,6.8181818181818175,30.730478589420656,False,1.4134,1.1293,2,2,2,100.0,10.627126943322317,11.142857142857146,5.636363636363633,4.363636363636368,历史2/2次成功; 当前距低点4.36%; 最新日涨幅1.41%; 状态bottom_area; 底部未确认
40,75.10445936029323,71.33272881828836,002346,柘中股份,bottom_area,2024-07-19,7.13,2024-07-18,6.97,2.295552367288381,3.012912482065997,29.381965552178315,False,0.9915,0.3058,2,3,2,66.66666666666666,25.160868543221483,34.89010989010989,7.70444763271162,2.295552367288381,历史2/3次成功; 当前距低点2.30%; 最新日涨幅0.99%; 状态bottom_area; 底部未确认
41,74.45633076058112,72.26732063350805,603229,奥翔药业,bottom_area,2024-07-19,7.23,2024-07-17,6.99,3.433476394849788,4.864091559370527,32.52895752895753,False,-0.2759,0.6508,3,4,3,75.0,31.88519792347079,43.052109181141425,6.566523605150213,3.433476394849788,历史3/4次成功; 当前距低点3.43%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
