rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.15748795064526,89.6234113738259,002819,东方中科,bottom_area,2025-06-03,28.29,2025-05-30,27.89,1.4342058085335194,4.195051989960553,31.575073601570164,False,1.1441,3.2019,5,5,5,100.0,24.050540953130696,51.677148846960186,6.565794191466481,1.4342058085335194,历史5/5次成功; 当前距低点1.43%; 最新日涨幅1.14%; 状态bottom_area; 底部未确认
2,89.25019968605592,86.69684243496634,300622,博士眼镜,bottom_area,2025-06-03,30.45,2025-06-03,29.71,2.4907438572871032,4.510265903736115,28.940444869648413,False,0.8612,4.1383,6,6,6,100.0,21.267410911725413,46.42601004064069,5.509256142712897,2.4907438572871032,历史6/6次成功; 当前距低点2.49%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
3,87.97087614700678,81.89285033098483,002779,中坚科技,bottom_area,2025-06-03,97.15,2025-06-03,96.88,0.27869529314617075,3.5301403798513644,28.916281458654343,False,-2.7528,3.7948,4,4,4,100.0,30.635890319129533,38.253119429590015,7.72130470685383,0.27869529314617075,历史4/4次成功; 当前距低点0.28%; 最新日涨幅-2.75%; 状态bottom_area; 底部未确认
4,87.88129787042261,85.83122824612663,000715,中兴商业,bottom_area,2025-06-03,5.56,2025-06-03,5.41,2.7726432532347403,2.7726432532347403,28.815789473684205,False,1.4599,1.8646,4,4,4,100.0,20.069112169364704,29.105691056910565,5.227356746765261,2.7726432532347403,历史4/4次成功; 当前距低点2.77%; 最新日涨幅1.46%; 状态bottom_area; 底部未确认
5,87.52169121536855,84.39389075160295,301316,慧博云通,bottom_area,2025-06-03,41.66,2025-06-03,40.8,2.1078431372549007,3.6519607843137307,32.147014801263936,False,0.1202,10.393,3,3,3,100.0,20.858995185721092,43.333333333333336,5.892156862745099,2.1078431372549007,历史3/3次成功; 当前距低点2.11%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
6,87.48632068031247,82.7508004225546,002136,安纳达,bottom_area,2025-06-03,10.96,2025-06-03,10.84,1.1070110701107103,2.214022140221404,27.491638795986617,False,-0.0912,8.0158,3,3,3,100.0,22.230030443048534,42.29299363057326,6.892988929889291,1.1070110701107103,历史3/3次成功; 当前距低点1.11%; 最新日涨幅-0.09%; 状态bottom_area; 底部未确认
7,86.44856891051066,81.76281624154088,600770,综艺股份,bottom_area,2025-06-03,5.5,2025-06-03,5.44,1.102941176470581,1.8382352941176405,27.94701986754966,False,0.7326,5.2528,1,1,1,100.0,27.72861356932153,27.72861356932153,6.897058823529418,1.102941176470581,历史1/1次成功; 当前距低点1.10%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
8,86.3644530517361,82.44390393242931,002304,洋河股份,bottom_area,2025-06-03,66.03,2025-05-29,65.0,1.5846153846153863,1.9384615384615462,31.57894736842105,False,0.5023,0.3454,2,2,2,100.0,20.62810220081931,20.781426953567394,6.415384615384615,1.5846153846153863,历史2/2次成功; 当前距低点1.58%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
9,86.08588015626702,81.91246304471508,002811,郑中设计,bottom_area,2025-06-03,10.74,2025-06-03,10.59,1.416430594900853,1.9830028328611977,28.203389830508474,False,0.9398,7.7483,2,2,2,100.0,15.709273124134537,16.78832116788322,6.583569405099148,1.416430594900853,历史2/2次成功; 当前距低点1.42%; 最新日涨幅0.94%; 状态bottom_area; 底部未确认
10,86.08521977751084,82.10191015081925,002041,登海种业,bottom_area,2025-06-03,9.91,2025-06-03,9.76,1.5368852459016429,1.6393442622950833,28.023598820059004,False,0.5071,0.6138,2,2,2,100.0,18.2043468358871,21.395106715252467,6.463114754098358,1.5368852459016429,历史2/2次成功; 当前距低点1.54%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
11,85.39566069557561,82.89963335716368,301518,长华化学,bottom_area,2025-06-03,22.93,2025-06-03,22.38,2.4575513851653294,3.127792672028594,27.005870841487283,False,1.1023,7.4875,2,2,2,100.0,33.77876621150887,55.817490494296564,5.5424486148346706,2.4575513851653294,历史2/2次成功; 当前距低点2.46%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
