rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
38,70.3642721365273,62.045569813397684,000721,西安饮食,bottom_area,2023-05-09,12.15,2023-05-09,12.06,0.7462686567164167,3.565505804311772,29.802095459837012,False,-0.7353,7.8997,2,3,2,66.66666666666666,18.550514430346464,20.485175202156327,14.253731343283583,0.7462686567164167,历史2/3次成功; 当前距低点0.75%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
39,68.83532684216706,61.24757107354202,300552,万集科技,bottom_area,2023-05-09,17.29,2023-05-04,17.08,1.2295081967213166,7.728337236533961,31.129032258064527,True,-2.0397,2.5483,1,2,1,50.0,23.929299796057098,23.929299796057098,13.770491803278684,1.2295081967213166,历史1/2次成功; 当前距低点1.23%; 最新日涨幅-2.04%; 状态bottom_area; 底部已确认
40,68.2538409736842,63.77523636545743,688039,当虹科技,bottom_area,2023-05-09,54.71,2023-05-04,52.68,3.853454821564163,8.599088838268795,28.130968622100955,True,-1.4057,3.1405,2,3,2,66.66666666666666,16.905627376113205,17.019445878506282,11.146545178435836,3.853454821564163,历史2/3次成功; 当前距低点3.85%; 最新日涨幅-1.41%; 状态bottom_area; 底部已确认
41,66.80393856154647,59.62634253276173,603029,天鹅股份,bottom_area,2023-05-09,18.87,2023-04-25,18.61,1.3970983342289176,7.415368081676513,29.640831758034025,True,-2.0758,2.2154,1,2,1,50.0,17.26734803657881,17.26734803657881,13.602901665771084,1.3970983342289176,历史1/2次成功; 当前距低点1.40%; 最新日涨幅-2.08%; 状态bottom_area; 底部已确认
42,65.66061427402832,58.8740991713144,000059,华锦股份,bottom_area,2023-05-09,6.81,2023-04-25,6.7,1.641791044776111,5.970149253731335,29.916317991631804,False,-2.2956,1.1124,1,2,1,50.0,25.41603630862328,25.41603630862328,13.358208955223889,1.641791044776111,历史1/2次成功; 当前距低点1.64%; 最新日涨幅-2.30%; 状态bottom_area; 底部未确认
43,64.94582051721548,57.87436654540039,002455,百川股份,bottom_area,2023-05-09,7.73,2023-05-05,7.63,1.310615989515079,4.587155963302759,28.691588785046722,False,-1.9036,1.2043,1,3,1,33.33333333333333,35.42600896860987,35.42600896860987,13.68938401048492,1.310615989515079,历史1/3次成功; 当前距低点1.31%; 最新日涨幅-1.90%; 状态bottom_area; 底部未确认
44,64.78659346944865,59.69788795963629,300758,七彩化学,bottom_area,2023-05-09,9.96,2023-04-26,9.66,3.1055900621118084,7.142857142857137,30.252707581227433,True,-2.0649,1.2223,1,2,1,50.0,38.59480269489894,38.59480269489894,11.894409937888192,3.1055900621118084,历史1/2次成功; 当前距低点3.11%; 最新日涨幅-2.06%; 状态bottom_area; 底部已确认
45,63.94605449256485,58.166304819800274,600405,动力源,bottom_area,2023-05-09,5.52,2023-04-28,5.39,2.4118738404452675,8.719851576994445,29.908972691807552,True,-2.8169,2.3199,1,2,1,50.0,21.8568665377176,21.8568665377176,12.588126159554733,2.4118738404452675,历史1/2次成功; 当前距低点2.41%; 最新日涨幅-2.82%; 状态bottom_area; 底部已确认
46,62.2382721804012,54.750580984742484,688107,安路科技,bottom_area,2023-05-09,50.34,2023-05-05,50.03,0.6196282230661648,5.676594043573848,32.673933521733275,False,-0.7296,1.0714,1,3,1,33.33333333333333,67.95615731785945,67.95615731785945,14.380371776933835,0.6196282230661648,历史1/3次成功; 当前距低点0.62%; 最新日涨幅-0.73%; 状态bottom_area; 底部未确认
47,60.81076344118962,53.207769009935234,600933,爱柯迪,bottom_area,2023-05-09,18.15,2023-05-09,18.09,0.3316749585406231,3.0403537866224473,27.553063676411693,False,-2.3669,0.949,1,2,1,50.0,18.731117824773406,18.731117824773406,14.668325041459376,0.3316749585406231,历史1/2次成功; 当前距低点0.33%; 最新日涨幅-2.37%; 状态bottom_area; 底部未确认
48,60.340501419318,55.21265905093966,002758,浙农股份,bottom_area,2023-05-09,12.42,2023-04-25,12.09,2.7295285359801498,5.789909015715462,28.249258160237396,False,-0.4808,1.5497,1,2,1,50.0,19.064430714916153,19.064430714916153,12.270471464019849,2.7295285359801498,历史1/2次成功; 当前距低点2.73%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
49,59.06568898280891,54.19643421927412,002112,三变科技,bottom_area,2023-05-09,9.65,2023-04-25,9.38,2.8784648187633213,9.275053304904041,29.046898638426622,True,-3.9801,6.6284,1,2,1,50.0,16.44803229061553,16.44803229061553,12.121535181236679,2.8784648187633213,历史1/2次成功; 当前距低点2.88%; 最新日涨幅-3.98%; 状态bottom_area; 底部已确认
50,59.02148710008259,51.95750610943646,688286,敏芯股份,bottom_area,2023-05-09,45.93,2023-05-09,45.63,0.6574621959237281,6.070567609029139,28.903085073231537,False,-1.9637,1.75,1,2,1,50.0,16.00279524807827,16.00279524807827,14.342537804076272,0.6574621959237281,历史1/2次成功; 当前距低点0.66%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
51,58.86380989182608,54.34923434113117,002806,华锋股份,bottom_area,2023-05-09,10.6,2023-04-25,10.27,3.213242453748784,6.621226874391429,31.896551724137932,False,-1.7609,1.5723,1,2,1,50.0,20.35175879396985,20.35175879396985,11.786757546251216,3.213242453748784,历史1/2次成功; 当前距低点3.21%; 最新日涨幅-1.76%; 状态bottom_area; 底部未确认
52,58.28757670200532,54.775007785578076,603158,腾龙股份,bottom_area,2023-05-09,6.76,2023-04-25,6.49,4.160246533127882,9.55315870570108,27.647714604236345,True,-3.0129,1.3815,1,2,1,50.0,35.270805812417436,35.270805812417436,10.839753466872118,4.160246533127882,历史1/2次成功; 当前距低点4.16%; 最新日涨幅-3.01%; 状态bottom_area; 底部已确认
53,53.79067658129074,47.0668420086294,605305,中际联合,bottom_area,2023-05-09,33.11,2023-05-09,33.0,0.3333333333333316,5.818181818181823,29.487179487179482,False,-5.2104,2.7185,1,3,1,33.33333333333333,15.395207931699245,15.395207931699245,14.666666666666666,0.3333333333333316,历史1/3次成功; 当前距低点0.33%; 最新日涨幅-5.21%; 状态bottom_area; 底部未确认
54,52.975944565868005,46.08195767850612,688298,东方生物,bottom_area,2023-05-09,54.12,2023-05-09,54.11,0.01848087229716875,2.4209942709295924,30.34243048403708,False,-2.3457,0.8896,1,6,1,16.666666666666664,15.470039788586028,15.470039788586028,14.98151912770283,0.01848087229716875,历史1/6次成功; 当前距低点0.02%; 最新日涨幅-2.35%; 状态bottom_area; 底部未确认
