rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.26259944014035,79.96517346881853,601226,华电科工,bottom_area,2023-09-25,5.93,2023-09-25,5.87,1.022146507666092,4.088586030664399,27.975460122699385,False,-2.7869,0.8355,1,1,1,100.0,39.54659949622166,39.54659949622166,8.97785349233391,1.022146507666092,历史1/1次成功; 当前距低点1.02%; 最新日涨幅-2.79%; 状态bottom_area; 底部未确认
2,83.24268031038723,79.71102192853034,002534,西子洁能,bottom_area,2023-09-25,12.82,2023-09-22,12.48,2.724358974358973,3.8461538461538494,27.861271676300582,False,-0.6971,0.3447,3,3,3,100.0,25.712690269187092,33.11594202898551,7.275641025641027,2.724358974358973,历史3/3次成功; 当前距低点2.72%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
3,81.97178959023721,77.3680697380554,601777,千里科技,bottom_area,2023-09-25,3.63,2023-08-25,3.56,1.9662921348314562,8.146067415730338,27.93522267206478,True,-1.3587,0.3751,1,1,1,100.0,27.96352583586626,27.96352583586626,8.033707865168545,1.9662921348314562,历史1/1次成功; 当前距低点1.97%; 最新日涨幅-1.36%; 状态bottom_area; 底部已确认
4,79.5253893449968,73.41164855013669,300561,汇金科技,bottom_area,2023-09-25,12.56,2023-09-21,12.46,0.8025682182985525,3.21027287319421,32.539252842447205,False,-2.0281,2.9723,2,2,2,100.0,24.79303273041607,27.62128325508607,9.197431781701448,0.8025682182985525,历史2/2次成功; 当前距低点0.80%; 最新日涨幅-2.03%; 状态bottom_area; 底部未确认
5,79.13524877123655,76.75382431156956,000028,国药一致,bottom_area,2023-09-25,31.36,2023-09-22,30.33,3.3959775799538447,4.879657105176395,31.30237825594564,False,0.7712,0.842,2,2,2,100.0,12.240070934754426,14.150943396226415,6.604022420046156,3.3959775799538447,历史2/2次成功; 当前距低点3.40%; 最新日涨幅0.77%; 状态bottom_area; 底部未确认
6,78.5033091160303,74.42941632830772,603258,电魂网络,bottom_area,2023-09-25,28.3,2023-09-21,27.69,2.2029613578909335,7.5478512098230395,31.93215339233038,True,-2.7491,3.383,1,1,1,100.0,15.065420560747667,15.065420560747667,7.797038642109067,2.2029613578909335,历史1/1次成功; 当前距低点2.20%; 最新日涨幅-2.75%; 状态bottom_area; 底部已确认
7,77.90713650075176,75.80418178039248,300603,立昂技术,bottom_area,2023-09-25,9.3,2023-09-21,8.98,3.563474387527843,4.677060133630288,27.346278317152095,False,1.087,6.5976,4,5,4,80.0,19.18765260191376,35.36723163841809,6.436525612472158,3.563474387527843,历史4/5次成功; 当前距低点3.56%; 最新日涨幅1.09%; 状态bottom_area; 底部未确认
8,77.01059195095364,70.78307076207447,002265,建设工业,bottom_area,2023-09-25,12.23,2023-08-25,12.16,0.5756578947368444,7.1546052631578885,28.344136711844424,True,-1.371,0.4729,3,4,3,75.0,19.519197645561725,32.75229357798165,9.424342105263156,0.5756578947368444,历史3/4次成功; 当前距低点0.58%; 最新日涨幅-1.37%; 状态bottom_area; 底部已确认
9,75.68576982311542,69.69826763686153,002145,钛能化学,bottom_area,2023-09-25,4.47,2023-09-25,4.44,0.6756756756756612,3.6036036036035863,28.387096774193544,False,-3.2468,2.7609,2,2,2,100.0,13.488216007537837,16.649537512846855,9.324324324324339,0.6756756756756612,历史2/2次成功; 当前距低点0.68%; 最新日涨幅-3.25%; 状态bottom_area; 底部未确认
10,73.68151659917889,73.19876401442119,002777,久远银海,bottom_area,2023-09-25,26.08,2023-09-22,24.92,4.654895666131607,6.260032102728727,27.76811594202898,False,-0.458,2.8796,3,3,3,100.0,14.365194264522765,18.88352860096485,5.3451043338683935,4.654895666131607,历史3/3次成功; 当前距低点4.65%; 最新日涨幅-0.46%; 状态bottom_area; 底部未确认
11,71.59640103960804,65.52734790338907,002386,天原股份,bottom_area,2023-09-25,5.69,2023-08-31,5.67,0.35273368606702754,5.996472663139327,31.604342581423396,False,-1.2153,0.4192,2,3,2,66.66666666666666,32.445774413737794,48.85290148448042,9.647266313932972,0.35273368606702754,历史2/3次成功; 当前距低点0.35%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
