rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.27095197191846,72.50178517397882,688280,精进电动,bottom_area,2021-12-29,15.27,2021-12-29,15.2,0.46052631578947556,2.7631578947368416,31.562359297613696,False,-2.0526,4.8757,1,1,1,100.0,32.37518910741301,32.37518910741301,19.539473684210527,0.46052631578947556,历史1/1次成功; 当前距低点0.46%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
2,78.14107303110549,67.65605553285864,601127,赛力斯,bottom_area,2021-12-29,56.68,2021-12-28,55.52,2.089337175792501,6.231988472622467,28.610003857528604,False,-2.0225,1.3969,2,3,2,66.66666666666666,25.33912702687572,27.74461028192372,17.910662824207503,2.089337175792501,历史2/3次成功; 当前距低点2.09%; 最新日涨幅-2.02%; 状态bottom_area; 底部未确认
3,64.29809402931745,56.152611986536485,603169,兰石重装,bottom_area,2021-12-29,9.21,2021-12-29,8.98,2.561247216035639,5.345211581291764,31.18773946360153,False,-0.3247,6.3154,1,2,1,50.0,22.055137844611526,22.055137844611526,17.43875278396436,2.561247216035639,历史1/2次成功; 当前距低点2.56%; 最新日涨幅-0.32%; 状态bottom_area; 底部未确认
