rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.12096498639578,87.0761379339787,601778,晶科科技,bottom_area,2023-09-15,3.72,2023-08-29,3.66,1.6393442622950833,7.377049180327869,28.79377431906614,True,0.2695,1.0098,3,3,3,100.0,20.34324113984674,42.344827586206904,6.360655737704916,1.6393442622950833,历史3/3次成功; 当前距低点1.64%; 最新日涨幅0.27%; 状态bottom_area; 底部已确认
2,88.5578701582645,86.66794095815382,002265,建设工业,bottom_area,2023-09-15,12.51,2023-08-25,12.16,2.8782894736842075,7.1546052631578885,28.344136711844424,True,0.8058,0.5997,4,4,4,100.0,16.669037409429027,32.75229357798165,5.121710526315793,2.8782894736842075,历史4/4次成功; 当前距低点2.88%; 最新日涨幅0.81%; 状态bottom_area; 底部已确认
3,87.14200308860995,84.00739866096212,603226,菲林格尔,bottom_area,2023-09-15,5.36,2023-09-12,5.25,2.0952380952381016,3.428571428571423,29.71887550200803,False,1.5152,3.2449,3,3,3,100.0,18.62656730163969,20.479302832244016,5.904761904761899,2.0952380952381016,历史3/3次成功; 当前距低点2.10%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
4,85.06657822384165,80.32679820550443,300561,汇金科技,bottom_area,2023-09-15,12.88,2023-09-13,12.75,1.019607843137261,3.058823529411769,30.96913914455874,False,-0.9231,2.8304,2,2,2,100.0,24.79303273041607,27.62128325508607,6.980392156862739,1.019607843137261,历史2/2次成功; 当前距低点1.02%; 最新日涨幅-0.92%; 状态bottom_area; 底部未确认
5,84.22279396330443,82.18988473696027,002069,獐子岛,bottom_area,2023-09-15,4.14,2023-09-14,4.03,2.7295285359801347,4.21836228287841,28.79858657243816,False,1.2225,1.6196,3,3,3,100.0,16.6301602096504,30.967741935483854,5.270471464019866,2.7295285359801347,历史3/3次成功; 当前距低点2.73%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
6,83.33583660053753,82.30214414169306,002386,天原股份,bottom_area,2023-09-15,5.86,2023-08-31,5.67,3.350970017636691,5.996472663139327,31.604342581423396,False,0.3425,0.3072,3,3,3,100.0,24.851375171530723,48.85290148448042,4.649029982363309,3.350970017636691,历史3/3次成功; 当前距低点3.35%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
7,82.20603324058557,82.17698688292444,002339,积成电子,confirmed_rebound,2023-09-15,6.79,2023-08-25,6.53,3.981623277182232,9.494640122511488,27.201783723522855,True,-0.1471,0.7703,4,4,4,100.0,38.73703201559097,82.94930875576038,4.018376722817768,3.981623277182232,历史4/4次成功; 当前距低点3.98%; 最新日涨幅-0.15%; 状态confirmed_rebound; 底部已确认
8,81.71645299584812,79.00762029985316,601777,千里科技,confirmed_rebound,2023-09-15,3.64,2023-08-25,3.56,2.247191011235957,8.146067415730338,27.93522267206478,True,0.0,0.5325,1,1,1,100.0,27.96352583586626,27.96352583586626,5.752808988764043,2.247191011235957,历史1/1次成功; 当前距低点2.25%; 最新日涨幅0.00%; 状态confirmed_rebound; 底部已确认
9,81.62149748914885,78.13531432741999,603221,爱丽家居,bottom_area,2023-09-15,8.23,2023-09-14,8.09,1.7305315203955574,3.3374536464771274,29.40663176265271,False,0.9816,2.9506,1,1,1,100.0,15.91895803183791,15.91895803183791,6.269468479604442,1.7305315203955574,历史1/1次成功; 当前距低点1.73%; 最新日涨幅0.98%; 状态bottom_area; 底部未确认
10,79.8897788466442,75.43028011241097,603258,电魂网络,bottom_area,2023-09-15,28.89,2023-09-15,28.6,1.013986013986011,3.076923076923073,29.695181907571282,False,-0.8239,2.7428,1,1,1,100.0,15.065420560747667,15.065420560747667,6.986013986013989,1.013986013986011,历史1/1次成功; 当前距低点1.01%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
11,78.50718485360984,73.07700723855449,688191,智洋创新,bottom_area,2023-09-15,18.27,2023-09-15,18.22,0.27442371020856593,2.524698133918775,27.120000000000005,False,-1.6685,2.9347,2,2,2,100.0,16.51985643994637,22.671568627450974,7.725576289791435,0.27442371020856593,历史2/2次成功; 当前距低点0.27%; 最新日涨幅-1.67%; 状态bottom_area; 底部未确认
12,77.04295307364468,76.38833345487575,000028,国药一致,bottom_area,2023-09-15,31.74,2023-09-08,30.65,3.556280587275693,5.481239804241435,30.577576443941112,False,0.4113,0.8635,2,2,2,100.0,12.240070934754426,14.150943396226415,4.443719412724307,3.556280587275693,历史2/2次成功; 当前距低点3.56%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
13,76.10047591907832,75.31458460149749,002272,川润股份,confirmed_rebound,2023-09-15,5.98,2023-08-25,5.78,3.4602076124567507,10.553633217993069,29.42612942612942,True,-0.1669,1.6787,2,2,2,100.0,28.784182569348804,48.337595907928375,4.539792387543249,3.4602076124567507,历史2/2次成功; 当前距低点3.46%; 最新日涨幅-0.17%; 状态confirmed_rebound; 底部已确认
14,76.0044344219379,71.72114382682079,603106,恒银科技,bottom_area,2023-09-15,7.18,2023-09-11,7.11,0.9845288326300898,6.610407876230657,30.634146341463413,False,-0.4161,4.8312,1,1,1,100.0,34.60144927536232,34.60144927536232,7.015471167369911,0.9845288326300898,历史1/1次成功; 当前距低点0.98%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
15,75.11931568671775,70.85585808730809,688259,创耀科技,confirmed_rebound,2023-09-15,80.77,2023-09-15,80.0,0.9624999999999949,8.337500000000002,27.391541114539848,False,-8.101,15.491,3,3,3,100.0,16.776118748968262,19.50136612021858,7.037500000000005,0.9624999999999949,历史3/3次成功; 当前距低点0.96%; 最新日涨幅-8.10%; 状态confirmed_rebound; 底部未确认
16,73.56379468376646,68.94392943319771,002767,先锋电子,bottom_area,2023-09-15,14.41,2023-09-15,14.32,0.6284916201117309,4.678770949720669,28.5785536159601,False,-3.6765,10.1408,2,2,2,100.0,8.854249070174514,9.063444108761324,7.37150837988827,0.6284916201117309,历史2/2次成功; 当前距低点0.63%; 最新日涨幅-3.68%; 状态bottom_area; 底部未确认
17,67.97174996298678,68.5319239500568,300749,顶固集创,confirmed_rebound,2023-09-15,9.2,2023-09-11,8.81,4.426787741203164,8.626560726447217,28.663967611336027,True,-1.2876,4.5796,1,1,1,100.0,20.833333333333336,20.833333333333336,3.5732122587968367,4.426787741203164,历史1/1次成功; 当前距低点4.43%; 最新日涨幅-1.29%; 状态confirmed_rebound; 底部已确认
18,56.37156160692537,52.73516840173661,002861,瀛通通讯,bottom_area,2023-09-15,11.3,2023-09-15,11.24,0.533807829181499,3.113879003558716,28.407643312101904,False,-2.5862,8.983,1,2,1,50.0,18.668012108980825,18.668012108980825,7.466192170818502,0.533807829181499,历史1/2次成功; 当前距低点0.53%; 最新日涨幅-2.59%; 状态bottom_area; 底部未确认
