rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.884337857325,80.73829688700407,603079,圣达生物,bottom_area,2024-11-28,15.02,2024-11-28,14.85,1.1447811447811442,2.8956228956228935,29.98585572842999,False,-1.7016,7.0124,2,2,2,100.0,28.539773640349868,34.84698914116485,13.855218855218855,1.1447811447811442,历史2/2次成功; 当前距低点1.14%; 最新日涨幅-1.70%; 状态bottom_area; 底部未确认
2,89.91586639031739,80.57243967828418,002757,南兴股份,bottom_area,2024-11-28,15.16,2024-11-27,14.92,1.6085790884718514,5.093833780160857,27.041564792176036,False,-2.7582,9.1393,1,1,1,100.0,50.75376884422111,50.75376884422111,13.391420911528149,1.6085790884718514,历史1/1次成功; 当前距低点1.61%; 最新日涨幅-2.76%; 状态bottom_area; 底部未确认
3,89.81842052932757,79.76708333333332,002611,东方精工,bottom_area,2024-11-28,11.65,2024-11-28,11.52,1.128472222222229,14.409722222222223,32.788798133022176,False,-7.6862,35.5576,1,1,1,100.0,145.12534818941506,145.12534818941506,13.87152777777777,1.128472222222229,历史1/1次成功; 当前距低点1.13%; 最新日涨幅-7.69%; 状态bottom_area; 底部未确认
4,83.78575197066004,74.82135026737967,300694,蠡湖股份,bottom_area,2024-11-28,16.38,2024-11-27,16.15,1.4241486068111482,13.80804953560372,27.41573033707866,True,-6.6667,19.3571,1,1,1,100.0,17.840909090909072,17.840909090909072,13.57585139318885,1.4241486068111482,历史1/1次成功; 当前距低点1.42%; 最新日涨幅-6.67%; 状态bottom_area; 底部已确认
5,83.49899613127312,77.18667943664057,002657,中科金财,bottom_area,2024-11-28,20.17,2024-11-27,19.53,3.2770097286226347,9.370199692780329,28.670562454346232,True,-3.7232,16.5765,2,2,2,100.0,36.60355708548481,56.540447504302946,11.722990271377364,3.2770097286226347,历史2/2次成功; 当前距低点3.28%; 最新日涨幅-3.72%; 状态bottom_area; 底部已确认
6,80.65985,70.13900000000001,002469,三维化学,bottom_area,2024-11-28,9.54,2024-11-28,9.54,0.0,6.708595387840677,28.43210802700676,False,-10.0,38.525,1,1,1,100.0,36.5,36.5,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
7,79.72375435766044,72.14239067937662,603004,鼎龙科技,bottom_area,2024-11-28,22.5,2024-11-28,22.03,2.1334543803903716,4.221516114389468,28.543626337982474,False,-0.8811,37.1752,2,3,2,66.66666666666666,52.20363732099522,55.7168784029038,12.86654561960963,2.1334543803903716,历史2/3次成功; 当前距低点2.13%; 最新日涨幅-0.88%; 状态bottom_area; 底部未确认
8,79.2699117915185,74.24771267792121,000782,恒申新材,bottom_area,2024-11-28,4.96,2024-11-27,4.77,3.983228511530407,5.241090146750524,27.945619335347438,False,0.202,2.9453,1,1,1,100.0,22.631578947368432,22.631578947368432,11.016771488469592,3.983228511530407,历史1/1次成功; 当前距低点3.98%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
9,76.79194970744301,72.47530397364017,688280,精进电动,bottom_area,2024-11-28,5.23,2024-11-27,5.01,4.3912175648702725,6.387225548902202,27.28592162554427,False,-0.5703,0.8977,2,2,2,100.0,23.910107642711743,32.37518910741301,10.608782435129726,4.3912175648702725,历史2/2次成功; 当前距低点4.39%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
10,76.53973959508505,71.59799475907715,601019,山东出版,bottom_area,2024-11-28,10.62,2024-11-25,10.22,3.913894324853215,7.0450097847358,28.028169014084497,True,-1.3928,0.2791,1,1,1,100.0,20.815450643776817,20.815450643776817,11.086105675146785,3.913894324853215,历史1/1次成功; 当前距低点3.91%; 最新日涨幅-1.39%; 状态bottom_area; 底部已确认
11,76.33501853464696,67.26386988470288,002761,浙江建投,bottom_area,2024-11-28,9.94,2024-11-27,9.87,0.7092198581560313,4.154002026342454,28.890489913544677,False,-2.1654,5.5864,4,6,4,66.66666666666666,29.485077928128906,43.73730534867976,14.290780141843967,0.7092198581560313,历史4/6次成功; 当前距低点0.71%; 最新日涨幅-2.17%; 状态bottom_area; 底部未确认
