rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.45828420996118,81.1555399346034,002045,国光电器,bottom_area,2023-08-01,13.78,2023-07-28,13.31,3.531179564237407,6.386175807663408,27.937195452084456,False,-1.2186,2.1073,4,4,4,100.0,26.70230828529398,33.77563329312426,6.468820435762593,3.531179564237407,历史4/4次成功; 当前距低点3.53%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
2,83.2884262335873,79.30903610896358,300342,天银机电,bottom_area,2023-08-01,11.38,2023-07-28,11.11,2.4302430243024427,4.230423042304237,28.368794326241137,False,-0.8711,3.7137,3,3,3,100.0,19.9461838944793,26.68539325842696,7.569756975697558,2.4302430243024427,历史3/3次成功; 当前距低点2.43%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
3,80.81238152346262,75.04449857512647,688287,退市观典,bottom_area,2023-08-01,10.89,2023-08-01,10.77,1.114206128133714,3.899721448467966,28.00802139037434,False,-1.8034,0.9843,1,1,1,100.0,14.219830899308223,14.219830899308223,8.885793871866285,1.114206128133714,历史1/1次成功; 当前距低点1.11%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
4,80.80174179520805,78.68134100210844,688095,福昕软件,bottom_area,2023-08-01,100.04,2023-08-01,96.56,3.6039768019884053,5.903065451532728,28.474074074074075,False,0.6236,3.5586,2,2,2,100.0,25.152731777645194,31.679509356817103,6.396023198011595,3.6039768019884053,历史2/2次成功; 当前距低点3.60%; 最新日涨幅0.62%; 状态bottom_area; 底部未确认
5,78.17061505792512,71.37270186862649,300515,三德科技,bottom_area,2023-08-01,13.25,2023-07-28,13.22,0.22692889561270316,2.7987897125567263,27.162534435261698,False,-1.2668,1.3488,1,1,1,100.0,23.441396508728182,23.441396508728182,9.773071104387297,0.22692889561270316,历史1/1次成功; 当前距低点0.23%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
6,76.56341326891523,75.14461777801621,301386,未来电器,bottom_area,2023-08-01,27.7,2023-08-01,26.63,4.018024784078109,4.018024784078109,28.70147255689425,False,2.101,18.8205,1,1,1,100.0,27.880184331797242,27.880184331797242,5.981975215921892,4.018024784078109,历史1/1次成功; 当前距低点4.02%; 最新日涨幅2.10%; 状态bottom_area; 底部未确认
7,75.98936786121632,73.6705728094966,605118,力鼎光电,bottom_area,2023-08-01,14.71,2023-07-28,14.23,3.373155305692203,3.5839775122979605,30.210887690044142,False,1.1692,0.8304,1,1,1,100.0,12.050359712230225,12.050359712230225,6.626844694307799,3.373155305692203,历史1/1次成功; 当前距低点3.37%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
8,75.63286094103438,72.23201665552872,300633,开立医疗,bottom_area,2023-08-01,45.24,2023-07-31,44.1,2.5850340136054433,9.614512471655333,29.575215586074734,False,-0.833,1.2986,1,1,1,100.0,17.12846347607052,17.12846347607052,7.414965986394558,2.5850340136054433,历史1/1次成功; 当前距低点2.59%; 最新日涨幅-0.83%; 状态bottom_area; 底部未确认
9,75.35587937609614,71.74254615341451,600990,四创电子,bottom_area,2023-08-01,23.27,2023-07-24,22.72,2.420774647887327,3.3890845070422517,29.199127454035533,False,-0.598,0.5328,1,1,1,100.0,12.483399734395755,12.483399734395755,7.5792253521126725,2.420774647887327,历史1/1次成功; 当前距低点2.42%; 最新日涨幅-0.60%; 状态bottom_area; 底部未确认
10,74.6115041752716,72.09650965250964,002219,新里程,bottom_area,2023-08-01,3.87,2023-07-28,3.75,3.200000000000003,6.400000000000006,27.884615384615387,False,-1.5267,0.7935,1,1,1,100.0,23.938223938223942,23.938223938223942,6.799999999999998,3.200000000000003,历史1/1次成功; 当前距低点3.20%; 最新日涨幅-1.53%; 状态bottom_area; 底部未确认
11,74.22832968600491,72.34712853100667,002755,奥赛康,bottom_area,2023-08-01,8.23,2023-07-17,7.94,3.6523929471032752,6.171284634760696,28.853046594982075,False,-0.3632,0.2494,1,1,1,100.0,30.831099195710454,30.831099195710454,6.347607052896725,3.6523929471032752,历史1/1次成功; 当前距低点3.65%; 最新日涨幅-0.36%; 状态bottom_area; 底部未确认
