rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.41646267225457,80.32902123365473,300769,德方纳米,bottom_area,2022-11-30,226.19,2022-11-28,221.67,2.0390670816980245,4.434519781657425,31.346010901883055,False,0.0841,1.3831,2,2,2,100.0,14.828463332936709,20.592193808882907,5.9609329183019755,2.0390670816980245,历史2/2次成功; 当前距低点2.04%; 最新日涨幅0.08%; 状态bottom_area; 底部未确认
2,73.66642260678131,73.76532583695376,002474,榕基软件,bottom_area,2022-11-30,8.95,2022-11-28,8.6,4.069767441860462,5.116279069767436,28.33333333333334,False,1.2443,17.5961,1,1,1,100.0,21.0989010989011,21.0989010989011,3.9302325581395383,4.069767441860462,历史1/1次成功; 当前距低点4.07%; 最新日涨幅1.24%; 状态bottom_area; 底部未确认
3,63.06083092573427,62.58008326620581,000681,视觉中国,bottom_area,2022-11-30,12.08,2022-11-28,11.66,3.602058319039451,5.4030874785591685,28.641370869033047,False,-0.9024,5.2692,2,3,2,66.66666666666666,16.591986919081148,20.93690248565965,4.39794168096055,3.602058319039451,历史2/3次成功; 当前距低点3.60%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
