rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.16581162604253,90.7774070192104,300437,清水源,bottom_area,2025-12-12,18.43,2025-12-11,18.17,1.430930104567958,8.860759493670882,29.299610894941626,True,0.163,22.1289,9,9,9,100.0,21.021116438845855,30.330330330330323,8.569069895432042,1.430930104567958,历史9/9次成功; 当前距低点1.43%; 最新日涨幅0.16%; 状态bottom_area; 底部已确认
2,90.99026428305265,84.02137808330052,300598,诚迈科技,bottom_area,2025-12-12,45.55,2025-12-11,45.18,0.8189464364763113,2.9880478087649434,29.40625,False,0.4632,2.0024,5,5,5,100.0,26.22890300250812,45.24950099800398,9.181053563523689,0.8189464364763113,历史5/5次成功; 当前距低点0.82%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
3,90.3512742219173,83.48922681643897,605228,神通科技,bottom_area,2025-12-12,14.15,2025-12-12,14.03,0.8553100498930934,1.7818959372772631,27.680412371134018,False,0.2835,0.5414,5,5,5,100.0,23.813622205350633,47.56554307116105,9.144689950106907,0.8553100498930934,历史5/5次成功; 当前距低点0.86%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
4,88.6196248350369,83.57713753697287,603178,圣龙股份,bottom_area,2025-12-12,18.0,2025-12-05,17.66,1.925254813137032,4.0203850509626315,28.182187881252542,False,0.6711,0.7514,6,7,6,85.71428571428571,28.51538369929118,47.51869476546566,8.07474518686297,1.925254813137032,历史6/7次成功; 当前距低点1.93%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
5,88.44190058413888,82.13239230138359,300358,楚天科技,bottom_area,2025-12-12,9.06,2025-12-05,8.96,1.1160714285714244,4.575892857142839,27.74193548387096,False,0.2212,2.4308,3,4,3,75.0,34.04319977702382,38.205499276411004,8.883928571428577,1.1160714285714244,历史3/4次成功; 当前距低点1.12%; 最新日涨幅0.22%; 状态bottom_area; 底部未确认
6,87.962248033613,82.23548757366389,688365,光云科技,bottom_area,2025-12-12,16.6,2025-12-12,16.36,1.466992665036687,2.4449877750611377,28.83862548934319,False,0.1206,3.4354,1,1,1,100.0,34.732423924449115,34.732423924449115,8.533007334963314,1.466992665036687,历史1/1次成功; 当前距低点1.47%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
7,86.29858637074437,81.57487427466152,002418,康盛股份,bottom_area,2025-12-12,4.49,2025-12-05,4.4,2.045454545454542,7.954545454545446,27.031509121061358,True,0.0,2.8961,1,1,1,100.0,29.078014184397176,29.078014184397176,7.954545454545459,2.045454545454542,历史1/1次成功; 当前距低点2.05%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
8,86.18228339098017,79.1530224427097,002176,江特电机,bottom_area,2025-12-12,9.38,2025-12-12,9.33,0.535905680600222,3.9657020364415776,27.5058275058275,False,-1.1591,3.6745,5,5,5,100.0,19.058534378915056,39.01808785529715,9.464094319399779,0.535905680600222,历史5/5次成功; 当前距低点0.54%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
9,85.53985310206002,80.63182874374509,002459,晶澳科技,bottom_area,2025-12-12,11.27,2025-12-12,11.06,1.8987341772151816,2.1699819168173615,27.712418300653596,False,1.5315,1.1059,5,6,5,83.33333333333334,17.51402867990521,26.683937823834192,8.101265822784818,1.8987341772151816,历史5/6次成功; 当前距低点1.90%; 最新日涨幅1.53%; 状态bottom_area; 底部未确认
10,84.23368588551847,76.67531886024423,301001,凯淳股份,bottom_area,2025-12-12,29.5,2025-12-12,29.48,0.06784260515603655,2.578018995929437,28.86100386100386,False,-1.9608,5.3688,1,1,1,100.0,58.89483065953654,58.89483065953654,9.932157394843964,0.06784260515603655,历史1/1次成功; 当前距低点0.07%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
11,82.25855977341512,74.78050888492282,603030,全筑股份,bottom_area,2025-12-12,2.91,2025-12-12,2.91,0.0,2.0618556701030943,27.611940298507452,False,-1.6892,2.106,6,7,6,85.71428571428571,32.19167603261121,51.87969924812029,10.0,0.0,历史6/7次成功; 当前距低点0.00%; 最新日涨幅-1.69%; 状态bottom_area; 底部未确认
