rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.07724345320139,76.70826086956524,301259,艾布鲁,bottom_area,2025-09-02,45.11,2025-09-02,44.85,0.5797101449275318,6.6666666666666705,27.591217307071354,False,-3.1974,8.8987,2,2,2,100.0,52.009763002213916,74.57627118644068,19.42028985507247,0.5797101449275318,历史2/2次成功; 当前距低点0.58%; 最新日涨幅-3.20%; 状态bottom_area; 底部未确认
2,90.71506041255896,76.71356475300402,002097,山河智能,bottom_area,2025-09-02,15.1,2025-08-28,14.98,0.8010680907877117,7.009345794392528,28.59866539561487,True,-2.4548,6.3952,1,1,1,100.0,50.210970464135016,50.210970464135016,19.198931909212288,0.8010680907877117,历史1/1次成功; 当前距低点0.80%; 最新日涨幅-2.45%; 状态bottom_area; 底部已确认
3,88.33604808736908,75.65303866424556,600658,电子城,bottom_area,2025-09-02,6.12,2025-09-02,6.03,1.4925373134328335,6.633499170812594,32.247191011235955,False,-4.6729,6.591,1,1,1,100.0,32.344213649851625,32.344213649851625,18.507462686567166,1.4925373134328335,历史1/1次成功; 当前距低点1.49%; 最新日涨幅-4.67%; 状态bottom_area; 底部未确认
4,88.1049103381954,75.84971604303288,300510,金冠股份,bottom_area,2025-09-02,4.58,2025-09-02,4.5,1.7777777777777795,3.555555555555559,28.90995260663507,False,-1.9272,6.0616,3,4,3,75.0,30.849727829925854,40.000000000000014,18.22222222222222,1.7777777777777795,历史3/4次成功; 当前距低点1.78%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
5,81.87309783402823,69.71855811584669,300665,飞鹿股份,bottom_area,2025-09-02,9.43,2025-08-28,9.32,1.1802575107296076,6.115879828326183,27.470817120622566,False,-1.3598,8.808,3,5,3,60.0,23.062071184463395,23.50486787204451,18.819742489270393,1.1802575107296076,历史3/5次成功; 当前距低点1.18%; 最新日涨幅-1.36%; 状态bottom_area; 底部未确认
6,73.75389135113728,63.37410041841005,002826,易明医药,bottom_area,2025-09-02,19.44,2025-09-02,19.12,1.673640167364018,5.1255230125523035,28.73648900484531,False,-2.3116,5.1727,1,2,1,50.0,50.0,50.0,18.326359832635983,1.673640167364018,历史1/2次成功; 当前距低点1.67%; 最新日涨幅-2.31%; 状态bottom_area; 底部未确认
7,72.38841005474507,65.71051244821876,002795,永和智控,bottom_area,2025-09-02,4.92,2025-08-28,4.7,4.680851063829781,5.957446808510643,31.884057971014496,False,-0.6061,4.2988,4,6,4,66.66666666666666,29.97949573701075,32.328767123287676,15.31914893617022,4.680851063829781,历史4/6次成功; 当前距低点4.68%; 最新日涨幅-0.61%; 状态bottom_area; 底部未确认
8,68.17557371746109,58.38912629227699,603367,辰欣药业,bottom_area,2025-09-02,24.45,2025-09-02,24.09,1.4943960149439577,6.351183063511836,31.28921848260126,False,-3.6643,3.4335,1,2,1,50.0,31.216931216931226,31.216931216931226,18.505603985056045,1.4943960149439577,历史1/2次成功; 当前距低点1.49%; 最新日涨幅-3.66%; 状态bottom_area; 底部未确认
9,66.29925725402165,56.26243985793623,688115,思林杰,bottom_area,2025-09-02,56.0,2025-09-02,55.45,0.9918845807033313,5.320108205590614,27.144921823676256,False,-3.4483,3.6324,3,7,3,42.857142857142854,35.604882422103486,53.58819584171696,19.00811541929667,0.9918845807033313,历史3/7次成功; 当前距低点0.99%; 最新日涨幅-3.45%; 状态bottom_area; 底部未确认
10,66.27942851775263,57.83762206309782,002041,登海种业,bottom_area,2025-09-02,9.77,2025-06-23,9.53,2.518363064008397,7.345225603357829,29.719764011799416,True,-0.1022,1.28,1,2,1,50.0,21.395106715252467,21.395106715252467,17.481636935991602,2.518363064008397,历史1/2次成功; 当前距低点2.52%; 最新日涨幅-0.10%; 状态bottom_area; 底部已确认
11,65.84464688183672,55.796269021801834,603158,腾龙股份,bottom_area,2025-09-02,11.05,2025-09-02,10.95,0.913242009132433,5.7534246575342545,32.69821757836509,False,-6.9865,18.1162,2,5,2,40.0,38.32505807862251,41.37931034482758,19.086757990867568,0.913242009132433,历史2/5次成功; 当前距低点0.91%; 最新日涨幅-6.99%; 状态bottom_area; 底部未确认
12,65.7154152207965,57.28481918918116,300902,国安达,bottom_area,2025-09-02,23.32,2025-09-02,22.76,2.460456942003509,4.086115992970122,31.072077528770443,False,-1.2283,8.0336,1,2,1,50.0,26.906779661016937,26.906779661016937,17.539543057996493,2.460456942003509,历史1/2次成功; 当前距低点2.46%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
13,62.64135328609524,54.19630635245905,605169,洪通燃气,bottom_area,2025-09-02,14.94,2025-09-02,14.64,2.049180327868845,3.2786885245901543,29.817833173537867,False,-1.1251,1.9301,1,4,1,25.0,26.09375,26.09375,17.950819672131157,2.049180327868845,历史1/4次成功; 当前距低点2.05%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
14,60.780454362158494,54.01832263764086,603221,爱丽家居,bottom_area,2025-09-02,12.35,2025-09-02,11.93,3.5205364626990776,5.616093880972338,32.2159090909091,False,1.0638,3.8379,1,4,1,25.0,20.699708454810505,20.699708454810505,16.479463537300923,3.5205364626990776,历史1/4次成功; 当前距低点3.52%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
15,60.39784080227871,53.7830814894765,603080,新疆火炬,bottom_area,2025-09-02,21.14,2025-08-28,20.4,3.627450980392167,5.490196078431378,29.655172413793107,False,-1.3072,3.3165,1,2,1,50.0,22.385321100917427,22.385321100917427,16.372549019607835,3.627450980392167,历史1/2次成功; 当前距低点3.63%; 最新日涨幅-1.31%; 状态bottom_area; 底部未确认
