rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.71617601240862,79.51240270825113,002240,盛新锂能,bottom_area,2022-01-21,44.91,2022-01-20,44.44,1.0576057605760552,5.355535553555361,27.027914614121514,False,0.38,2.5146,1,1,1,100.0,15.073891625615756,15.073891625615756,8.942394239423946,1.0576057605760552,历史1/1次成功; 当前距低点1.06%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
2,84.65739951690531,78.71197102582819,300421,力星股份,bottom_area,2022-01-21,15.45,2022-01-21,15.27,1.1787819253438094,5.1080550098231905,32.73127753303965,False,-3.074,3.8049,2,2,2,100.0,28.27738610544126,43.59974009096816,8.82121807465619,1.1787819253438094,历史2/2次成功; 当前距低点1.18%; 最新日涨幅-3.07%; 状态bottom_area; 底部未确认
3,83.50866821656614,78.95778711484593,600418,江淮汽车,bottom_area,2022-01-21,13.88,2022-01-21,13.6,2.058823529411773,2.794117647058829,27.38921516284037,False,0.5797,1.5599,1,1,1,100.0,24.365079365079367,24.365079365079367,7.9411764705882275,2.058823529411773,历史1/1次成功; 当前距低点2.06%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
4,82.65496307258614,79.85119906062594,601778,晶科科技,bottom_area,2022-01-21,7.12,2022-01-21,6.9,3.1884057971014457,4.057971014492744,29.230769230769226,False,0.2817,1.3534,2,2,2,100.0,26.348195043103452,42.344827586206904,6.811594202898555,3.1884057971014457,历史2/2次成功; 当前距低点3.19%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
5,80.73039964686306,75.36367915842959,600032,浙江新能,bottom_area,2022-01-21,13.13,2022-01-20,12.95,1.3899613899614016,5.328185328185339,28.92425905598244,False,-0.5303,3.272,1,1,1,100.0,19.31608133086876,19.31608133086876,8.610038610038599,1.3899613899614016,历史1/1次成功; 当前距低点1.39%; 最新日涨幅-0.53%; 状态bottom_area; 底部未确认
6,80.4934984389896,73.8775944577028,300484,蓝海华腾,bottom_area,2022-01-21,14.07,2022-01-21,14.0,0.500000000000002,2.7857142857142896,31.773879142300192,False,-1.5395,1.5819,2,2,2,100.0,23.589217514531214,28.708133971291865,9.499999999999998,0.500000000000002,历史2/2次成功; 当前距低点0.50%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
7,80.30012733023126,77.36764404777529,002256,兆新股份,bottom_area,2022-01-21,3.72,2022-01-21,3.61,3.0470914127423914,6.648199445983385,29.2156862745098,False,1.087,8.3352,1,1,1,100.0,27.930174563591027,27.930174563591027,6.952908587257609,3.0470914127423914,历史1/1次成功; 当前距低点3.05%; 最新日涨幅1.09%; 状态bottom_area; 底部未确认
8,80.13398769254658,73.95498141263938,601798,蓝科高新,bottom_area,2022-01-21,7.66,2022-01-21,7.6,0.789473684210533,3.157894736842108,28.30188679245283,False,0.3932,2.228,1,1,1,100.0,21.74721189591078,21.74721189591078,9.210526315789467,0.789473684210533,历史1/1次成功; 当前距低点0.79%; 最新日涨幅0.39%; 状态bottom_area; 底部未确认
9,80.01159910961445,74.1567738162284,300567,精测电子,bottom_area,2022-01-21,56.87,2022-01-21,56.3,1.0124333925399651,5.27531083481351,27.82051282051282,False,-3.6755,2.2546,1,1,1,100.0,18.414634146341452,18.414634146341452,8.987566607460035,1.0124333925399651,历史1/1次成功; 当前距低点1.01%; 最新日涨幅-3.68%; 状态bottom_area; 底部未确认
10,76.84224172300272,70.02549950577122,688289,圣湘生物,bottom_area,2022-01-21,55.4,2022-01-21,55.33,0.12651364540032584,5.548527019699983,29.50694355968913,False,-6.5452,3.439,1,1,1,100.0,25.182530200451346,25.182530200451346,9.873486354599676,0.12651364540032584,历史1/1次成功; 当前距低点0.13%; 最新日涨幅-6.55%; 状态bottom_area; 底部未确认
11,76.21781297708877,70.10099106275382,603230,内蒙新华,bottom_area,2022-01-21,16.48,2022-01-21,16.38,0.6105006105006192,5.982905982905986,28.440366972477072,False,-4.9596,21.8448,1,1,1,100.0,31.521142229544196,31.521142229544196,9.389499389499381,0.6105006105006192,历史1/1次成功; 当前距低点0.61%; 最新日涨幅-4.96%; 状态bottom_area; 底部未确认
