rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.98489851664088,87.80929943546529,002765,蓝黛科技,bottom_area,2023-08-28,6.37,2023-08-25,6.28,1.433121019108278,7.802547770700626,29.675251959686445,True,0.9509,2.7624,3,3,3,100.0,21.75707182275358,28.213879408418663,8.566878980891723,1.433121019108278,历史3/3次成功; 当前距低点1.43%; 最新日涨幅0.95%; 状态bottom_area; 底部已确认
2,93.85959854006741,87.03359040004135,603236,移远通信,bottom_area,2023-08-28,43.81,2023-08-25,43.36,1.0378228782287888,6.134686346863477,30.30059475968494,False,0.5047,2.389,3,3,3,100.0,21.93455141076877,39.389337383102855,8.962177121771212,1.0378228782287888,历史3/3次成功; 当前距低点1.04%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
3,93.15538083171514,86.75572375753356,603212,赛伍技术,bottom_area,2023-08-28,16.01,2023-08-25,15.81,1.2650221378874198,7.5268817204301035,30.198675496688736,True,0.4391,1.6737,2,2,2,100.0,30.698786193101522,32.01038575667657,8.734977862112581,1.2650221378874198,历史2/2次成功; 当前距低点1.27%; 最新日涨幅0.44%; 状态bottom_area; 底部已确认
4,91.4477284695063,85.6482295199492,300505,川金诺,bottom_area,2023-08-28,15.61,2023-08-25,15.37,1.5614834092387782,7.937540663630453,28.378378378378383,True,1.2322,2.3561,2,2,2,100.0,28.378557489320507,39.35656836461126,8.438516590761221,1.5614834092387782,历史2/2次成功; 当前距低点1.56%; 最新日涨幅1.23%; 状态bottom_area; 底部已确认
5,90.8337674516625,85.89795243489218,300474,景嘉微,bottom_area,2023-08-28,68.62,2023-08-25,67.23,2.067529376766325,9.83192027368734,29.350567465321557,True,1.1796,2.406,2,2,2,100.0,35.92429792429792,59.857142857142854,7.932470623233676,2.067529376766325,历史2/2次成功; 当前距低点2.07%; 最新日涨幅1.18%; 状态bottom_area; 底部已确认
6,90.78932118919138,84.96021244309559,002150,正泰电源,bottom_area,2023-08-28,13.38,2023-08-25,13.18,1.5174506828528156,6.752655538694998,31.354166666666668,False,0.9811,1.8708,1,1,1,100.0,164.87025948103792,164.87025948103792,8.482549317147186,1.5174506828528156,历史1/1次成功; 当前距低点1.52%; 最新日涨幅0.98%; 状态bottom_area; 底部未确认
7,90.28254635704953,84.26201281314927,002339,积成电子,bottom_area,2023-08-28,6.62,2023-08-25,6.53,1.3782542113323102,5.359877488514543,27.201783723522855,False,1.0687,1.9988,3,4,3,75.0,48.70662588702658,82.94930875576038,8.62174578866769,1.3782542113323102,历史3/4次成功; 当前距低点1.38%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
8,89.83993325397024,85.21302369738738,603005,晶方科技,bottom_area,2023-08-28,18.38,2023-08-25,17.98,2.224694104560615,7.063403781979975,30.256012412723045,True,1.6593,2.809,3,3,3,100.0,17.501754063363318,24.55991516436903,7.775305895439385,2.224694104560615,历史3/3次成功; 当前距低点2.22%; 最新日涨幅1.66%; 状态bottom_area; 底部已确认
9,89.24458152387598,83.5436908743538,300539,横河精密,bottom_area,2023-08-28,11.24,2023-08-25,11.07,1.5356820234869009,5.781391147244811,28.810289389067528,False,1.3526,1.6428,2,2,2,100.0,25.941106924214775,39.25845147219192,8.4643179765131,1.5356820234869009,历史2/2次成功; 当前距低点1.54%; 最新日涨幅1.35%; 状态bottom_area; 底部未确认
10,89.18879747779519,83.83422443334297,688148,芳源股份,bottom_area,2023-08-28,9.3,2023-08-23,9.14,1.7505470459518613,9.299781181619252,27.3449920508744,True,0.432,1.2798,2,2,2,100.0,20.943396226415096,26.66666666666668,8.24945295404814,1.7505470459518613,历史2/2次成功; 当前距低点1.75%; 最新日涨幅0.43%; 状态bottom_area; 底部已确认
11,89.06840424278703,82.82719975426167,000572,海马汽车,bottom_area,2023-08-28,4.26,2023-08-25,4.21,1.1876484560570029,6.650831353919245,31.096563011456634,False,0.4717,3.1939,2,2,2,100.0,17.82278620468623,22.92191435768261,8.812351543942999,1.1876484560570029,历史2/2次成功; 当前距低点1.19%; 最新日涨幅0.47%; 状态bottom_area; 底部未确认
