rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.98884196992894,81.86067879702922,688357,建龙微纳,bottom_area,2024-06-20,25.86,2024-06-06,25.4,1.8110236220472475,8.464566929133866,32.012847965738764,True,0.2326,0.4187,4,5,4,80.0,21.074261587618047,31.65083135391925,8.188976377952754,1.8110236220472475,历史4/5次成功; 当前距低点1.81%; 最新日涨幅0.23%; 状态bottom_area; 底部已确认
2,86.56469778564325,81.42775172928411,688105,诺唯赞,bottom_area,2024-06-20,20.48,2024-06-20,20.12,1.7892644135188838,3.876739562624242,30.977701543739272,False,0.54,0.8615,2,2,2,100.0,17.673519312404096,25.237580993520524,8.210735586481116,1.7892644135188838,历史2/2次成功; 当前距低点1.79%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
3,86.33406695754688,80.22933042960183,603155,新亚强,bottom_area,2024-06-20,10.54,2024-06-20,10.42,1.151631477927056,6.142034548944343,32.90405666452028,False,-4.2688,0.6732,3,3,3,100.0,19.435753759545772,25.624375624375624,8.848368522072944,1.151631477927056,历史3/3次成功; 当前距低点1.15%; 最新日涨幅-4.27%; 状态bottom_area; 底部未确认
4,84.68340285033034,76.98491168211848,002761,浙江建投,bottom_area,2024-06-20,8.04,2024-06-20,8.04,0.0,3.9800995024875663,30.08695652173914,False,-3.7126,2.5518,6,6,6,100.0,23.305976785583134,43.73730534867976,10.0,0.0,历史6/6次成功; 当前距低点0.00%; 最新日涨幅-3.71%; 状态bottom_area; 底部未确认
5,83.94116162689058,76.81061947744828,603326,我乐家居,bottom_area,2024-06-20,5.86,2024-06-20,5.84,0.34246575342466545,5.821917808219176,28.167281672816735,False,-5.0243,2.1449,4,4,4,100.0,14.30882470568014,20.141843971631218,9.657534246575334,0.34246575342466545,历史4/4次成功; 当前距低点0.34%; 最新日涨幅-5.02%; 状态bottom_area; 底部未确认
6,82.56486120514559,75.74428571428574,002687,乔治白,bottom_area,2024-06-20,4.22,2024-06-06,4.2,0.476190476190466,5.714285714285719,28.2051282051282,False,-1.171,1.2701,1,1,1,100.0,64.00000000000001,64.00000000000001,9.523809523809534,0.476190476190466,历史1/1次成功; 当前距低点0.48%; 最新日涨幅-1.17%; 状态bottom_area; 底部未确认
7,81.65230769230773,78.05000000000003,002491,通鼎互联,bottom_area,2024-06-20,3.51,2024-06-06,3.42,2.6315789473684172,8.479532163742691,29.48453608247422,True,-3.5714,0.6049,1,1,1,100.0,52.39520958083833,52.39520958083833,7.368421052631584,2.6315789473684172,历史1/1次成功; 当前距低点2.63%; 最新日涨幅-3.57%; 状态bottom_area; 底部已确认
8,81.37759389842044,75.03967621396409,002790,瑞尔特,bottom_area,2024-06-20,9.46,2024-06-20,9.39,0.7454739084132085,3.833865814696479,32.29992790194664,False,-1.6632,1.4873,1,1,1,100.0,49.512670565302145,49.512670565302145,9.254526091586794,0.7454739084132085,历史1/1次成功; 当前距低点0.75%; 最新日涨幅-1.66%; 状态bottom_area; 底部未确认
9,81.13541543903571,73.9711893081422,300722,新余国科,bottom_area,2024-06-20,20.01,2024-06-20,19.98,0.15015015015015584,8.058058058058055,32.22523744911804,False,-9.5389,6.6184,6,7,6,85.71428571428571,27.638034987244176,45.90377113133938,9.849849849849845,0.15015015015015584,历史6/7次成功; 当前距低点0.15%; 最新日涨幅-9.54%; 状态bottom_area; 底部未确认
10,80.62220472440946,73.29291338582678,605198,安德利,bottom_area,2024-06-20,27.67,2024-06-20,27.67,0.0,3.5056017347307513,31.475978207033183,False,-2.5361,0.3445,1,1,1,100.0,43.241469816272954,43.241469816272954,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.54%; 状态bottom_area; 底部未确认
11,80.31039830739516,73.20207798481712,603217,元利科技,bottom_area,2024-06-20,14.51,2024-06-20,14.49,0.13802622498274378,2.553485162180809,29.523346303501942,False,-2.1578,0.6422,2,2,2,100.0,15.520310633213857,19.81481481481482,9.861973775017256,0.13802622498274378,历史2/2次成功; 当前距低点0.14%; 最新日涨幅-2.16%; 状态bottom_area; 底部未确认
