rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.67961126596877,79.24113880955441,001212,中旗新材,bottom_area,2021-10-08,32.21,2021-09-30,31.58,1.994933502216601,2.75490816972769,29.11335578002245,False,1.4808,3.0202,1,1,1,100.0,25.105307497893843,25.105307497893843,18.0050664977834,1.994933502216601,历史1/1次成功; 当前距低点1.99%; 最新日涨幅1.48%; 状态bottom_area; 底部未确认
2,90.151888428929,78.82739012874332,000426,兴业银锡,bottom_area,2021-10-08,7.81,2021-09-29,7.61,2.6281208935610945,4.862023653088043,30.628988149498632,False,0.0,1.7917,1,1,1,100.0,30.64250411861613,30.64250411861613,17.371879106438907,2.6281208935610945,历史1/1次成功; 当前距低点2.63%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,90.12195991390908,79.1314769975787,688355,明志科技,bottom_area,2021-10-08,25.2,2021-09-29,24.5,2.857142857142854,4.163265306122447,29.658340511053687,False,2.7313,3.3893,1,1,1,100.0,35.08474576271185,35.08474576271185,17.14285714285715,2.857142857142854,历史1/1次成功; 当前距低点2.86%; 最新日涨幅2.73%; 状态bottom_area; 底部未确认
4,86.16879661008883,75.0605456467619,300447,全信股份,bottom_area,2021-10-08,16.92,2021-09-29,16.52,2.421307506053282,9.564164648910422,28.17391304347826,False,-1.2835,2.2315,1,1,1,100.0,30.328638497652584,30.328638497652584,17.57869249394672,2.421307506053282,历史1/1次成功; 当前距低点2.42%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
5,86.02905466859436,78.04589452840733,601127,赛力斯,bottom_area,2021-10-08,59.44,2021-09-29,56.8,4.647887323943664,7.323943661971838,30.630190522716173,True,0.101,1.2997,2,2,2,100.0,25.33912702687572,27.74461028192372,15.352112676056336,4.647887323943664,历史2/2次成功; 当前距低点4.65%; 最新日涨幅0.10%; 状态bottom_area; 底部已确认
6,83.5809209452425,76.09492802584592,002805,丰元股份,bottom_area,2021-10-08,24.03,2021-09-27,22.92,4.842931937172772,11.692844677137868,27.924528301886788,True,1.3924,3.9811,1,1,1,100.0,33.907595927956166,33.907595927956166,15.157068062827229,4.842931937172772,历史1/1次成功; 当前距低点4.84%; 最新日涨幅1.39%; 状态bottom_area; 底部已确认
7,81.77377802878543,73.5490697491843,688329,艾隆科技,bottom_area,2021-10-08,35.43,2021-09-29,34.01,4.175242575713031,7.233166715671864,30.4214402618658,False,0.0,3.847,1,1,1,100.0,21.229154955967783,21.229154955967783,15.82475742428697,4.175242575713031,历史1/1次成功; 当前距低点4.18%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
8,81.40507604080544,72.55419395240654,300631,久吾高科,bottom_area,2021-10-08,37.79,2021-09-29,36.45,3.6762688614540364,9.602194787379972,31.459195186160205,True,-2.8535,4.8268,1,1,1,100.0,23.04347826086956,23.04347826086956,16.323731138545966,3.6762688614540364,历史1/1次成功; 当前距低点3.68%; 最新日涨幅-2.85%; 状态bottom_area; 底部已确认
9,78.55561466150307,70.49035648270399,000902,新洋丰,bottom_area,2021-10-08,17.48,2021-10-08,16.8,4.047619047619046,7.08333333333332,32.0388349514563,False,-1.2429,1.9128,1,1,1,100.0,25.693160813308673,25.693160813308673,15.952380952380956,4.047619047619046,历史1/1次成功; 当前距低点4.05%; 最新日涨幅-1.24%; 状态bottom_area; 底部未确认
10,78.26080235332341,70.88505643946431,000792,盐湖股份,bottom_area,2021-10-08,29.12,2021-09-29,27.85,4.560143626570913,8.797127468581685,28.917815211842772,True,-2.7063,1.1289,1,1,1,100.0,24.904214559386965,24.904214559386965,15.439856373429087,4.560143626570913,历史1/1次成功; 当前距低点4.56%; 最新日涨幅-2.71%; 状态bottom_area; 底部已确认
11,65.02764414490902,57.404026408450726,300727,润禾材料,bottom_area,2021-10-08,27.83,2021-09-29,26.98,3.150481838398806,7.375833951074864,30.76725686425455,True,-2.2823,2.9241,1,2,1,50.0,26.812499999999993,26.812499999999993,16.849518161601196,3.150481838398806,历史1/2次成功; 当前距低点3.15%; 最新日涨幅-2.28%; 状态bottom_area; 底部已确认
