rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.70378093211747,87.23962704375248,001239,永达股份,bottom_area,2024-08-13,14.43,2024-08-13,14.23,1.4054813773717447,2.178496134926203,30.888780961631856,False,0.1388,12.6848,3,3,3,100.0,27.54905690408631,62.04678362573098,6.5945186226282555,1.4054813773717447,历史3/3次成功; 当前距低点1.41%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
2,89.185166647511,85.30300928612216,600343,航天动力,bottom_area,2024-08-13,7.84,2024-08-13,7.71,1.686121919584953,3.24254215304799,31.16071428571428,False,-1.0101,3.807,4,4,4,100.0,26.383694961160476,55.72413793103447,6.313878080415048,1.686121919584953,历史4/4次成功; 当前距低点1.69%; 最新日涨幅-1.01%; 状态bottom_area; 底部未确认
3,85.83103443847222,82.82756750465842,002196,方正电机,bottom_area,2024-08-13,4.28,2024-08-13,4.19,2.1479713603818578,3.3412887828162217,28.49829351535836,False,0.7059,3.7238,3,3,3,100.0,12.929796808220722,18.661971830985923,5.852028639618142,2.1479713603818578,历史3/3次成功; 当前距低点2.15%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
4,85.71909466635347,82.23525607370156,001203,大中矿业,bottom_area,2024-08-13,8.29,2024-08-05,8.14,1.842751842751825,3.4398034398034314,30.00859845227859,False,0.1208,0.2961,2,2,2,100.0,22.670592877288865,29.46341463414634,6.157248157248175,1.842751842751825,历史2/2次成功; 当前距低点1.84%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
5,83.07702401628863,78.24673616282443,000983,山西焦煤,bottom_area,2024-08-13,7.97,2024-08-13,7.9,0.8860759493670809,2.658227848101254,27.188940092165893,False,-1.2392,0.5322,4,4,4,100.0,18.47843724398591,27.212389380530986,7.113924050632919,0.8860759493670809,历史4/4次成功; 当前距低点0.89%; 最新日涨幅-1.24%; 状态bottom_area; 底部未确认
6,82.95458465366134,81.45816793893133,002687,乔治白,bottom_area,2024-08-13,4.05,2024-07-25,3.93,3.053435114503808,5.852417302798981,32.82051282051282,False,0.2475,0.5541,1,1,1,100.0,64.00000000000001,64.00000000000001,4.946564885496192,3.053435114503808,历史1/1次成功; 当前距低点3.05%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
7,82.17128129679428,80.96484332601277,300424,航新科技,bottom_area,2024-08-13,13.1,2024-08-12,12.69,3.2308904649330192,5.752561071710011,27.2362385321101,False,1.3148,6.5197,2,2,2,100.0,32.85630960247343,52.29885057471265,4.769109535066981,3.2308904649330192,历史2/2次成功; 当前距低点3.23%; 最新日涨幅1.31%; 状态bottom_area; 底部未确认
8,81.9458066990438,78.93667699869101,002355,兴民智通,bottom_area,2024-08-13,4.47,2024-08-12,4.38,2.054794520547942,6.164383561643846,28.8961038961039,False,1.1312,3.3406,4,5,4,80.0,17.535529599679155,21.138211382113823,5.945205479452058,2.054794520547942,历史4/5次成功; 当前距低点2.05%; 最新日涨幅1.13%; 状态bottom_area; 底部未确认
9,78.90795306664216,77.6403554270174,002607,中公教育,bottom_area,2024-08-13,1.96,2024-08-13,1.9,3.157894736842108,5.263157894736848,28.838951310861425,False,0.0,13.2044,6,7,6,85.71428571428571,11.706980022366963,18.337408312958438,4.842105263157892,3.157894736842108,历史6/7次成功; 当前距低点3.16%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
10,77.84108676633231,78.34498586239395,002552,宝鼎科技,confirmed_rebound,2024-08-13,11.07,2024-07-25,10.61,4.335532516493882,10.084825636192276,30.197368421052634,True,0.8197,0.5556,1,1,1,100.0,52.23596574690771,52.23596574690771,3.6644674835061184,4.335532516493882,历史1/1次成功; 当前距低点4.34%; 最新日涨幅0.82%; 状态confirmed_rebound; 底部已确认
11,77.72037410394954,75.83002878356098,002563,森马服饰,bottom_area,2024-08-13,4.91,2024-07-30,4.78,2.719665271966525,7.531380753138063,29.080118694362017,True,-0.8081,0.4415,1,1,1,100.0,28.929384965831446,28.929384965831446,5.280334728033475,2.719665271966525,历史1/1次成功; 当前距低点2.72%; 最新日涨幅-0.81%; 状态bottom_area; 底部已确认
