rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.19860552513389,84.60583242497457,300651,金陵体育,bottom_area,2025-08-12,21.03,2025-08-08,20.77,1.2518054886856118,2.888781896966786,30.651085141903174,False,-1.2676,6.4754,5,5,5,100.0,17.311553436439517,25.720461095100855,6.748194511314389,1.2518054886856118,历史5/5次成功; 当前距低点1.25%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
2,87.69099657468794,83.20515351558674,001331,胜通能源,bottom_area,2025-08-12,11.96,2025-08-08,11.81,1.2701100762066075,2.4555461473327616,30.242173656231536,False,0.1675,14.852,2,2,2,100.0,20.865615534074305,23.35390946502057,6.729889923793393,1.2701100762066075,历史2/2次成功; 当前距低点1.27%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
3,86.79836136281023,83.79200576213248,001226,拓山重工,bottom_area,2025-08-12,36.3,2025-08-08,35.53,2.1671826625386883,3.405572755417959,31.699346405228763,False,-0.165,3.0706,4,4,4,100.0,24.15689372430483,41.451766953199616,5.832817337461312,2.1671826625386883,历史4/4次成功; 当前距低点2.17%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
4,81.33368794928779,79.28755743484034,002658,雪迪龙,bottom_area,2025-08-12,8.06,2025-08-01,7.85,2.6751592356688008,3.1847133757961785,31.50087260034905,False,-0.1239,2.5831,3,3,3,100.0,22.83290587185592,34.81481481481481,5.3248407643312,2.6751592356688008,历史3/3次成功; 当前距低点2.68%; 最新日涨幅-0.12%; 状态bottom_area; 底部未确认
5,80.76637424025294,78.0061187292862,605099,共创草坪,bottom_area,2025-08-12,30.77,2025-08-08,30.11,2.191962803055464,3.819329126536042,27.93202489229297,False,-0.2593,0.8159,2,2,2,100.0,26.687064087379913,44.31372549019606,5.808037196944536,2.191962803055464,历史2/2次成功; 当前距低点2.19%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
6,79.08541119383646,74.8490819494193,603262,技源集团,bottom_area,2025-08-12,30.22,2025-08-04,29.88,1.1378848728246314,3.078982597054892,28.823249166269648,False,-0.7879,7.0271,1,1,1,100.0,13.459459459459449,13.459459459459449,6.862115127175369,1.1378848728246314,历史1/1次成功; 当前距低点1.14%; 最新日涨幅-0.79%; 状态bottom_area; 底部未确认
7,77.86943176558944,75.73745508179137,603022,新通联,bottom_area,2025-08-12,10.43,2025-07-24,10.17,2.556538839724678,3.539823008849552,32.33532934131736,False,-0.572,2.4358,2,2,2,100.0,18.958944281524914,26.099706744868023,5.443461160275322,2.556538839724678,历史2/2次成功; 当前距低点2.56%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
8,76.77087574478914,76.22245941067247,002987,京北方,bottom_area,2025-08-12,20.57,2025-08-08,19.85,3.627204030226695,3.778337531486146,28.339350180505406,False,2.0844,5.4564,1,1,1,100.0,28.88432580424366,28.88432580424366,4.372795969773305,3.627204030226695,历史1/1次成功; 当前距低点3.63%; 最新日涨幅2.08%; 状态bottom_area; 底部未确认
9,76.37123202937542,76.19841089127151,603839,安正时尚,bottom_area,2025-08-12,7.76,2025-08-08,7.47,3.882195448460509,5.488621151271756,28.03468208092486,False,0.7792,4.2876,1,1,1,100.0,31.88073394495412,31.88073394495412,4.117804551539491,3.882195448460509,历史1/1次成功; 当前距低点3.88%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
10,76.13335341972606,74.43709003469306,605033,美邦股份,bottom_area,2025-08-12,21.45,2025-08-08,20.86,2.828379674017257,3.4515819750719023,32.926045016077175,False,-0.1861,2.0663,1,1,1,100.0,31.96664350243223,31.96664350243223,5.171620325982743,2.828379674017257,历史1/1次成功; 当前距低点2.83%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
11,75.74383210464377,73.26042777334398,603511,爱慕股份,bottom_area,2025-08-12,15.34,2025-08-04,15.0,2.2666666666666657,4.066666666666663,29.906542056074763,False,-0.712,0.7972,1,1,1,100.0,18.754988028731056,18.754988028731056,5.733333333333334,2.2666666666666657,历史1/1次成功; 当前距低点2.27%; 最新日涨幅-0.71%; 状态bottom_area; 底部未确认
