rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.04393996094703,79.91303370786518,002657,中科金财,bottom_area,2022-04-11,17.09,2022-04-11,16.91,1.064458900059135,9.402720283855706,31.70436187399031,False,-6.9172,23.1351,1,1,1,100.0,56.540447504302946,56.540447504302946,18.935541099940867,1.064458900059135,历史1/1次成功; 当前距低点1.06%; 最新日涨幅-6.92%; 状态bottom_area; 底部未确认
2,90.53911958365111,77.14241558189403,300746,汉嘉数智,bottom_area,2022-04-11,14.2,2022-04-11,14.03,1.2116892373485384,9.052031361368506,27.680412371134018,False,-4.5699,6.1717,1,1,1,100.0,36.90896259703598,36.90896259703598,18.788310762651463,1.2116892373485384,历史1/1次成功; 当前距低点1.21%; 最新日涨幅-4.57%; 状态bottom_area; 底部未确认
3,87.46438725219856,74.40259785158665,002474,榕基软件,bottom_area,2022-04-11,6.3,2022-04-11,6.23,1.1235955056179678,6.420545746388434,31.007751937984484,False,-4.8338,2.9832,1,1,1,100.0,21.0989010989011,21.0989010989011,18.876404494382033,1.1235955056179678,历史1/1次成功; 当前距低点1.12%; 最新日涨幅-4.83%; 状态bottom_area; 底部未确认
4,87.2630511713987,74.81733731580577,603215,比依股份,bottom_area,2022-04-11,15.69,2022-04-11,15.45,1.5533980582524287,6.6019417475728135,31.485587583148565,False,-3.2676,11.1841,1,1,1,100.0,28.59723058398555,28.59723058398555,18.446601941747574,1.5533980582524287,历史1/1次成功; 当前距低点1.55%; 最新日涨幅-3.27%; 状态bottom_area; 底部未确认
5,85.1044954608154,70.92041288401283,688037,芯源微,bottom_area,2022-04-11,129.49,2022-04-11,129.49,0.0,6.865395011197766,30.0054054054054,False,-6.0237,2.668,2,2,2,100.0,24.034477871036746,27.322614278658854,20.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-6.02%; 状态bottom_area; 底部未确认
6,81.86686560953343,69.11936822623869,300435,中泰股份,bottom_area,2022-04-11,15.54,2022-04-11,15.43,0.7128969539857384,6.416072585871692,29.12264584290308,False,-5.2439,2.2716,1,1,1,100.0,27.498781082398814,27.498781082398814,19.287103046014263,0.7128969539857384,历史1/1次成功; 当前距低点0.71%; 最新日涨幅-5.24%; 状态bottom_area; 底部未确认
7,80.77148235935245,68.15439434589358,603063,禾望电气,bottom_area,2022-04-11,29.58,2022-04-11,29.38,0.6807351940095279,7.556160653505795,30.197196483725357,False,-5.7361,2.0566,1,1,1,100.0,21.916508538899436,21.916508538899436,19.319264805990475,0.6807351940095279,历史1/1次成功; 当前距低点0.68%; 最新日涨幅-5.74%; 状态bottom_area; 底部未确认
8,80.68907398975661,68.00621794264127,300471,厚普股份,bottom_area,2022-04-11,17.92,2022-04-11,17.81,0.6176305446378607,5.446378439079183,28.731492597038816,False,-4.4776,2.3769,1,1,1,100.0,20.346320346320343,20.346320346320343,19.38236945536214,0.6176305446378607,历史1/1次成功; 当前距低点0.62%; 最新日涨幅-4.48%; 状态bottom_area; 底部未确认
9,80.35215628429255,68.10220018193054,688117,圣诺生物,bottom_area,2022-04-11,33.89,2022-04-11,33.58,0.9231685527099532,8.665872543180477,32.13419563459984,False,-7.6063,7.9269,1,1,1,100.0,24.6076585059636,24.6076585059636,19.07683144729005,0.9231685527099532,历史1/1次成功; 当前距低点0.92%; 最新日涨幅-7.61%; 状态bottom_area; 底部未确认
10,61.92691946234424,52.4431651459507,603348,文灿股份,bottom_area,2022-04-11,31.0,2022-04-11,30.73,0.8786202408070275,8.851285388870817,27.540674369252528,False,-7.3244,1.6912,1,2,1,50.0,31.539888682745836,31.539888682745836,19.121379759192976,0.8786202408070275,历史1/2次成功; 当前距低点0.88%; 最新日涨幅-7.32%; 状态bottom_area; 底部未确认
11,60.17135764544753,50.90149236856979,603351,威尔药业,bottom_area,2022-04-11,24.6,2022-04-11,24.4,0.8196721311475527,8.196721311475411,30.701505254189154,False,-5.8914,1.4225,1,2,1,50.0,22.528735632183903,22.528735632183903,19.180327868852448,0.8196721311475527,历史1/2次成功; 当前距低点0.82%; 最新日涨幅-5.89%; 状态bottom_area; 底部未确认
