rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.55658613047238,87.11227295505888,601369,陕鼓动力,bottom_area,2023-05-08,9.33,2023-04-27,9.2,1.4130434782608783,5.00000000000001,31.189229618548993,False,0.5388,0.9376,3,3,3,100.0,26.957054223084292,55.572755417956664,6.586956521739122,1.4130434782608783,历史3/3次成功; 当前距低点1.41%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
2,90.21574224549707,84.57130351240691,688075,安旭生物,bottom_area,2023-05-08,67.46,2023-05-05,67.03,0.6415038042667351,2.7897956139042286,27.81606719793237,False,0.0,1.5435,5,5,5,100.0,27.010388097500325,40.134529147982065,7.358496195733265,0.6415038042667351,历史5/5次成功; 当前距低点0.64%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,89.8326011474293,85.35731343283584,605133,嵘泰股份,bottom_area,2023-05-08,27.16,2023-05-05,26.8,1.3432835820895501,4.477611940298504,30.099113197704753,False,0.929,3.4452,1,1,1,100.0,60.01483679525222,60.01483679525222,6.65671641791045,1.3432835820895501,历史1/1次成功; 当前距低点1.34%; 最新日涨幅0.93%; 状态bottom_area; 底部未确认
4,88.20929906150896,83.87072329983334,688181,八亿时空,bottom_area,2023-05-08,34.58,2023-05-05,34.11,1.3778950454412162,2.931691586045148,27.084224027362126,False,0.3191,0.8341,2,2,2,100.0,25.76518281418983,28.477257745550418,6.622104954558784,1.3778950454412162,历史2/2次成功; 当前距低点1.38%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
5,87.97755155531885,83.62026149470725,688107,安路科技,bottom_area,2023-05-08,50.71,2023-05-05,50.03,1.3591844893064156,5.676594043573848,32.673933521733275,False,-1.9339,1.3325,3,3,3,100.0,29.995710378096113,67.95615731785945,6.640815510693584,1.3591844893064156,历史3/3次成功; 当前距低点1.36%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
6,85.08729944607884,81.58380884769304,300582,英飞特,bottom_area,2023-05-08,12.91,2023-04-27,12.68,1.8138801261829687,4.337539432176662,32.40938166311301,False,0.3108,2.4622,1,1,1,100.0,35.48094373865699,35.48094373865699,6.186119873817032,1.8138801261829687,历史1/1次成功; 当前距低点1.81%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
7,84.27923627767294,80.0516709118696,000935,四川双马,bottom_area,2023-05-08,18.36,2023-05-05,18.12,1.3245033112582694,3.532008830022078,32.68945022288261,False,-0.2716,0.4809,1,1,1,100.0,43.71794871794874,43.71794871794874,6.67549668874173,1.3245033112582694,历史1/1次成功; 当前距低点1.32%; 最新日涨幅-0.27%; 状态bottom_area; 底部未确认
8,84.21996888376613,81.81527656998178,688350,富淼科技,bottom_area,2023-05-08,16.44,2023-05-05,16.04,2.493765586034926,4.301745635910232,32.774518021793796,False,1.0449,3.0532,2,2,2,100.0,28.392807022265636,38.54748603351957,5.506234413965074,2.493765586034926,历史2/2次成功; 当前距低点2.49%; 最新日涨幅1.04%; 状态bottom_area; 底部未确认
9,84.0492266381279,83.68162291180225,688195,腾景科技,bottom_area,2023-05-08,25.86,2023-05-08,24.92,3.772070626003201,4.213483146067404,32.648648648648646,False,2.9869,3.3166,6,6,6,100.0,20.763139457470636,38.77410468319559,4.227929373996799,3.772070626003201,历史6/6次成功; 当前距低点3.77%; 最新日涨幅2.99%; 状态bottom_area; 底部未确认
10,83.42973961457852,80.95048567913118,300454,深信服,bottom_area,2023-05-08,118.38,2023-05-04,115.57,2.431426840875662,3.7466470537336787,31.00298507462687,False,0.2371,0.8199,2,2,2,100.0,22.979241270579003,29.49391262831224,5.5685731591243375,2.431426840875662,历史2/2次成功; 当前距低点2.43%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
11,83.01912975434108,80.32152854762495,688048,长光华芯,bottom_area,2023-05-08,88.73,2023-05-05,86.75,2.2824207492795434,4.853025936599416,27.100840336134453,False,0.2599,2.5706,2,2,2,100.0,17.771225032162963,19.48504983388705,5.717579250720457,2.2824207492795434,历史2/2次成功; 当前距低点2.28%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
12,82.71035934268225,81.61347424877867,300432,富临精工,bottom_area,2023-05-08,10.0,2023-04-26,9.68,3.305785123966945,7.334710743801661,32.54355400696864,True,0.2004,1.0778,3,3,3,100.0,11.40142113668444,13.323239969719907,4.6942148760330555,3.305785123966945,历史3/3次成功; 当前距低点3.31%; 最新日涨幅0.20%; 状态bottom_area; 底部已确认
13,82.54193531649577,81.40148807243526,002455,百川股份,bottom_area,2023-05-08,7.88,2023-05-05,7.63,3.2765399737876804,4.587155963302759,28.691588785046722,False,1.9405,1.1822,3,3,3,100.0,19.096769960597644,35.42600896860987,4.72346002621232,3.2765399737876804,历史3/3次成功; 当前距低点3.28%; 最新日涨幅1.94%; 状态bottom_area; 底部未确认
14,82.24471665737634,80.66365054861939,002245,蔚蓝锂芯,confirmed_rebound,2023-05-08,11.02,2023-04-26,10.7,2.9906542056074796,8.317757009345799,29.512516469038214,False,0.4558,1.1774,3,3,3,100.0,21.840549125830286,25.653923541247494,5.009345794392521,2.9906542056074796,历史3/3次成功; 当前距低点2.99%; 最新日涨幅0.46%; 状态confirmed_rebound; 底部未确认
15,81.97869128541866,76.55794130343077,605286,同力天启,bottom_area,2023-05-08,29.41,2023-05-08,29.28,0.443989071038248,2.390710382513659,27.29078718649119,False,-0.6419,3.2272,3,3,3,100.0,20.64643217955895,30.46080191502094,7.5560109289617525,0.443989071038248,历史3/3次成功; 当前距低点0.44%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
