rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.49607031942192,76.65685547182073,600995,南网储能,bottom_area,2023-08-03,11.17,2023-06-07,10.74,4.003724394785844,8.379888268156428,32.7909887359199,True,0.0,0.4375,1,1,1,100.0,26.64165103189493,26.64165103189493,15.996275605214159,4.003724394785844,历史1/1次成功; 当前距低点4.00%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
2,84.87599645094988,76.65271651798587,688300,联瑞新材,bottom_area,2023-08-03,44.37,2023-08-02,42.5,4.399999999999994,5.5764705882352885,27.350427350427353,False,0.8638,0.8252,2,2,2,100.0,24.003852247235756,26.809910956252438,15.600000000000009,4.399999999999994,历史2/2次成功; 当前距低点4.40%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
3,84.80400469658008,74.01094444610135,688143,长盈通,bottom_area,2023-08-03,30.46,2023-08-01,29.71,2.524402558061259,6.294177044766064,28.906436946637946,False,-1.2322,1.737,1,1,1,100.0,25.949367088607595,25.949367088607595,17.475597441938742,2.524402558061259,历史1/1次成功; 当前距低点2.52%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
4,82.3099206718433,74.51705296425604,002755,奥赛康,bottom_area,2023-08-03,8.3,2023-07-17,7.94,4.53400503778338,6.171284634760696,28.853046594982075,False,1.7157,0.2658,1,1,1,100.0,30.831099195710454,30.831099195710454,15.465994962216623,4.53400503778338,历史1/1次成功; 当前距低点4.53%; 最新日涨幅1.72%; 状态bottom_area; 底部未确认
5,82.29131030437067,73.99447191401227,300515,三德科技,bottom_area,2023-08-03,13.77,2023-07-28,13.22,4.160363086232972,4.311649016641441,27.162534435261698,False,1.6236,1.2687,1,1,1,100.0,23.441396508728182,23.441396508728182,15.83963691376703,4.160363086232972,历史1/1次成功; 当前距低点4.16%; 最新日涨幅1.62%; 状态bottom_area; 底部未确认
6,80.8964507131038,73.23650965250967,002219,新里程,bottom_area,2023-08-03,3.92,2023-07-28,3.75,4.533333333333331,6.400000000000006,27.884615384615387,False,1.0309,0.5779,1,1,1,100.0,23.938223938223942,23.938223938223942,15.46666666666667,4.533333333333331,历史1/1次成功; 当前距低点4.53%; 最新日涨幅1.03%; 状态bottom_area; 底部未确认
7,79.02755185859989,70.82899350621827,002045,国光电器,bottom_area,2023-08-03,13.84,2023-07-28,13.31,3.9819684447783574,6.386175807663408,27.937195452084456,False,-0.7885,1.6067,3,4,3,75.0,30.875707313510432,33.77563329312426,16.018031555221643,3.9819684447783574,历史3/4次成功; 当前距低点3.98%; 最新日涨幅-0.79%; 状态bottom_area; 底部未确认
8,65.80622516041791,57.61894519701178,688095,福昕软件,bottom_area,2023-08-03,98.78,2023-08-02,96.18,2.7032647119983304,3.9301310043667983,28.75555555555555,False,-0.1011,2.1215,1,2,1,50.0,31.679509356817103,31.679509356817103,17.29673528800167,2.7032647119983304,历史1/2次成功; 当前距低点2.70%; 最新日涨幅-0.10%; 状态bottom_area; 底部未确认
9,65.45958989855673,55.88904717901328,603033,三维股份,bottom_area,2023-08-03,15.3,2023-08-01,15.1,1.3245033112582854,2.7814569536423837,29.995363931386187,False,-0.3906,0.1272,1,3,1,33.33333333333333,24.922480620155024,24.922480620155024,18.675496688741717,1.3245033112582854,历史1/3次成功; 当前距低点1.32%; 最新日涨幅-0.39%; 状态bottom_area; 底部未确认
10,62.50520178995454,52.971677514299145,002829,星网宇达,bottom_area,2023-08-03,30.76,2023-08-02,30.48,0.9186351706036784,2.1981627296587867,31.918695555059195,False,0.0325,1.2305,1,3,1,33.33333333333333,21.628131021194598,21.628131021194598,19.08136482939632,0.9186351706036784,历史1/3次成功; 当前距低点0.92%; 最新日涨幅0.03%; 状态bottom_area; 底部未确认
11,58.98857488271256,51.79163344858543,002403,爱仕达,bottom_area,2023-08-03,8.65,2023-07-28,8.41,2.8537455410225947,3.8049940546967926,32.61217948717949,False,-0.5747,1.4382,1,3,1,33.33333333333333,21.63892445582587,21.63892445582587,17.146254458977406,2.8537455410225947,历史1/3次成功; 当前距低点2.85%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
12,58.41412516241707,49.56939073682647,300342,天银机电,bottom_area,2023-08-03,11.22,2023-07-28,11.11,0.9900990099010011,4.230423042304237,28.368794326241137,False,-1.0582,2.7689,1,3,1,33.33333333333333,26.68539325842696,26.68539325842696,19.009900990099,0.9900990099010011,历史1/3次成功; 当前距低点0.99%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
13,57.34265599882007,51.5155682506635,688027,国盾量子,bottom_area,2023-08-03,142.3,2023-07-28,136.68,4.111793971319874,7.952882645595555,27.096223597183695,True,-0.1474,0.5735,1,3,1,33.33333333333333,26.382393397524062,26.382393397524062,15.888206028680127,4.111793971319874,历史1/3次成功; 当前距低点4.11%; 最新日涨幅-0.15%; 状态bottom_area; 底部已确认
