rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.65809310809065,75.41157407608473,603356,华菱精工,bottom_area,2023-04-04,11.91,2023-04-04,11.85,0.5063291139240548,2.9535864978902926,30.088495575221234,False,-2.0559,2.485,2,2,2,100.0,31.91400245070737,38.38297872340427,19.493670886075947,0.5063291139240548,历史2/2次成功; 当前距低点0.51%; 最新日涨幅-2.06%; 状态bottom_area; 底部未确认
2,86.81806945500284,72.72962824404131,603315,福鞍股份,bottom_area,2023-04-04,13.99,2023-04-04,13.95,0.28673835125448693,3.369175627240148,29.758308157099698,False,-3.5172,0.8656,1,1,1,100.0,41.68490153172865,41.68490153172865,19.713261648745515,0.28673835125448693,历史1/1次成功; 当前距低点0.29%; 最新日涨幅-3.52%; 状态bottom_area; 底部未确认
3,85.94181929786191,71.73082215488549,300530,领湃科技,bottom_area,2023-04-04,23.35,2023-04-04,23.33,0.08572653236177938,2.9147021003000573,27.207488299531978,False,-2.7489,0.5164,3,4,3,75.0,27.802573379948058,34.07510431154381,19.91427346763822,0.08572653236177938,历史3/4次成功; 当前距低点0.09%; 最新日涨幅-2.75%; 状态bottom_area; 底部未确认
4,81.6475416875305,69.00984856140768,002329,皇氏集团,bottom_area,2023-04-04,6.52,2023-04-04,6.47,0.7727975270479107,4.17310664605874,27.05749718151071,False,-3.4074,4.4579,1,1,1,100.0,27.644230769230756,27.644230769230756,19.22720247295209,0.7727975270479107,历史1/1次成功; 当前距低点0.77%; 最新日涨幅-3.41%; 状态bottom_area; 底部未确认
5,72.6647967097633,64.89494275310747,300393,中来股份,bottom_area,2023-04-04,14.8,2023-03-20,14.26,3.7868162692847194,7.8541374474053365,27.61421319796954,True,-2.3102,3.1489,2,3,2,66.66666666666666,22.108694518333078,23.89610389610389,16.21318373071528,3.7868162692847194,历史2/3次成功; 当前距低点3.79%; 最新日涨幅-2.31%; 状态bottom_area; 底部已确认
6,71.12836931910057,60.61247077500358,002347,泰尔股份,bottom_area,2023-04-04,4.98,2023-04-04,4.92,1.2195121951219614,4.065040650406507,30.508474576271187,False,-2.924,4.3225,1,2,1,50.0,29.585798816568047,29.585798816568047,18.78048780487804,1.2195121951219614,历史1/2次成功; 当前距低点1.22%; 最新日涨幅-2.92%; 状态bottom_area; 底部未确认
7,71.1107990770792,60.974842851694,300763,锦浪科技,bottom_area,2023-04-04,130.3,2023-04-04,128.3,1.5588464536243178,4.466095089633662,27.345829322158664,False,-2.8337,2.2404,1,2,1,50.0,35.693617021276594,35.693617021276594,18.441153546375684,1.5588464536243178,历史1/2次成功; 当前距低点1.56%; 最新日涨幅-2.83%; 状态bottom_area; 底部未确认
8,69.85293453705037,59.77634984833162,603030,全筑股份,bottom_area,2023-04-04,2.1,2023-04-04,2.07,1.4492753623188528,4.347826086956537,27.368421052631586,False,-2.7778,4.101,1,2,1,50.0,27.906976744186036,27.906976744186036,18.55072463768115,1.4492753623188528,历史1/2次成功; 当前距低点1.45%; 最新日涨幅-2.78%; 状态bottom_area; 底部未确认
9,68.3671511149198,57.83692187898123,300699,光威复材,bottom_area,2023-04-04,50.3,2023-04-04,49.89,0.8218079775506044,3.4676287833233053,31.900081900081904,False,-2.102,2.5358,1,2,1,50.0,49.6271186440678,49.6271186440678,19.178192022449398,0.8218079775506044,历史1/2次成功; 当前距低点0.82%; 最新日涨幅-2.10%; 状态bottom_area; 底部未确认
10,65.63517239024148,57.058057882711324,000887,中鼎股份,bottom_area,2023-04-04,12.4,2023-03-20,12.12,2.31023102310232,6.600660066006607,28.45336481700119,False,-2.2853,1.3943,1,2,1,50.0,23.84615384615385,23.84615384615385,17.68976897689768,2.31023102310232,历史1/2次成功; 当前距低点2.31%; 最新日涨幅-2.29%; 状态bottom_area; 底部未确认
11,64.34217691592741,55.801102417609094,002192,融捷股份,bottom_area,2023-04-04,76.4,2023-04-03,74.77,2.1800187240872138,7.4628861842985135,28.979863221884507,False,-3.1072,3.2811,1,2,1,50.0,25.707231766279197,25.707231766279197,17.819981275912788,2.1800187240872138,历史1/2次成功; 当前距低点2.18%; 最新日涨幅-3.11%; 状态bottom_area; 底部未确认
12,63.51719747095861,54.81271246001872,688357,建龙微纳,bottom_area,2023-04-04,93.99,2023-03-30,92.23,1.9082727962701842,5.692291011601431,27.108195684817826,False,-1.0632,1.3575,1,3,1,33.33333333333333,26.291618828932272,26.291618828932272,18.091727203729818,1.9082727962701842,历史1/3次成功; 当前距低点1.91%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
