rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.91509297762836,83.41448301059555,600227,赤天化,bottom_area,2024-05-27,1.73,2024-05-27,1.7,1.764705882352943,2.35294117647059,27.038626609442062,False,0.5814,0.9654,1,1,1,100.0,44.72049689440993,44.72049689440993,18.235294117647058,1.764705882352943,历史1/1次成功; 当前距低点1.76%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
2,77.72606816056076,69.40384527540238,688331,荣昌生物,bottom_area,2024-05-27,44.5,2024-05-27,42.88,3.777985074626859,10.774253731343277,27.00034048348655,False,-4.4859,2.6957,1,1,1,100.0,26.761565836298917,26.761565836298917,16.22201492537314,3.777985074626859,历史1/1次成功; 当前距低点3.78%; 最新日涨幅-4.49%; 状态bottom_area; 底部未确认
3,72.38550352758328,64.57754661432776,605155,西大门,bottom_area,2024-05-27,10.57,2024-05-13,10.19,3.7291462217860727,8.635917566241421,32.87220026350462,True,1.537,0.942,1,2,1,50.0,57.16054477919933,57.16054477919933,16.27085377821393,3.7291462217860727,历史1/2次成功; 当前距低点3.73%; 最新日涨幅1.54%; 状态bottom_area; 底部已确认
4,60.74341675122951,54.345522080028005,688177,百奥泰,bottom_area,2024-05-27,26.74,2024-05-27,25.74,3.8850038850038855,4.77855477855478,28.060368921185024,False,-0.6317,0.5077,1,2,1,50.0,28.56629536471435,28.56629536471435,16.114996114996117,3.8850038850038855,历史1/2次成功; 当前距低点3.89%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
5,59.56402215000658,53.549414050168785,002837,英维克,bottom_area,2024-05-27,24.84,2024-05-27,23.85,4.150943396226409,4.402515723270428,28.335336538461537,False,3.4138,2.0003,1,3,1,33.33333333333333,24.517374517374524,24.517374517374524,15.849056603773592,4.150943396226409,历史1/3次成功; 当前距低点4.15%; 最新日涨幅3.41%; 状态bottom_area; 底部未确认
