rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.21093836695003,87.13976838786881,688248,南网科技,bottom_area,2023-08-24,30.0,2023-08-22,29.52,1.6260162601626031,4.234417344173442,31.31689157747789,False,0.6374,2.4091,3,3,3,100.0,29.715513231395445,49.406593406593416,6.373983739837397,1.6260162601626031,历史3/3次成功; 当前距低点1.63%; 最新日涨幅0.64%; 状态bottom_area; 底部未确认
2,90.92839169613679,85.93473526348215,688286,敏芯股份,bottom_area,2023-08-24,47.51,2023-08-16,47.01,1.0636034886194428,7.679217187832375,28.338414634146336,False,0.0632,0.9272,3,3,3,100.0,16.34274848136819,25.016501650165008,6.936396511380558,1.0636034886194428,历史3/3次成功; 当前距低点1.06%; 最新日涨幅0.06%; 状态bottom_area; 底部未确认
3,90.78709998381309,86.29496954923914,603236,移远通信,bottom_area,2023-08-24,44.66,2023-08-22,44.06,1.3617793917385255,4.176123467998176,29.175373734126342,False,0.1121,1.4117,3,3,3,100.0,21.93455141076877,39.389337383102855,6.6382206082614745,1.3617793917385255,历史3/3次成功; 当前距低点1.36%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
4,90.429430181327,85.75141672428315,603005,晶方科技,bottom_area,2023-08-24,18.8,2023-08-24,18.57,1.2385568120624686,2.961766289714597,27.96741660201707,False,0.9667,1.872,3,3,3,100.0,17.501754063363318,24.55991516436903,6.761443187937531,1.2385568120624686,历史3/3次成功; 当前距低点1.24%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
5,86.57755941928103,83.27501573366251,302132,中航成飞,bottom_area,2023-08-24,43.31,2023-08-24,42.47,1.9778667294560948,3.9792794914056926,30.43407043407043,False,-1.4786,3.0255,4,4,4,100.0,19.056730520550555,28.81165919282512,6.022133270543906,1.9778667294560948,历史4/4次成功; 当前距低点1.98%; 最新日涨幅-1.48%; 状态bottom_area; 底部未确认
6,86.4901037739868,81.95126450887965,002838,道恩股份,bottom_area,2023-08-24,13.52,2023-08-24,13.36,1.1976047904191627,2.3203592814371294,27.233115468409586,False,-0.1477,0.7815,3,3,3,100.0,19.04195393029752,24.95606326889279,6.802395209580838,1.1976047904191627,历史3/3次成功; 当前距低点1.20%; 最新日涨幅-0.15%; 状态bottom_area; 底部未确认
7,86.31186327009206,81.58282494289382,002845,同兴达,bottom_area,2023-08-24,14.16,2023-08-24,14.01,1.0706638115631717,2.4268379728765157,27.03125,False,-0.3519,1.7854,3,3,3,100.0,15.505045340096002,25.83258325832584,6.929336188436828,1.0706638115631717,历史3/3次成功; 当前距低点1.07%; 最新日涨幅-0.35%; 状态bottom_area; 底部未确认
8,85.67904657651877,82.82549661997653,603212,赛伍技术,bottom_area,2023-08-24,16.44,2023-08-24,16.08,2.2388059701492726,3.731343283582099,29.006622516556295,False,1.7327,1.4323,2,2,2,100.0,30.698786193101522,32.01038575667657,5.761194029850728,2.2388059701492726,历史2/2次成功; 当前距低点2.24%; 最新日涨幅1.73%; 状态bottom_area; 底部未确认
9,85.52413260905617,83.13740375906127,300474,景嘉微,bottom_area,2023-08-24,69.75,2023-08-23,68.03,2.5282963398500646,6.3942378362487045,28.50987810004203,False,2.3928,3.0543,2,2,2,100.0,35.92429792429792,59.857142857142854,5.471703660149935,2.5282963398500646,历史2/2次成功; 当前距低点2.53%; 最新日涨幅2.39%; 状态bottom_area; 底部未确认
10,85.23825356251216,82.77558889722431,002150,正泰电源,bottom_area,2023-08-24,13.66,2023-08-24,13.33,2.4756189047261823,3.9009752438109495,30.572916666666668,False,1.9403,1.4351,1,1,1,100.0,164.87025948103792,164.87025948103792,5.524381095273818,2.4756189047261823,历史1/1次成功; 当前距低点2.48%; 最新日涨幅1.94%; 状态bottom_area; 底部未确认
11,85.02781145229561,80.83150700598038,001266,宏英智能,bottom_area,2023-08-24,25.18,2023-08-24,24.84,1.3687600644122377,3.985507246376805,29.471890971039183,False,-1.3323,3.299,3,3,3,100.0,15.119784692689752,23.285351397121083,6.631239935587763,1.3687600644122377,历史3/3次成功; 当前距低点1.37%; 最新日涨幅-1.33%; 状态bottom_area; 底部未确认
