rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.54048743226454,83.35081799667923,300601,康泰生物,bottom_area,2025-01-22,14.69,2025-01-13,14.48,1.4502762430939162,6.21546961325967,28.775209050664035,False,-1.6734,1.0002,5,5,5,100.0,12.997031349104097,24.837758112094402,6.549723756906084,1.4502762430939162,历史5/5次成功; 当前距低点1.45%; 最新日涨幅-1.67%; 状态bottom_area; 底部未确认
2,86.27294859869825,83.42662833776279,002571,德力股份,bottom_area,2025-01-22,4.08,2025-01-22,3.99,2.2556390977443574,4.511278195488715,28.749999999999993,False,0.2457,6.8729,3,3,3,100.0,17.47035204634371,28.291814946619215,5.744360902255643,2.2556390977443574,历史3/3次成功; 当前距低点2.26%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
3,86.14966015297762,80.11571947872417,600202,哈空调,bottom_area,2025-01-22,4.44,2025-01-22,4.43,0.22573363431152765,3.160270880361187,29.006410256410263,False,-2.8446,5.583,5,5,5,100.0,20.432215940615322,41.50485436893204,7.774266365688473,0.22573363431152765,历史5/5次成功; 当前距低点0.23%; 最新日涨幅-2.84%; 状态bottom_area; 底部未确认
4,84.5457179226832,79.6047344077212,002246,北化股份,bottom_area,2025-01-22,9.28,2025-01-06,9.2,0.8695652173913052,6.521739130434799,27.38752959747435,False,-0.9605,0.9862,4,4,4,100.0,25.577113458996685,31.992687385740403,7.130434782608695,0.8695652173913052,历史4/4次成功; 当前距低点0.87%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
5,83.52401679108739,79.71261293840394,300682,朗新科技,bottom_area,2025-01-22,10.34,2025-01-13,10.18,1.5717092337917498,7.26915520628684,29.256428075052128,True,-0.5769,1.0339,2,2,2,100.0,19.0651074809093,21.503593145384194,6.42829076620825,1.5717092337917498,历史2/2次成功; 当前距低点1.57%; 最新日涨幅-0.58%; 状态bottom_area; 底部已确认
6,82.24971170403583,77.59346886097556,300347,泰格医药,bottom_area,2025-01-22,48.9,2025-01-22,48.43,0.9704728474086287,1.8790006194507614,29.913169319826334,False,-1.4113,1.3318,4,4,4,100.0,16.000790070253917,23.423271500843175,7.029527152591372,0.9704728474086287,历史4/4次成功; 当前距低点0.97%; 最新日涨幅-1.41%; 状态bottom_area; 底部未确认
7,81.82138444063173,76.60684579744074,600325,华发股份,bottom_area,2025-01-22,5.23,2025-01-13,5.2,0.5769230769230818,5.769230769230766,29.539295392953925,False,-2.6071,1.4833,3,3,3,100.0,22.53887318723322,32.553606237816766,7.423076923076918,0.5769230769230818,历史3/3次成功; 当前距低点0.58%; 最新日涨幅-2.61%; 状态bottom_area; 底部未确认
8,79.03264127817944,73.17837155386985,603177,德创环保,bottom_area,2025-01-22,7.67,2025-01-22,7.67,0.0,4.041720990873539,29.243542435424352,False,-9.9765,11.8864,3,3,3,100.0,19.507373945536873,37.04615384615384,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-9.98%; 状态bottom_area; 底部未确认
9,78.81186907487408,75.73018712932786,000421,南京公用,bottom_area,2025-01-22,6.35,2025-01-22,6.23,1.9261637239165204,3.8523274478330545,27.726218097447784,False,-1.0903,4.2062,5,6,5,83.33333333333334,13.970468207119307,30.864197530864196,6.0738362760834805,1.9261637239165204,历史5/6次成功; 当前距低点1.93%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
10,78.74286634967693,75.58458147542807,600358,国旅联合,confirmed_rebound,2025-01-22,3.81,2025-01-22,3.74,1.871657754010691,8.288770053475925,28.62595419847328,False,-8.4135,19.2672,3,3,3,100.0,13.50516749770124,18.181818181818198,6.128342245989309,1.871657754010691,历史3/3次成功; 当前距低点1.87%; 最新日涨幅-8.41%; 状态confirmed_rebound; 底部未确认
11,78.46200000000002,72.65,603777,来伊份,bottom_area,2025-01-22,16.82,2025-01-22,16.82,0.0,7.015457788347204,31.626016260162604,False,-10.0054,15.961,1,1,1,100.0,98.38709677419355,98.38709677419355,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态bottom_area; 底部未确认
12,76.65583146336846,73.65408026755853,600117,西宁特钢,confirmed_rebound,2025-01-22,2.12,2025-01-13,2.08,1.9230769230769247,8.653846153846139,27.526132404181187,True,-1.8519,0.2594,1,1,1,100.0,17.681159420289838,17.681159420289838,6.076923076923076,1.9230769230769247,历史1/1次成功; 当前距低点1.92%; 最新日涨幅-1.85%; 状态confirmed_rebound; 底部已确认
13,76.5196925211461,76.58639295669157,300358,楚天科技,confirmed_rebound,2025-01-22,6.43,2025-01-13,6.18,4.045307443365696,9.223300970873792,28.637413394919175,True,-0.9245,0.848,3,3,3,100.0,26.127386707340612,38.205499276411004,3.9546925566343036,4.045307443365696,历史3/3次成功; 当前距低点4.05%; 最新日涨幅-0.92%; 状态confirmed_rebound; 底部已确认
14,76.02033229971966,76.77147769297463,002183,怡亚通,confirmed_rebound,2025-01-22,4.17,2025-01-13,3.99,4.511278195488715,10.526315789473681,28.62254025044722,True,-1.6509,0.8409,4,4,4,100.0,16.167698810155322,31.948881789137378,3.4887218045112856,4.511278195488715,历史4/4次成功; 当前距低点4.51%; 最新日涨幅-1.65%; 状态confirmed_rebound; 底部已确认
15,75.72727708547659,76.91632167170583,002641,公元股份,confirmed_rebound,2025-01-22,4.14,2025-01-13,3.95,4.8101265822784685,8.101265822784795,28.44202898550724,True,-0.4808,0.4756,4,4,4,100.0,20.609732684412577,38.33780160857909,3.1898734177215315,4.8101265822784685,历史4/4次成功; 当前距低点4.81%; 最新日涨幅-0.48%; 状态confirmed_rebound; 底部已确认
16,75.66691123364372,76.98338384184831,002761,浙江建投,confirmed_rebound,2025-01-22,8.14,2025-01-13,7.76,4.8969072164948555,9.020618556701045,30.71428571428571,True,-1.2136,1.0793,7,7,7,100.0,22.034044599228856,43.73730534867976,3.1030927835051445,4.8969072164948555,历史7/7次成功; 当前距低点4.90%; 最新日涨幅-1.21%; 状态confirmed_rebound; 底部已确认
17,73.44633077865019,73.70456575355317,000629,钒钛股份,bottom_area,2025-01-22,2.74,2025-01-13,2.63,4.182509505703434,7.604562737642592,27.348066298342545,True,-0.3636,0.4367,2,2,2,100.0,18.767136701919313,27.173913043478265,3.8174904942965657,4.182509505703434,历史2/2次成功; 当前距低点4.18%; 最新日涨幅-0.36%; 状态bottom_area; 底部已确认
18,73.43089100335291,74.41869066418695,002314,南山控股,confirmed_rebound,2025-01-22,2.23,2025-01-13,2.13,4.694835680751178,11.267605633802827,31.511254019292608,True,-3.0435,1.4707,4,4,4,100.0,15.983419442471158,26.12612612612611,3.305164319248822,4.694835680751178,历史4/4次成功; 当前距低点4.69%; 最新日涨幅-3.04%; 状态confirmed_rebound; 底部已确认
19,70.45296880356533,65.2342303736716,001270,铖昌科技,bottom_area,2025-01-22,26.15,2025-01-22,26.15,0.0,0.0,28.257887517146784,False,-9.9828,2.535,1,1,1,100.0,10.130270826191285,10.130270826191285,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.98%; 状态bottom_area; 底部未确认
20,68.53738949499802,69.57643140998418,300683,海特生物,confirmed_rebound,2025-01-22,21.91,2025-01-13,20.91,4.782400765184122,9.469153515064564,32.39573229873909,True,-1.7489,0.576,2,2,2,100.0,14.141425562387008,16.532137518684582,3.217599234815878,4.782400765184122,历史2/2次成功; 当前距低点4.78%; 最新日涨幅-1.75%; 状态confirmed_rebound; 底部已确认
21,67.8781203592423,68.93585752169827,605338,巴比食品,confirmed_rebound,2025-01-22,16.58,2025-01-13,15.82,4.8040455120101,10.619469026548671,30.553116769095702,True,-1.8354,0.641,2,2,2,100.0,10.962802629469296,13.636363636363638,3.1959544879899,4.8040455120101,历史2/2次成功; 当前距低点4.80%; 最新日涨幅-1.84%; 状态confirmed_rebound; 底部已确认
22,67.6796723810332,67.91850669027372,688117,圣诺生物,confirmed_rebound,2025-01-22,23.66,2025-01-13,22.71,4.183179216204312,8.322324966974904,27.629063097514333,True,-0.755,0.6225,3,4,3,75.0,18.715888726986787,24.6076585059636,3.816820783795688,4.183179216204312,历史3/4次成功; 当前距低点4.18%; 最新日涨幅-0.76%; 状态confirmed_rebound; 底部已确认
23,67.6655515085012,68.25117674747001,001258,立新能源,bottom_area,2025-01-22,6.34,2025-01-13,6.07,4.448105436573304,7.413509060955508,29.98846597462514,True,-0.471,1.5153,1,1,1,100.0,9.370199692780343,9.370199692780343,3.5518945634266963,4.448105436573304,历史1/1次成功; 当前距低点4.45%; 最新日涨幅-0.47%; 状态bottom_area; 底部已确认
