rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.82712348563354,87.24076776348333,601015,陕西黑猫,bottom_area,2022-08-05,5.37,2022-08-04,5.24,2.480916030534349,2.6717557251908333,28.021978021978022,False,0.9398,0.4896,4,4,4,100.0,24.0712705005465,65.6514382402707,5.519083969465651,2.480916030534349,历史4/4次成功; 当前距低点2.48%; 最新日涨幅0.94%; 状态bottom_area; 底部未确认
2,88.53098909331737,84.1605466697647,002339,积成电子,bottom_area,2022-08-05,7.41,2022-08-05,7.31,1.3679890560875587,6.019151846785231,30.380952380952387,False,-3.7662,13.1061,3,3,3,100.0,43.22345009486203,82.94930875576038,6.632010943912442,1.3679890560875587,历史3/3次成功; 当前距低点1.37%; 最新日涨幅-3.77%; 状态bottom_area; 底部未确认
3,84.87437414641721,83.17138883689906,002761,浙江建投,bottom_area,2022-08-05,24.81,2022-08-04,24.1,2.9460580912862957,3.5269709543568375,32.24627495080124,False,0.5267,2.6999,3,3,3,100.0,24.561297231353766,43.73730534867976,5.053941908713705,2.9460580912862957,历史3/3次成功; 当前距低点2.95%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
4,80.2963651098384,77.88092764378479,002110,三钢闽光,bottom_area,2022-08-05,5.52,2022-08-03,5.39,2.4118738404452675,2.968460111317257,27.456258411843876,False,1.0989,0.2929,1,1,1,100.0,22.90322580645161,22.90322580645161,5.588126159554732,2.4118738404452675,历史1/1次成功; 当前距低点2.41%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
5,80.09671449432918,77.54237735783576,002494,华斯股份,bottom_area,2022-08-05,4.42,2022-08-05,4.32,2.3148148148148064,4.398148148148136,27.999999999999996,False,-1.7778,10.666,2,2,2,100.0,25.69975879362104,35.67251461988303,5.685185185185194,2.3148148148148064,历史2/2次成功; 当前距低点2.31%; 最新日涨幅-1.78%; 状态bottom_area; 底部未确认
6,79.23386290389307,75.72160425018741,000715,中兴商业,bottom_area,2022-08-05,4.95,2022-08-03,4.87,1.6427104722792623,4.928131416837787,27.421758569299552,False,-0.4024,1.6315,1,1,1,100.0,24.33862433862435,24.33862433862435,6.357289527720739,1.6427104722792623,历史1/1次成功; 当前距低点1.64%; 最新日涨幅-0.40%; 状态bottom_area; 底部未确认
7,77.47322086578855,76.63717891399945,002157,正邦科技,bottom_area,2022-08-05,5.72,2022-08-02,5.53,3.4358047016274775,6.329113924050627,28.737113402061848,False,1.2389,1.3628,2,2,2,100.0,12.101148568333835,13.751169317118809,4.564195298372523,3.4358047016274775,历史2/2次成功; 当前距低点3.44%; 最新日涨幅1.24%; 状态bottom_area; 底部未确认
8,76.98523011543273,72.66134328358211,002666,德联集团,bottom_area,2022-08-05,6.09,2022-08-05,6.03,0.9950248756218841,6.633499170812594,32.247191011235955,False,-7.8669,30.9822,1,1,1,100.0,51.275510204081634,51.275510204081634,7.004975124378116,0.9950248756218841,历史1/1次成功; 当前距低点1.00%; 最新日涨幅-7.87%; 状态bottom_area; 底部未确认
9,76.21740617373025,74.97597392572264,600248,陕建股份,bottom_area,2022-08-05,4.59,2022-08-03,4.45,3.1460674157303297,4.044943820224713,28.2258064516129,False,0.6579,0.8702,1,1,1,100.0,16.28498727735369,16.28498727735369,4.85393258426967,3.1460674157303297,历史1/1次成功; 当前距低点3.15%; 最新日涨幅0.66%; 状态bottom_area; 底部未确认
10,75.89427991440711,75.46306241489341,000421,南京公用,bottom_area,2022-08-05,5.04,2022-08-05,4.86,3.703703703703698,4.732510288065834,28.424153166421203,False,1.2048,3.861,2,2,2,100.0,9.072617523321748,9.090909090909086,4.296296296296302,3.703703703703698,历史2/2次成功; 当前距低点3.70%; 最新日涨幅1.20%; 状态bottom_area; 底部未确认
11,75.00189222532389,72.60837007608217,002379,宏桥控股,bottom_area,2022-08-05,3.98,2022-08-04,3.89,2.3136246786632353,5.398457583547545,30.16157989228007,False,-1.2407,3.2043,1,1,1,100.0,15.824915824915816,15.824915824915816,5.686375321336764,2.3136246786632353,历史1/1次成功; 当前距低点2.31%; 最新日涨幅-1.24%; 状态bottom_area; 底部未确认
