rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.72226474971096,79.5307457220616,002833,弘亚数控,bottom_area,2021-10-20,30.6,2021-10-13,30.11,1.627366323480578,7.871139156426428,30.86107921928817,True,-1.5127,1.7984,1,1,1,100.0,35.43624161073825,35.43624161073825,13.372633676519422,1.627366323480578,历史1/1次成功; 当前距低点1.63%; 最新日涨幅-1.51%; 状态bottom_area; 底部已确认
2,87.84723139156408,79.27128595041322,000789,万年青,bottom_area,2021-10-20,12.34,2021-10-14,12.1,1.9834710743801671,4.545454545454551,28.44470727380249,False,-1.6733,2.1202,1,1,1,100.0,47.599999999999994,47.599999999999994,13.016528925619832,1.9834710743801671,历史1/1次成功; 当前距低点1.98%; 最新日涨幅-1.67%; 状态bottom_area; 底部未确认
3,86.30561906328546,76.79758719460825,001212,中旗新材,bottom_area,2021-10-20,30.37,2021-10-12,30.0,1.2333333333333367,6.733333333333344,32.65993265993266,False,-1.1071,2.2342,1,1,1,100.0,25.105307497893843,25.105307497893843,13.766666666666664,1.2333333333333367,历史1/1次成功; 当前距低点1.23%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
4,79.99573166655503,73.8777319864289,000612,焦作万方,bottom_area,2021-10-20,8.0,2021-10-13,7.75,3.225806451612903,7.225806451612909,29.41712204007286,True,-3.0303,2.9071,2,2,2,100.0,18.185863957560837,20.790629575402633,11.774193548387096,3.225806451612903,历史2/2次成功; 当前距低点3.23%; 最新日涨幅-3.03%; 状态bottom_area; 底部已确认
5,77.3815306041553,71.33353563112499,600409,三友化工,bottom_area,2021-10-20,10.22,2021-10-20,9.91,3.128153380423819,4.1372351160444,30.504908835904626,False,-1.8252,4.5988,1,1,1,100.0,18.95551257253386,18.95551257253386,11.87184661957618,3.128153380423819,历史1/1次成功; 当前距低点3.13%; 最新日涨幅-1.83%; 状态bottom_area; 底部未确认
