rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
23,75.94937268739997,74.42084247597846,603061,金海通,bottom_area,2023-08-17,91.65,2023-08-17,89.03,2.9428282601370372,3.5269010445917113,28.31145824945648,False,1.8333,5.3953,1,1,1,100.0,10.80909090909091,10.80909090909091,5.057171739862963,2.9428282601370372,历史1/1次成功; 当前距低点2.94%; 最新日涨幅1.83%; 状态bottom_area; 底部未确认
24,75.5454687181874,74.90612529792304,002519,银河电子,bottom_area,2023-08-17,5.53,2023-08-17,5.34,3.558052434456936,3.745318352059929,28.03234501347709,False,2.7881,1.75,1,1,1,100.0,20.959595959595962,20.959595959595962,4.441947565543064,3.558052434456936,历史1/1次成功; 当前距低点3.56%; 最新日涨幅2.79%; 状态bottom_area; 底部未确认
25,75.44207183287533,70.87220133650578,688234,天岳先进,bottom_area,2023-08-17,54.95,2023-08-17,54.54,0.7517418408507585,2.585258525852592,30.07692307692308,False,-1.8049,1.3022,2,2,2,100.0,10.517057707771569,10.647803425167522,7.248258159149241,0.7517418408507585,历史2/2次成功; 当前距低点0.75%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
26,75.15741805775555,75.54787477177165,300455,航天智装,bottom_area,2023-08-17,10.99,2023-08-17,10.54,4.26944971537003,4.459203036053137,32.43589743589744,False,3.6792,1.5056,2,2,2,100.0,16.463549047394118,18.904109589041095,3.7305502846299703,4.26944971537003,历史2/2次成功; 当前距低点4.27%; 最新日涨幅3.68%; 状态bottom_area; 底部未确认
27,75.15425111651712,73.92636932506088,300565,科信技术,bottom_area,2023-08-17,15.75,2023-08-17,15.27,3.1434184675834995,3.405370006548786,32.90861159929702,False,1.482,2.1763,1,1,1,100.0,10.60948081264109,10.60948081264109,4.8565815324165005,3.1434184675834995,历史1/1次成功; 当前距低点3.14%; 最新日涨幅1.48%; 状态bottom_area; 底部未确认
28,74.19173216609067,74.78705198286971,002755,奥赛康,bottom_area,2023-08-17,8.04,2023-08-08,7.7,4.4155844155844015,6.363636363636354,31.00358422939068,False,0.1245,0.2415,1,1,1,100.0,30.831099195710454,30.831099195710454,3.5844155844155985,4.4155844155844015,历史1/1次成功; 当前距低点4.42%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
29,74.04576154874992,74.7992951891742,603051,鹿山新材,bottom_area,2023-08-17,35.1,2023-08-17,33.58,4.526503871352005,4.586063132817151,32.46178600160901,False,2.3921,4.1057,2,2,2,100.0,15.58991406374611,18.738110336081178,3.4734961286479953,4.526503871352005,历史2/2次成功; 当前距低点4.53%; 最新日涨幅2.39%; 状态bottom_area; 底部未确认
30,73.5426388313469,68.75714176453525,603255,鼎际得,bottom_area,2023-08-17,38.0,2023-08-17,37.81,0.5025125628140643,3.147315524993382,27.6778882938026,False,-2.0366,2.5795,1,1,1,100.0,12.757367783609205,12.757367783609205,7.497487437185936,0.5025125628140643,历史1/1次成功; 当前距低点0.50%; 最新日涨幅-2.04%; 状态bottom_area; 底部未确认
31,72.39256340707018,72.93140558611675,002819,东方中科,bottom_area,2023-08-17,26.42,2023-08-17,25.31,4.385618332674844,4.899249308573694,27.68571428571429,False,3.2435,0.7875,1,1,1,100.0,20.487179487179493,20.487179487179493,3.614381667325156,4.385618332674844,历史1/1次成功; 当前距低点4.39%; 最新日涨幅3.24%; 状态bottom_area; 底部未确认
32,71.88554138779054,67.52336264613244,688314,康拓医疗,bottom_area,2023-08-17,31.07,2023-08-17,30.84,0.7457846952010391,3.1128404669260727,29.74943052391799,False,-2.0183,1.4289,1,1,1,100.0,9.106192210703279,9.106192210703279,7.2542153047989615,0.7457846952010391,历史1/1次成功; 当前距低点0.75%; 最新日涨幅-2.02%; 状态bottom_area; 底部未确认
33,69.50095916895073,70.47836689320027,300635,中达安,bottom_area,2023-08-17,13.96,2023-08-14,13.33,4.7261815453863525,6.826706676669168,27.475516866158866,False,-0.4989,3.4898,2,2,2,100.0,17.279896863877134,23.97914856646394,3.273818454613648,4.7261815453863525,历史2/2次成功; 当前距低点4.73%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
34,57.8119528860845,56.86259478189973,000890,法尔胜,bottom_area,2023-08-17,4.6,2023-08-14,4.46,3.1390134529147913,6.502242152466368,27.47967479674797,False,-0.6479,5.9687,1,2,1,50.0,32.954545454545446,32.954545454545446,4.860986547085209,3.1390134529147913,历史1/2次成功; 当前距低点3.14%; 最新日涨幅-0.65%; 状态bottom_area; 底部未确认
