rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.61843867305784,81.58639346968421,605198,安德利,bottom_area,2024-06-12,29.32,2024-06-11,28.62,2.445842068483575,3.5290006988120126,29.123328380386333,False,0.1708,0.411,1,1,1,100.0,43.241469816272954,43.241469816272954,17.554157931516425,2.445842068483575,历史1/1次成功; 当前距低点2.45%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
2,93.44099768751398,79.93145585317461,600162,香江控股,bottom_area,2024-06-12,1.42,2024-06-11,1.4,1.42857142857143,4.28571428571429,27.083333333333336,False,-0.6993,0.7815,2,2,2,100.0,27.68063822751323,28.90624999999999,18.571428571428573,1.42857142857143,历史2/2次成功; 当前距低点1.43%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
3,89.24387942332895,79.73428571428572,002687,乔治白,bottom_area,2024-06-12,4.36,2024-06-06,4.2,3.809523809523813,5.714285714285719,28.2051282051282,False,0.2299,1.1514,1,1,1,100.0,64.00000000000001,64.00000000000001,16.19047619047619,3.809523809523813,历史1/1次成功; 当前距低点3.81%; 最新日涨幅0.23%; 状态bottom_area; 底部未确认
4,86.22932863684399,76.47529411764708,000420,吉林化纤,bottom_area,2024-06-12,3.34,2024-06-06,3.23,3.405572755417953,5.26315789473684,29.321663019693663,False,-0.5952,1.5751,1,1,1,100.0,53.9249146757679,53.9249146757679,16.59442724458205,3.405572755417953,历史1/1次成功; 当前距低点3.41%; 最新日涨幅-0.60%; 状态bottom_area; 底部未确认
5,82.05817761126323,69.4472537149147,600376,首开股份,bottom_area,2024-06-12,2.39,2024-06-06,2.37,0.8438818565400852,7.172995780590714,29.25373134328358,False,-0.8299,0.4922,1,1,1,100.0,20.652173913043484,20.652173913043484,19.156118143459917,0.8438818565400852,历史1/1次成功; 当前距低点0.84%; 最新日涨幅-0.83%; 状态bottom_area; 底部未确认
6,79.9419666639025,72.42064516129034,600173,卧龙新能,bottom_area,2024-06-12,3.89,2024-06-06,3.72,4.569892473118277,5.913978494623649,29.545454545454547,False,1.039,0.5745,1,1,1,100.0,20.000000000000004,20.000000000000004,15.430107526881724,4.569892473118277,历史1/1次成功; 当前距低点4.57%; 最新日涨幅1.04%; 状态bottom_area; 底部未确认
7,75.38663456963818,63.83713088901343,605266,健之佳,bottom_area,2024-06-12,36.9,2024-06-12,36.58,0.8747949699289237,5.139420448332429,31.626168224299068,False,-2.6385,0.4487,3,5,3,60.0,27.535824841136375,33.154615273148806,19.125205030071076,0.8747949699289237,历史3/5次成功; 当前距低点0.87%; 最新日涨幅-2.64%; 状态bottom_area; 底部未确认
8,70.54053169111076,63.94588114435776,002761,浙江建投,bottom_area,2024-06-12,8.63,2024-06-06,8.25,4.606060606060615,4.848484848484853,28.26086956521739,False,1.649,2.0491,3,6,3,50.0,33.213437237505204,43.73730534867976,15.393939393939386,4.606060606060615,历史3/6次成功; 当前距低点4.61%; 最新日涨幅1.65%; 状态bottom_area; 底部未确认
9,67.63050000341536,59.662727110571126,688105,诺唯赞,bottom_area,2024-06-12,21.85,2024-06-11,21.19,3.114676734308637,4.719207173194903,27.30703259005145,False,0.7841,0.747,1,2,1,50.0,25.237580993520524,25.237580993520524,16.885323265691365,3.114676734308637,历史1/2次成功; 当前距低点3.11%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
10,66.59734713131981,59.14242021363475,001322,箭牌家居,bottom_area,2024-06-12,8.33,2024-06-06,8.05,3.4782608695652093,6.211180124223602,28.634751773049633,False,0.0,1.31,1,2,1,50.0,26.897069872276486,26.897069872276486,16.521739130434792,3.4782608695652093,历史1/2次成功; 当前距低点3.48%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
11,64.22582272539529,57.379685670054535,605177,东亚药业,bottom_area,2024-06-12,21.54,2024-06-11,20.75,3.8072289156626464,4.8674698795180795,29.54159592529711,False,1.6997,0.725,1,2,1,50.0,21.452513966480446,21.452513966480446,16.192771084337355,3.8072289156626464,历史1/2次成功; 当前距低点3.81%; 最新日涨幅1.70%; 状态bottom_area; 底部未确认
12,63.50479010657134,54.704589728547326,002837,英维克,bottom_area,2024-06-12,23.05,2024-06-11,22.64,1.810954063604241,4.372791519434622,31.97115384615385,False,-1.3693,1.1475,1,3,1,33.33333333333333,24.517374517374524,24.517374517374524,18.189045936395758,1.810954063604241,历史1/3次成功; 当前距低点1.81%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
13,62.07194850564919,55.677963069303374,600322,津投城开,bottom_area,2024-06-12,1.55,2024-06-06,1.49,4.026845637583897,7.382550335570476,28.01932367149758,False,1.3072,1.6345,1,4,1,25.0,35.828877005347586,35.828877005347586,15.973154362416103,4.026845637583897,历史1/4次成功; 当前距低点4.03%; 最新日涨幅1.31%; 状态bottom_area; 底部未确认
14,61.42529129949842,54.14238562234102,688059,华锐精密,bottom_area,2024-06-12,53.08,2024-06-11,51.5,3.0679611650485406,4.757281553398063,29.053588648574184,False,-0.2068,0.8993,1,4,1,25.0,38.29213483146067,38.29213483146067,16.93203883495146,3.0679611650485406,历史1/4次成功; 当前距低点3.07%; 最新日涨幅-0.21%; 状态bottom_area; 底部未确认
