rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.74011729797878,81.0701512666144,603260,合盛硅业,bottom_area,2023-10-26,53.9,2023-10-26,53.0,1.698113207547167,1.8867924528301887,28.859060402684566,False,-0.7732,0.16,3,3,3,100.0,20.440050429150247,34.21399022188793,6.301886792452834,1.698113207547167,历史3/3次成功; 当前距低点1.70%; 最新日涨幅-0.77%; 状态bottom_area; 底部未确认
2,84.41540073031169,83.76296355140957,688071,华依科技,bottom_area,2023-10-26,38.31,2023-10-25,36.98,3.5965386695511232,4.948620876149286,27.617929144646713,False,0.4194,1.2928,4,4,4,100.0,19.048772677344818,29.494190020505805,4.403461330448877,3.5965386695511232,历史4/4次成功; 当前距低点3.60%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
3,84.10268720305001,80.45378957246992,002080,中材科技,bottom_area,2023-10-26,16.81,2023-10-26,16.53,1.69388989715667,2.8433151845129996,27.244718309859145,False,-1.1758,0.6595,3,3,3,100.0,17.074508268747955,28.579356270810223,6.306110102843331,1.69388989715667,历史3/3次成功; 当前距低点1.69%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
4,83.41182937789115,80.0214470174164,000928,中钢国际,bottom_area,2023-10-26,6.08,2023-10-23,5.97,1.8425460636515967,5.192629815745402,31.06235565819862,False,-0.8157,1.9267,3,3,3,100.0,16.57232280936585,18.798449612403097,6.1574539363484035,1.8425460636515967,历史3/3次成功; 当前距低点1.84%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
5,82.55267981640813,78.24232423008033,603326,我乐家居,bottom_area,2023-10-26,10.02,2023-10-23,9.9,1.2121212121212042,3.8383838383838285,30.76923076923077,False,-0.4965,2.636,2,2,2,100.0,15.946024697401477,20.141843971631218,6.787878787878795,1.2121212121212042,历史2/2次成功; 当前距低点1.21%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
6,82.07188024887256,79.20403043553121,603129,春风动力,bottom_area,2023-10-26,102.12,2023-10-26,99.97,2.150645193558073,3.4710413123937167,32.48919502971368,False,-1.9303,0.8002,3,3,3,100.0,15.954309015288315,20.09633197480549,5.8493548064419265,2.150645193558073,历史3/3次成功; 当前距低点2.15%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
7,80.88221437682827,81.63535166011042,600009,上海机场,bottom_area,2023-10-26,35.9,2023-10-23,34.36,4.481955762514549,5.791618160651927,29.777232781524628,False,0.6166,0.3293,4,4,4,100.0,18.4634989174387,27.704918032786885,3.5180442374854506,4.481955762514549,历史4/4次成功; 当前距低点4.48%; 最新日涨幅0.62%; 状态bottom_area; 底部未确认
8,80.78220332346159,76.68370407583404,000560,我爱我家,bottom_area,2023-10-26,2.35,2023-10-23,2.32,1.2931034482758728,5.603448275862084,32.55813953488372,False,-1.6736,2.2708,2,2,2,100.0,8.559031924209851,8.679245283018867,6.706896551724127,1.2931034482758728,历史2/2次成功; 当前距低点1.29%; 最新日涨幅-1.67%; 状态bottom_area; 底部未确认
9,80.30942474591106,79.80244722890966,300724,捷佳伟创,bottom_area,2023-10-26,68.63,2023-10-26,66.2,3.6706948640483272,5.589123867069491,27.4202390088806,False,-0.9954,2.9011,5,5,5,100.0,21.13780386526797,30.55368319691865,4.329305135951673,3.6706948640483272,历史5/5次成功; 当前距低点3.67%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
10,79.73038285208548,78.14159550512669,000938,紫光股份,bottom_area,2023-10-26,19.87,2023-10-23,19.3,2.95336787564767,4.041450777202059,28.011935844834014,False,1.1711,0.9881,1,1,1,100.0,30.942334739803094,30.942334739803094,5.04663212435233,2.95336787564767,历史1/1次成功; 当前距低点2.95%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
11,78.86719415197355,76.61968343779813,600328,中盐化工,bottom_area,2023-10-26,7.8,2023-10-26,7.61,2.496714848883042,2.8909329829172106,28.207547169811313,False,-2.0101,1.0773,2,2,2,100.0,22.968781146513187,37.26315789473683,5.503285151116959,2.496714848883042,历史2/2次成功; 当前距低点2.50%; 最新日涨幅-2.01%; 状态bottom_area; 底部未确认
